//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klik
DoorGunnerDescription,Special springstyrker-helikopter hjælper niveau 4 aber og nedefter at angribe bloons mens de er i luften
DoorGunnerDenied,Dette tårn kan ikke være en Dør-skytte
AmbidextrousRangs,Bommeranger med begge hænder
AmbidextrousRangsDescription,Viden og træning giver Boomerang-abe evner til at skifte hænder som målsøgnings-mulighed og optimisere boomerang angreb.
BoomerangTargetingSwitchHands,Skift hånd
VineRupture,Ranke-sprængning
VineRuptureDescription,"Giver Skovens ånd-druiden evnen til at sprænge alle rænker på banen, og gøre stor skade på alle ikke-bly bloons. Nye rænker vokser frem igen efter hver sprængning."
BankDeposits,Bank depositum
BankDepositsDescription,Abebanker på niveau 4 og opefter kan tage imod depositum fra penge i spillet.
MonkeyBankDeposit,Depositum
Achievement 92 Name,Gylden lodseddel
Achievement 92 Description,Bloompa-loompa-doompa-dee-doo!
SmallMonkeysMode,Små aber
CaveMonkey,Huleabe
DarkKnightDarkshift,[I] for at Mørke-skifte indenfor rækkevidde
DarkChampionDarkshift,[I] for at Mørke-skifte til ethvert gyldigt sted
SmallTowersMode,Små abetårne
BigTowersMode,Store abetårne
UpdatePopupTitle,Opdatering 29!
UpdatePopupDescription,"God jul opdatering!\n• Behersk verdenshavene med det nyeste abe-mønster: Søens Navarch\n• Giv bloonsene en overhaling på den nye mellemsvære bane: Stillevej\n• Få fat i det seje nye Ezili-skin: Galaxili!\n• Co-op lobby-skabelse renoveret, så du hurtigere kan komme i gang med spillet\n• 17 nye ting i trofæforretningen, og 6 seks som kun kan fås i begrænset tid, så det er om at være hurtig!\n• Nye præstationer, livskvalitetsændringer, balance og fejlretninger - masser af ændringer, se opdateringsnotaterne for at læse alle detaljerne \nDu ønskes en rigtig god jul og godt nytår fra Ninja Kiwi!"
ResetDailyChest,Geninstil den daglige belønning
JukeboxName,Jukebox
EnableFunction,Tillad
JukeboxSongs,Sange
JukeboxPlaylist,Spilleliste
JukeboxAddAll,Tilføj alle
JukeboxRemoveAll,Fjern alle
MonkeysLeft,Tilbageværende aber
ChallengeRules,Udfordrings-regler
JukeboxMusicFiestaMain,Fiesta Flamenco
JukeboxMusicSunshineMain,Solskins serenade
JukeboxMusicSunsetMain,Samba ved solnedgang
JukeboxMusicTropicalMain,Tropisk karneval
JukeboxMusicTribesMain,Stammer & Jammer
JukeboxMusicWinterMain,Vinternætter
JukeboxMusicJazzMain,Jazz-tema
DoorGunnerSelect,Vælg et tårn som Dørskytte
PlayerStatsSettings,Spiller statistik
PlayerStatsPublicStats,Offentlig statistik
HiddenAchievements,Skjulte præstationer
PlayerStatsTopHeroes,Førende helte
PlayerStatsTopMonkeys,Førende aber
PlayerStatsGamesPlayed,Antal gennemførte spil
PlayerStatsGamesWon,Antal sejre
PlayerStatsHighestRound,Højeste runde
PlayerStatsMonkeysPlaced,Antal aber placeret
PlayerStatsPopCount,Samlet spring-tælling
PlayerStatsCoopPopCount,Samlet Co-op spring-tælling
PlayerStatsCamoPopped,Camo-bloons sprunget
PlayerStatsLeadPopped,Bly-bloons sprunget
PlayerStatsPurplePopped,Lilla bloons sprunget
PlayerStatsRegrowPopped,Regenererende bloons sprunget
PlayerStatsCeramicPopped,Keramiske bloons sprunget
PlayerStatsMoabsPopped,MOABs sprunget
PlayerStatsBfbsPopped,BFBs sprunget
PlayerStatsZomgsPopped,ZOMGs sprunget
PlayerStatsDdtsPopped,DDTs sprunget
PlayerStatsBadsPopped,BADs sprunget
PlayerStatsBloonsLeaked,Bloons lækket
PlayerStatsCashGenerated,Penge genereret
PlayerStatsCashGifted,Penge givet
PlayerStatsAbilitiesUsed,Evner brugt
PlayerStatsPowersUsed,Krafter brugt
PlayerStatsInstaMonkeysUsed,Insta-aber brugt
PlayerStatsDailysOpened,Daglige belønnings-kister åbnet
PlayerStatsChallengesCompleted,Udfordringer gennemført
PlayerStatsMaxPublicSelected,Grænsen for offentlige statistikker er nået. Du må fravælge en eller flere før du tilføjer nye offentlige statistikker.
PlayerStatsOdysseysCompleted,Odysséer gennemført
PlayerStatsMedals,Medaljer
PlayerStatsAvatar,Avatar
PlayerStatsOverallStats,Samlede statistikker
PlayerStatsSharing,Deler {0}/7
JukeboxMusicThemeMain,Hovedtema
et_odysseytitle,Odyssé-begivenhed!
et_odysseydescription,Velkommen til! Hver odyssé består af et sæt sammenkædede baner og udfordringer med trofæer og andre belønninger! Nøgleregler:\n• Dine liv er delt over alle banerne:\n• Når en Odyssé først er startet kan man ikke ændre på sit hold eller sværhedsgrad med mindre man starter forfra.\n• Vind trofæer og andre gevinster ved at besejre den sidste bane\n• Trofæ-gevinster bliver ikke sammenlagt - Svær Odyssé har de fleste trofæer
OdysseyEventName,Odyssé-begivenhed
OdysseyThemeCustomRules,Særlige regler
OdysseyThemeRapidBloons,Hurtige bloons
OdysseyThemeNoReturn,Ingen returret
OdysseyThemeInstructions,Ingen brugsanvisning
OdysseyThemeFasterHigher,Hurtigere. Højere. Stærkere.
OdysseyThemeGottaGoFast,Fart på
OdysseyThemeAllCamo,Alle camo på en gang
OdysseyThemeAllRegrow,Alle regen på en gang
OdysseyThemeFastTrack,Overhalingsbanen
OdysseyThemeHighlander,Højlænderens Odyssé
OdysseyThemeMonkeyTeams,Abehold
OdysseyThemeExtremeOdyssey,Ekstrem Odyssé
OdysseyLives,Liv:
OdysseyLife,{0} Liv!
OdysseyLivesLeft,Liv tilbage:
OdysseyStart,Begynd odysséen
CollectAll,Indsaml alle
OdysseyThemeSlowButDeadly,Langsom men dødbringende
OdysseyIslandRules,Ø-regler
OdysseyCrew,Hold
OdysseyCrewDetails,Hold-detaljer
OdysseyCrewDetailsSubtext,Opbyg et episk hold af aber og krafter udvalgt af skæbnen
OdysseySeats,Sæder: {0}
OdysseyMax,Maks: {0}
OdysseyPowersAvailable,Krafter til rådighed
OdysseySpaces,Pladser: {0}
OdysseySelectCrew,Udvælg dit hold
OdysseyTotal,Total: {0}
OdysseyPlay,Spil
OdysseyContinue,Fortsæt odysséen
OdysseyAddCrew,Tilføj flere aber til dit hold for at starte din odyssé
LeaderboardHacker,Ingen data fundet.
Bazaar,Basar
FloodedValley,Oversvømmet dal
AdmiralBrickell,Admiral Brickell
AdmiralBrickell Short Description,Flådekommandør
AdmiralBrickell Description,Før dine vandbaserede aber til en afgørende sejr. Der kræves vand for at placere dem.
AdmiralBrickell Level 1 Description,Kaster kraftige sø-miner som opsøger og ødelægger bloons.
AdmiralBrickell Level 2 Description,Øget angrebshastighed
AdmiralBrickell Level 3 Description,Flådetaktik: stærk forøgelse af Brickells angrebshastighed og nærliggende vandbaserede aber i en kort tid.
AdmiralBrickell Level 4 Description,Mere springkraft til sø-minerne.
AdmiralBrickell Level 5 Description,Flåde-taktik øger springkraften og gør at påvirkede aber kan ramme alle bloontyper bortset fra camo.
AdmiralBrickell Level 6 Description,Øger skaden fra sø-mine- og pistolangreb.
AdmiralBrickell Level 7 Description,Øget rækkevidde og evnen til at se camo-bloons.
AdmiralBrickell Level 8 Description,Flådetaktik giver aber evnen til at ramme camo-bloons.
AdmiralBrickell Level 9 Description,Sø-miner gør ekstra skade
AdmiralBrickell Level 10 Description,Mega-mine: en mine som kan lægges i alle vandområder og som udløses af MOABs og lammer bloons i nærheden. Mega-minen holder i 3 runder.
AdmiralBrickell Level 11 Description,Hurtigere indsættelsestid og hyppighed for sø-miner.
AdmiralBrickell Level 12 Description,"Pistolangreb får øget hastighed og gør mere skade, sø-miner gør mere skade."
AdmiralBrickell Level 13 Description,Mega-mine nedkølingstid reduceret.
AdmiralBrickell Level 14 Description,Flådetaktiks varighed øget.
AdmiralBrickell Level 15 Description,"Forbedrede sø-miner har større eksplosioner, og kan skade sorte bloons og fjerne camo-evner."
AdmiralBrickell Level 16 Description,Angrebs- og sø-mine indsættelses-rækkevidde øget en smule.
AdmiralBrickell Level 17 Description,Sø-miner gør voldsom stor ekstra skade
AdmiralBrickell Level 18 Description,Mega-mine nedkølingstid reduceret yderligere.
AdmiralBrickell Level 19 Description,Flådetaktik påvirker alle vandbaserede tårne overalt.
AdmiralBrickell Level 20 Description,Mega-minen gør stærkt øget skade og lammer bloons i længere tid.
btd6_moremoneypack,Flere penge pakke
btd6_moremoneypack Description,"Alle de rigtige krafter til at få nogen hurtige penge - 20 pengenedkastninger, 5 abefarme, og 5 blomstre! Tidsbegrænset tilbud!"
HeroesQuincyCyberQuincyPlacementFireworksName,Cyber-Quincy fyrværkerplacering og opgradering
HeroesQuincyCyberQuincyPlacementFireworksDescription,Alle ved at Quincy kan fyre den af. Gælder kun Cyber-Quincy
HeroesAdoraPlacementSunbeamName,Adora solstråleplacering og opgradering
HeroesAdoraPlacementSunbeamDescription,Adora gør bestemt en højtflyvende entre. Gælder kun original Adora
HeroesChurchillPlacementTankDropName,Churchill tankplacering og opgradering
HeroesChurchillPlacementTankDropDescription,Det er noget helt særligt at se 65 tons Churchill smadre ned på slagmarken. Gælder kun original Churchill
HeroesBenjamminDJSkinPlacementPartyLightsName,DJ Benjammer diskolys-placering og opgradering
HeroesBenjamminDJSkinPlacementPartyLightsDescription,Slip aldrig en DJ løs uden tilstrækkeligt med diskolys. Gælder kun DJ Benjammer
HeroesStrikerJonesPlacementParadropName,Angriber-Jones forsynings-nedkastning og opgradering
HeroesStrikerJonesPlacementParadropDescription,Alle de seje abesoldater ankommer med faldskærm. Gælder kun original Angriber-Jones
HeroesQuincyPetDadOfQuincyName,Far til Quincy kæledyr
HeroesQuincyPetDadOfQuincyDescription,Søn-Quincy kan ikke rigtig uden Far-Quincy. Gælder kun original Quincy
HeroesGwendolinPetFirefoxName,Gwendolin ildræv kæledyr
HeroesGwendolinPetFirefoxDescription,Den nuttede ildræv er aldrig langt fra Gwens side. Gælder kun original  Gwendolin
BloonsMOABSkinFootballName,Football MOAB
BloonsMOABSkinFootballDescription,MOABS ser måske nemmere ud at stoppe hvis de ligner en football
BloonsBFBSkinPizzaName,Pizza BFB
BloonsBFBSkinPizzaDescription,Hvorfor reklamere på et luftskib når man kan lave en BFB af pizza
BloonsZOMGSkinWatermelonName,Vandmelon ZOMG
BloonsZOMGSkinWatermelonDescription,Man får endnu mere lyst til at smadre den åben
BloonsMOABSkinMaulerName,MOAB-mukkert
BloonsMOABSkinMaulerDescription,"Hvis du ikke kan slå dem, slå dig sammen med dem"
BloonsMOABSkinPufferFishName,Kuglefisk MOAB
BloonsMOABSkinPufferFishDescription,Kuglefisk MOAB er helt blæst op før den bliver sprængt op
BloonsAllBloonsDecalGooglyEyesName,Bloon med Googly øjne
BloonsAllBloonsDecalGooglyEyesDescription,Googly øjne ser helt fine ud på normale og MOAB-klasse bloons
BloonsDDTSkinSharkName,Haj DDT
BloonsDDTSkinSharkDescription,"Når du nu ved, at den alligevel dræber dig, så kan en DDT lige så godt se farlig ud"
BloonsAllBloonsPopsConfettiName,Konfetti-effekt
BloonsAllBloonsPopsConfettiDescription,DIne aber elsker deres jobs mere når de får konfetti og lydeffekter
BloonsBADSkinPinataName,Pinata BAD
BloonsBADSkinPinataDescription,"Intet er mere frygtindgydende end en stor, lilla pinata med slik-effekter"
CoopEmoteAnimationDiscoBallName,Diskokugle animation
CoopEmoteAnimationDiscoBallDescription,"Brug diskokuglen til at gøre Co-op spil mere festlige. Det påvirker ikke spillet, men DJ Benjammer elsker den"
CoopEmoteAnimationConfettiName,Konfetti-kanon animation
CoopEmoteAnimationConfettiDescription,"Affyr konfettikanonen under co-op spil. Det påvirker ikke spillet, men gør aberne gladere, selv om de ikke indrømmer det. "
CoopEmoteTextAmazingName,Fantastisk tekst-emote
CoopEmoteTextAmazingDescription,"Fortæl de andre co-op spillere at de spillede Fantastisk, eller at du lige gjorde noget Fantastisk, så de må hellere være taknemmelige for at du overhovedet vil ses sammen med dem"
CoopEmoteTextPerfectTimingName,Perfekt timing tekst-emote
CoopEmoteTextPerfectTimingDescription,Råb Perfekt timing for de svære træk! Rig mulighed for ironisk brug.
CoopEmoteAnimationSirenName,Gælder kun sirene-lydeffekt
CoopEmoteAnimationSirenDescription,Tænd for sirenerne for at advare din co-op medspillere om deres snarlige undergang! Eller når du skal i køkkenet og lave en sandwich
CoopEmoteAnimationLoveHeartsName,Kærlige hjerter- animation
CoopEmoteAnimationLoveHeartsDescription,Den bedste måde at vise dine medspillere din kærlighed er med en vrimmel af svævende hjerter. Påvirker ikke spillet. 
CoopEmoteIconNoCashDropsName,Ingen pengenedkastning Ikon-emote
CoopEmoteIconNoCashDropsDescription,For når du virkelig ikke gider de der pengenedkastninger ved spillets start. Eller for at få dem på modsat-dag
CoopEmoteTextWhyName,Hvorfor?! Tekst-emote
CoopEmoteTextWhyDescription,"Fordi nogen gange, hvor lidt man end vil, så bliver man nødt til at spørge"
CoopEmoteSoundAirhornName,Lufthorns-lydeffekt
CoopEmoteSoundAirhornDescription,"Der er igen god grund til at eje den her. Kun dårlige grunde, men det kunne nok være sjovt alligevel..."
CoopEmoteTextAllIsFineName,Alt er fint tekst-emote
CoopEmoteTextAllIsFineDescription,Så mange muligheder for at fyre den her af og tage et skærmbillede - du behøver ingen meme-generator længere
CoopEmoteIconStopName,Stop ikon emote
CoopEmoteIconStopDescription,"Den store animerede ottekant giver dig chancen for at sige stop til bloonsene, eller til dine medspilleres mindre heldige valg"
CoopEmoteIconDangerName,Fare ikon emote
CoopEmoteIconDangerDescription,"Et animeret Fare skilt til at advare om uhyggelige ting, og dine medspilleres mindre smarte træk "
GameUIUpgradesDisplayNamedMonkeysName,Abenavne
GameUIUpgradesDisplayNamedMonkeysDescription,"Giv en enkelt abe fra hver tårntype et navn, og den første abe af den type som placeres vil vise navnet og optage dens samlede individuelle statistikker. Rediger abenavne i opgraderingspanelet under spillet, og se dine statistikker i hovedmenu-profilen."
TrophyHeader,Trofæ-forretning
TrophyTabHeroes,Helte
TrophyTabMonkeys,Aber
TrophyTabBloons,Bloons
TrophyTabCoop,Co-Op
TrophyTabGameUI,Spil og UI
TrophyTabFeatured,Indhold
TrophyTabInventory,Beholdning
TrophyTrophiesEarned,Trofæer vundet
Naval Tactics Ability,Flådetaktik
Naval Tactics Ability Description,Øger angrebshastigheden kraftigt for nærliggende vandbaserede aber i kort tid
Mega Mine Ability,Mega-mine
Mega Mine Ability Description,Mega-mine: En mine som kan lægges i alle vandområder og som udløses af MOABs og lammer bloons i nærheden.
Confirm,Bekræft
PlayerStatsTimesPlaced,Antal gange placeret
Trophies,Trofæer
RewardsTop50,Top 50
OdysseyMapComplete,Ø {0} Gennemført!
OdysseyComplete,Odyssé Gennemført
HeroesQuincyCyberQuincyPlacementFireworksShortName,Cyber-fyrværkeri
HeroesAdoraPlacementSunbeamShortName,Adora Solstråle
HeroesChurchillPlacementTankDropShortName,Churchill tank-drop
HeroesBenjamminDJSkinPlacementPartyLightsShortName,DJ Ben diskolys
HeroesStrikerJonesPlacementParadropShortName,Angriber faldskærms-drop
HeroesQuincyPetDadOfQuincyShortName,Far til Quincy kæledyr
HeroesGwendolinPetFirefoxShortName,Gwendolin ildræv kæledyr
BloonsMOABSkinFootballShortName,Football MOAB
BloonsBFBSkinPizzaShortName,Pizza BFB
BloonsZOMGSkinWatermelonShortName,Vandmelon ZOMG
BloonsMOABSkinMaulerShortName,MOAB-mukkert
BloonsMOABSkinPufferFishShortName,Kuglefisk MOAB
BloonsAllBloonsDecalGooglyEyesShortName,Googly øjne
BloonsDDTSkinSharkShortName,Haj DDT
BloonsAllBloonsPopsConfettiShortName,Konfetti-effekt
BloonsBADSkinPinataShortName,Pinata BAD
CoopEmoteAnimationDiscoBallShortName,Diskokugle
CoopEmoteAnimationConfettiShortName,Konfetti-kanon
CoopEmoteTextAmazingShortName,Fantastisk tekst
CoopEmoteTextPerfectTimingShortName,Perfekt timing tekst
CoopEmoteAnimationSirenShortName,Sirene
CoopEmoteAnimationLoveHeartsShortName,Kærlige hjerter
CoopEmoteIconNoCashDropsShortName,Ingen pengedrop
CoopEmoteTextWhyShortName,Hvorfor? tekst
CoopEmoteSoundAirhornShortName,Lufthorn
CoopEmoteTextAllIsFineShortName,Alt er fint tekst
CoopEmoteIconStopShortName,Stop
CoopEmoteIconDangerShortName,Fare
GameUIUpgradesDisplayNamedMonkeysShortName,Abenavne
GameUIMusicTrackMusicTitleFiestaMixName,Jukebox: Hovedtema - Fiesta Mix
GameUIMusicTrackMusicTitleFiestaMixShortName,Hovedtema - Fiesta
GameUIMusicTrackMusicTitleFiestaMixDescription,Der er fest i gaden med et remix af Fest hovedtemaet.\nAktiver musik via jukeboxen i hovedmenu-indstillingerne
GameUIMusicTrackMusicSunshineGameboyMixName,Jukebox: Solskins-serenade - Gameboy Mix
GameUIMusicTrackMusicSunshineGameboyMixShortName,Serenade - Gameboy
GameUIMusicTrackMusicSunshineGameboyMixDescription,Mindes de gamle 8-bit dage med et nostalgisk Solskins-serenade remix.\nAktiver musik via jukeboxen i hovedmenu-indstillingerne
GameUIMusicTrackMusicTropicalComplextroMixName,Jukebox: Tropisk karneval - Complextro Mix
GameUIMusicTrackMusicTropicalComplextroMixShortName,Karneval - Complextro
GameUIMusicTrackMusicTropicalComplextroMixDescription,Aber elsker at danse til en fed complextro-rytme og Tropisk karneval remixet skuffer ikke.\nAktiver musik via jukeboxen i hovedmenu-indstillingerne
GameUIMusicTrackMusicTribesFunkedMixName,Jukebox: Stammer & Jammer - Funked Mix
GameUIMusicTrackMusicTribesFunkedMixShortName,Stammer - Funked
GameUIMusicTrackMusicTribesFunkedMixDescription,Aberne kræver lidt funk. Frem med diskoskjorten og guldkæderne og vrik med røven til et fedt remix.\nAktiver musik via jukeboxen i hovedmenu-indstillingerne
GameUIProfileAvatar13Name,Custom Avatar - Knoglerytter
GameUIProfileAvatar13ShortName,Knoglerytter-avatar
GameUIProfileAvatar13Description,"""Abehævn!""\nVælg din spiller-avatar i hovedmeenuens avatar-portræt"
