//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Kliknij
GameUIProfileAvatar28Description,"Widziałeś małpią wieżę, teraz łap awatar! Pokaż swoją miłość dla ulubionego klasycznego przekłuwacza blonów!"
GameUIProfileAvatar29Name,Niestandardowy awatar – Zimowy ninja
GameUIProfileAvatar29ShortName,Awatar Zimowy ninja
GameUIProfileAvatar29Description,Przygotuj się na święta z zimowym awatarem ninja. Ograniczony czasowo przedmiot kolekcjonerski!
GameUIProfileAvatar30Name,Niestandardowy awatar Świąteczny znaczek
GameUIProfileAvatar30ShortName,Awatar Świąteczny znaczek
GameUIProfileAvatar30Description,"Znaczek ma dla ciebie wiadomość, Wesołych Świąt i szczęśliwego Nowego Roku! Ograniczony czasowo przedmiot kolekcjonerski!"
RecurringRangs,Powracające bumerangi
RecurringRangsDescription,"Bumerangi, które powrócą do bumerangowej małpki, będą rzucone po raz drugi."
FirstLastLineOfDefense,Pierwsza ostatnia linia obrony
FirstLastLineOfDefenseDescription,Cena zakupu pierwszej fabryki kolców w każdej grze jest niższa o 150.
FlankingManeuvers,Manewry oskrzydlające
FlankingManeuversDescription,"Snajper, podwodna małpka i małpka pirat atakują 10% szybciej, gdy ustawione na priorytet celowania „Ostatnie”."
EmergencyUnlock,Awaryjne odblokowanie
EmergencyUnlockDescription,Aktywowana umiejętność: odblokowuje strzelców rzutkowych i wzmacnia ich prędkość obracania na krótki czas.
GorgonStorm,Burza gorgony
GorgonStormDescription,Burza rakiet hydry ogłusza uszkodzone blony na krótki czas.
CrossTheStreams,Skrzyżuj strumienie
CrossTheStreamsDescription,"Gdy wiązki plazmowe lub zagłady przetną się na ścieżce, tworzą tymczasowe plazmowe kałuże."
MonkeysTogetherStrong,Małpki silne razem
MonkeysTogetherStrongDescription,Bohaterowie otrzymują 5% więcej doświadczenia za każdego ustawionego bohatera.
GrandPrixSpree,Szał Grand Prix
GrandPrixSpreeDescription,Koszt udziału w wyścigach jest zmniejszony o 10%.
ChallengeBrowser,Wyszukiwarka wyzwań
Trending,Popularne
Casual,Zwykłe
Newest,Najnowsze
Expert,Ekspert
MostLiked,Najbardziej lubiane
Favorites,Ulubione
Played,Grane
MyChallenges,Moje wyzwania
ChallengeName,Nazwa wyzwania
Creator,Twórca
Likes,Polubienia
WinPercent,Procent wygranych
Create,Stwórz
PageXofY,Strona {0} z {1}
ChallengeInfo,Info wyzwania:
TimeUploaded,Czas zamieszczenia
Last24Hours,Ostatnie 24 godziny
LastWeek,Ostatni tydzień
LastMonth,Ostatni miesiąc
AllTime,Dowolna data
NoChallengesFound,Nie znaleziono wyzwań
Shared,Udostępnione
DeleteThisSave,Usunąć zapisane?
DeleteThisChallenge,Usunąć to wyzwanie?
ShareAgainIn,Udostępnij ponownie za:
ShareAgainExplanation,"Udostępnij ponownie, gdy timer zakończy odliczanie. Musisz wygrać wyzwanie, by je udostępnić."
MySavedGames,Moje zapisane gry
ConfirmShare,Potwierdzić udostępnianie? Za kilka minut pojawi się w wyszukiwarce treści.
Custom,Niestandardowe
ChallengeSearch,Wyszukaj/Kod wyzwania...
IncludeOldVersions,Również stare wersje
Achievement 107 Name,"Gotowy, pierwszy graczu?"
Achievement 107 Description,Zorganizuj i wygraj 10 gier kooperacyjnych
Achievement 108 Name,Starcie tytanów
Achievement 108 Description,Zedrzyj ufortyfikowanie z ufortyfikowanych MST 3000 razy
Achievement 109 Name,Le kod
Achievement 109 Description,Prześlij wyzwanie do wyszukiwarki treści
Achievement 110 Name,Przekazane
Achievement 110 Description,Przekłuj 1 000 000 blonów strzelcami rzutkowymi
Achievement 111 Name,Szaleństwo kuponów
Achievement 111 Description,Wydaj co najmniej 50 trofeów w sklepie z trofeami
Achievement 112 Name,Natychmiastowa gratyfikacja
Achievement 112 Description,Użyj małpki natychmiastowej rzędu 5. UWAGA: małpki natychmiastowe wliczają się do kolekcji nawet po wykorzystaniu!
Achievement 113 Name,Natychmiastowy wiek
Achievement 113 Description,Użyj 100 natychmiastowych małpek. UWAGA: nawet po użyciu natychmiastowe małpki wliczają się do kolekcji!
Achievement 114 Name,Ograniczony czas
Achievement 114 Description,Kup przynajmniej 1 przedmiot ograniczony czasowo w sklepie z trofeami
Achievement 115 Name,Narzędzia dla Darwina
Achievement 115 Description,Ulepsz wieże 20 000 razy
Achievement 116 Name,Strategia uparciucha
Achievement 116 Description,"Nie trzeba robić czegoś tylko dlatego, że się da"
ChallengeBrowserDescription,"Graj, twórz i oceniaj treści społeczności!"
VerifiedUser,Zweryfikowany użytkownik
TrophyBadgesEmpty,"Wygrywaj gry, by zdobywać medale!"
,
// External cleaning app (not in binary),
cleaner.oops.title,Ups!
cleaner.oops.message,Wybierz odpowiednią opcję...
cleaner.warning.title,Na pewno?
cleaner.warning.message,UWAGA: nie da się cofnąć!
cleaner.title,Czyszczenie {0}
cleaner.Message,Wybierz opcję:
cleaner.RadioButton_CleanAll,Wyczyść wszystko
cleaner.RadioButton_Keep,Zachowaj ustawienia i postępy
cleaner.RadioButton_CleanSelective,Selektywne czyszczenie
cleaner.CheckBox_Preferences,Preferencje
cleaner.CheckBox_Progress,Postępy
cleaner.Button_Run,Kontynuuj
cleaner.Button_Exit,Wyjdź
cleaner.allDone,Zrobione!
// External cleaning lines complete,
,
ChallengeBrowserError,Wystąpił błąd ładowania przeglądarki treści
OverwriteChallengeBrowserText,Twój najstarszy zapis będzie nadpisany. Jesteś tego pewien?
OverwriteChallengeBrowserHeader,Nadpisać zapis?
GameUIMusicTrackMusicJingleBloonsName,Szafa grająca: Jingle blon
GameUIMusicTrackMusicJingleBloonsShortName,Jingle blon
GameUIMusicTrackMusicJingleBloonsDescription,Świętuj ze świetnym nowym kawałkiem. Dzwonią dzwonki sań!\nWłącz muzykę w Szafie grającej przez Ustawienia Menu Głównego
Favorite,Ulubione
FasterRegen,Przyspieszona regeneracja
SlowerRegen,Spowolniona regeneracja
NewTower,Nowa wieża
MapUnlockTutorHeader,Odblokowanie map
MapUnlockTutorBody,"Wygraj po raz pierwszy mapę w dowolnej kategorii, by odblokować jedną mapę w kolejnej kategorii.\n\n•Początkujący odblokowuje średnio zaawansowany\n•Średnio zaawansowany odblokowuje zaawansowany\n•Zaawansowany odblokowuje poziom ekspert"
HideCompleted,Ukrywanie zakończone
Ravine,Jar
GameUIProfileAvatar31Name,Niestandardowy awatar – Kabuki ninja
GameUIProfileAvatar31ShortName,Awatar Kabuki ninja
GameUIProfileAvatar31Description,Małpka ninja ma najlepszy makijaż kumadori
GameUIProfileAvatar32Name,Niestandardowy awatar – Pilot helikoptera
GameUIProfileAvatar32ShortName,Awatar Pilot helikoptera
GameUIProfileAvatar32Description,Do nieba! Awatar pilota helikoptera to połączenie słodyczy ze skutecznością
BloonsAllBloonsTruckerHatsName,Czapki kierowców
BloonsAllBloonsTruckerHatsShortName,Czapki kierowców
BloonsAllBloonsTruckerHatsDescription,"Te blony mają przed sobą długą trasę! Jedziesz, kolego!"
BloonsAllBloonsPopsPowName,Efekt przekłucia Trzask
BloonsAllBloonsPopsPowShortName,Efekt przekłucia Trzask
BloonsAllBloonsPopsPowDescription,Trzask! Bam! Trzask! Zgładź więcej blonów z animacją przekłucia z trzaskiem
BloonsBFBSkinLanternName,Latarnia BLB
BloonsBFBSkinLanternShortName,Latarnia BLB
BloonsBFBSkinLanternDescription,"Sprowadź na pole bitwy szczęście, pomyślność i światło z tą świetną skórką BLB"
TowerProjectileSpikeFactoryPineapplesName,Ananasy fabryki kolców
TowerProjectileSpikeFactoryPineapplesShortName,Ananasy fabryki kolców
TowerProjectileSpikeFactoryPineapplesDescription,"Co jest bardziej kolczaste od kolczastej kuli? Oczywiście, że ananas! Przekłuwa, aż miło. Ulepszenie tylko dla kolczastej kuli."
GameUIMusicTrackMusicBMCStreetPartyName,Szafa grająca: Uliczna impreza MMB
GameUIMusicTrackMusicBMCStreetPartyShortName,Uliczna impreza MMB
GameUIMusicTrackMusicBMCStreetPartyDescription,"Wróciłaaaaa! Na życzenie tłumu, Uliczna impreza z Małpiego Miasta Blonów!"
FirstTimeContinue,"O nie! Blony się przedostały! Możesz kontynuować po raz pierwszy za darmo, ale następnym razem trzeba zapłacić małpią kasą"
Follow,Obserwuj
Unfollow,Przestań obserwować
Following,Obserwowane
Primary Knowledge,Wiedza podstawowa
Military Knowledge,Wiedza militarna
Magic Knowledge,Wiedza magiczna
Support Knowledge,Wiedza wspierająca
Heroes Knowledge,Wiedza o bohaterach
Powers Knowledge,Wiedza o mocach
Block followers,Zablokuj obserwujących
Unblock followers,Odblokuj obserwujących
Followers,Obserwujący
Submitted Challenges,Przesłane wyzwania
TurnOnNotificationsCreator,Włączyć powiadomienia dla tego twórcy?
TurnOffNotificationsCreator,Wyłączyć powiadomienia dla tego twórcy?
TargetingOptionFirstTimePopup,Zmiana opcji celowania może czasem pomóc w trudnej rundzie!
et_challengefreeplaytitle,Wyzwania z wolną rozgrywką!
et_challengefreeplaydescription,"To tryb wolnej rozgrywki dla wyzwań. Możesz kontynuować grę, ale nie otrzymasz PD ani żadnych nagród."
GameServicesBlockedText,"Coś blokuje dostęp do naszych usług. Może to wpłynąć na grę, więc wyłącz możliwe usługi blokujące, by uniknąć niespodziewanych problemów. Więcej informacji: https://ninja.kiwi/btd6_network"
DoubleCashDisabled,Podwójna kasa nieaktywna
UnableToAccessDomain,"Brak dostępu do {0}, wyłącz możliwe usługi blokujące i spróbuj jeszcze raz"
Custom Rounds,Niestandardowe rundy
Warning,Ostrzeżenie
Player Completion Rate,Wskaźnik ukończenia gracza
Win Rate,Wskaźnik wygranych
HeroesBenjaminPlacementMatrixName,Umieszczanie i ulepszanie Benjamin Matrix
HeroesBenjaminPlacementMatrixShortName,Benjamin Matrix
HeroesBenjaminPlacementMatrixDescription,Znam kung fu! Tylko oryginalny Benjamin
HeroesObynPetBunnyName,Zwierzak królik Obyna
HeroesObynPetBunnyShortName,Zwierzak królik Obyna
HeroesObynPetBunnyDescription,Ten uroczy króliczek to jeden z najlepszych przyjaciół Obyna. Tylko oryginalny Obyn. Ograniczony czasowo przedmiot kolekcjonerski!
TowerProjectileDartlingEasterEggsName,Dziurawiące wielkanocne jajka ze śrutem
TowerProjectileDartlingEasterEggsShortName,Dziurawiące wielkanocne jajka
TowerProjectileDartlingEasterEggsDescription,Ładuj czekoladowe dobra i wal! Ulepszenie wyłącznie dla śrutu i rakiet. Ograniczony czasowo przedmiot kolekcjonerski!
TowerPetNinjaMonkeyKiwiName,Zwierzak kiwi małpki ninja
TowerPetNinjaMonkeyKiwiShortName,Zwierzak Ninja Kiwi
TowerPetNinjaMonkeyKiwiDescription,Odważny nielot Kiwi to najszlachetniejszy towarzysz małpki ninja.
BloonsMOABSkinChocolateName,MOAB czekoladowe jajo
BloonsMOABSkinChocolateShortName,Czekoladowy MOAB
BloonsMOABSkinChocolateDescription,"Może i jest pokryty czekoladą, ale ten MOAB wciąż ma w środku 4 ceramiczne blony! Ograniczony czasowo przedmiot kolekcjonerski!"
BloonsBFBSkinChocolateName,BLB czekoladowe jajo 
BloonsBFBSkinChocolateShortName,Czekoladowy BLB
BloonsBFBSkinChocolateDescription,"Bonusowe punkty, jeśli twój czekoladowy BLB ma w środku czekoladowego MOAB-a. Limitowany czasowo przedmiot kolekcjonerski! "
BloonsAllBloonsBunnyEarsName,Blony z króliczymi uszami
BloonsAllBloonsBunnyEarsShortName,Blony z króliczymi uszami
BloonsAllBloonsBunnyEarsDescription,Blony są słodsze z króliczymi uszami!
BloonsAllBloonsPopsFlowersName,Efekt przekłucia Kwiaty
BloonsAllBloonsPopsFlowersShortName,Efekt przekłucia Kwiaty
BloonsAllBloonsPopsFlowersDescription,Z efektem przekłucia Kwiaty każde przebicie blona to eksplozja koloru
CoopEmoteAnimationPixelMonkeyDanceName,Emotka Tańcząca małpka
CoopEmoteAnimationPixelMonkeyDanceShortName,Tańcząca małpka
CoopEmoteAnimationPixelMonkeyDanceDescription,"Tańcz dla mnie, tańcz dla mnie, tańcz dla mnie, ooo..."
CoopEmoteAnimationFlowerBloomName,Emotka Kwitnące kwiaty
CoopEmoteAnimationFlowerBloomShortName,Kwitnące kwiaty
CoopEmoteAnimationFlowerBloomDescription,"Nadeszła wiosna, ptaki śpiewają, pszczółki bzyczą, a kwiaty kwitną!"
GameUIProfileAvatar33Name,Niestandardowy awatar – Jajka Obyna
GameUIProfileAvatar33ShortName,Awatar Jajka Obyna
GameUIProfileAvatar33Description,Chroń cenne jajka z Obynem. Ograniczony czasowo przedmiot kolekcjonerski!
GameUIProfileAvatar34Name,Niestandardowy awatar – Małpka z gwoździami
GameUIProfileAvatar34ShortName,Awatar Małpka z gwoździami
GameUIProfileAvatar34Description,Zwycięski awatar autorstwa mutamarkl
GameUIProfileAvatar35Name,Niestandardowy awatar – Potężny Sentai
GameUIProfileAvatar35ShortName,Awatar Potężny Sentai
GameUIProfileAvatar35Description,Zwycięski awatar autorstwa Kuzuyku
GameUIProfileAvatar36Name,Niestandardowy awatar – Mocny czarodziej
GameUIProfileAvatar36ShortName,Awatar – Mocny czarodziej
GameUIProfileAvatar36Description,Zwycięski awatar autorstwa _Concilliabule_
Balance,Balans
Blons,Blony
Latest Save,Ostatni zapis
Sauda,Sauda
Sauda Short Description,Mistrzyni miecza
Sauda Description,Sauda tnie blony swoimi dwoma ostrymi mieczami ze stoicką furią.
Sauda Level 1 Description,Tnie dwoma mieczami pobliskie blony. Może przekłuwać kamuflaż.
Sauda Level 2 Description,Przekłuwa więcej blonów na atak.
Sauda Level 3 Description,Atak skaczącego miecza: dramatyczny atak Saudy przekłuwający ołów spada na wybrane blony.
Sauda Level 4 Description,Miecz Saudy przecina 2 warstwy blonów.
Sauda Level 5 Description,Sauda atakuje szybciej.
Sauda Level 6 Description,Zwiększony zasięg ataku i moc przekłucia.
Sauda Level 7 Description,"Sauda wykorzystuje słabość blonów i zadaje dodatkowe obrażenia, gdy są ogłuszone, może też przekłuwać zamrożone blony."
Sauda Level 8 Description,Sauda atakuje jeszcze szybciej.
Sauda Level 9 Description,Krwawiący blon: Sauda przekłuwa 3 warstwy blonów za każdym ciosem i wywołuje efekt powolnych obrażeń w czasie.
Sauda Level 10 Description,"Szarża mieczem: Sauda robi ślizg wzdłuż ścieżki, niszcząc po drodze blony."
Sauda Level 11 Description,"Sauda zadaje dodatkowe obrażenia wszystkim spowolnionym i unieruchomionym blonom lub tym, które otrzymują powolne obrażenia w czasie od innych małpek."
Sauda Level 12 Description,Atak skaczącego miecza znacznie zwiększa swoją moc.
Sauda Level 13 Description,Zaklęte ostrza zadają większe obrażenia i pozwalają Saudzie zadawać obrażenia wszystkim blonom.
Sauda Level 14 Description,Sauda atakuje jeszcze szybciej.
Sauda Level 15 Description,"Zwiększony zasięg ataku i siła przekłucia, a atak skaczącego miecza zadaje większe obrażenia."
Sauda Level 16 Description,Znacznie zwiększone obrażenia od szarży mieczem.
Sauda Level 17 Description,Ataki mieczami Saudy przecinają wiele warstw blonów naraz.
Sauda Level 18 Description,Micze Saudy atakują w wielką prędkością.
Sauda Level 19 Description,"Zaklęte ostrza zadają dodatkowe obrażenia odrastającym, ufortyfikowanym i kamuflażowym blonom."
Sauda Level 20 Description,Potężniejsza szarża mieczem przeczesuje wszystkie ścieżki trzy razy! Znacznie zwiększona moc skaczącego miecza.
SushiBentoBenjaminSkinName,Skórka Sushi bento
SushiBentoBenjaminSkinDescription,"Zamawiaj, serwujemy sushi!"
Leaping Sword Attack Ability,Atak skaczącego miecza
Leaping Sword Attack Ability Description,Dramatyczny atak Saudy przekłuwający ołów spada na wybrane blony.
Sword Charge Ability,Szarża mieczem
Sword Charge Ability Description,"Sauda robi ślizg wzdłuż ścieżki, niszcząc po drodze blony."
Playing,Gra w: {0}
Solo,Solo
Custom Challenge,Niestandardowe wyzwanie
Browsing,Przegląda: {0}
Menues,Menu
Challenges,Wyzwania
GoldenBloonsPopped,Przekłutych złotych blonów
ChallengeStats,Statystyki wyzwań
Attempts,Próby
Wins,Wygrane
Fails,Niepowodzenia
Unique Players,Unikalni gracze
Victorious Players,Zwycięscy gracze
FirstWinner,Pierwszy zwycięzca
MostRecentWinner,Ostatni zwycięzca
DiskFullMessage,"Dysk jest pełny, zwolnij trochę miejsca i spróbuj ponownie"
RacePassRemaining,Pozostałe wyścigi:
RacePassHeader,Przejściówka wyścigów
RacePassDescription,"Zapewnia nieograniczoną liczbę prób na cotygodniowy wyścig!\nBez zegara, bez małpiej kasy, po prostu ścigaj się!"
4RacesPass,Przejściówka 4 wyścigów
12RacesPass,Przejściówka 12 wyścigów
ft_goldentitle,Złote blony
ft_goldendescription,"Przekłuj złoty blon, by zdobyć dodatkową małpią kasę! Trudno go przekłuć, ale gdy ucieknie, nie tracisz życia.\nZłoty blon pojawia się wiele razy w każdej grze i ulepsza się za każdym razem, gdy się pojawi!\nPowodzenia!"
TapToUnlock,[I] do odblokowania
btd6_4racespass Description,"Ścigaj się, ile chcesz, przez 4 wyścigi!"
btd6_4racespass,Przejściówka na 4 wyścigi
btd6_12racespass Description,"Ścigaj się, ile chcesz, przez 12 wyścigów!"
btd6_12racespass,Przejściówka na 12 wyścigów
GetHeroBooster,Zdobądź wzmacniacz bohatera
IntermediateUnlockText,"Ukończ po raz pierwszy mapę dla początkujących graczy, by odblokować mapę dla średnio zaawansowanych graczy"
AdvancedUnlockText,"Ukończ po raz pierwszy mapę dla średnio zaawansowanych graczy, by odblokować mapę dla zaawansowanych graczy"
ExpertUnlockText,"Ukończ po raz pierwszy mapę dla zaawansowanych graczy, by odblokować mapę dla ekspertów"
HeroesSaudaPetCraneName,Zwierzak żuraw Saudy
HeroesSaudaPetCraneShortName,Zwierzak żuraw Saudy
HeroesSaudaPetCraneDescription,"Woskuj i poleruj. Ucz się techniki żurawia z nowym, uroczym pomocnikiem Saudy! Tylko oryginalna Sauda."
HeroesPatFustyPlacementSuperjumpName,Umieszczanie i ulepszanie superskoku Pata
HeroesPatFustyPlacementSuperjumpShortName,Superskok Pata
HeroesPatFustyPlacementSuperjumpDescription,"Pat jest tak podekscytowany, by uściskać te MOAB-y, że wykonuje superskok w akcji i przy każdym ulepszeniu! Tylko oryginalny Pat Fusty."
TowerPetBananaFarmChickenName,Kurczak z bananowej farmy
TowerPetBananaFarmChickenShortName,Kurczak z farmy
TowerPetBananaFarmChickenDescription,Nie ma farmy bez kurczaka. Czemu kurczak? Bo to kurczak!!! Kukuryku!!!
TowerPropMonkeyVillageBrazilFlagName,Flaga Brazylii małpiej wioski
TowerPropMonkeyVillageBrazilFlagShortName,Flaga Brazylii wioski
TowerPropMonkeyVillageBrazilFlagDescription,GOOOOOOOOOOOOL! Kibicuj Brazylii z tą flagą małpiej wioski. Wyświetla się dla wszystkich ulepszeń.
TowerPropMonkeyVillageUSAFlagName,Flaga USA małpiej wioski
