//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klikk
BloonsAllBloonsTopHatsDescription,"Bring et tidløst, klassisk preg til banen."
CoopEmoteSoundCricketsName,Sirisser-lydeffekt
CoopEmoteSoundCricketsShortName,Sirisser
CoopEmoteSoundCricketsDescription,Dette er lyden av den fjortende pengeforespørselen som blir ignorert
CoopEmoteAnimationSparklingHeartsName,Glitrende hjerter-ikon
CoopEmoteAnimationSparklingHeartsShortName,Glitrende hjerter
CoopEmoteAnimationSparklingHeartsDescription,"Det finnes hjerter, og så finnes det glitrende hjerter. Enkelte av oss er klar over forskjellen"
CoopEmoteTextLetsGoName,Kjør på-tekstion
CoopEmoteTextLetsGoShortName,Kjør på
CoopEmoteTextLetsGoDescription,"Klarer du så vidt å holde på den kokende entusiasmen? Klar for å poppe, poppe og poppe, uten å stoppe? La oss kjøre på!"
CoopEmoteTextOKName,OK-tekstikon
CoopEmoteTextOKShortName,OK
CoopEmoteTextOKDescription,Perfekt for enhver situasjon. Kommuniser med så få bokstaver som mulig!
OdysseyExtremeModeConfirmCrew,Du har valgt mindre enn den maksimale mannskapsstørrelsen for denne Ekstreme Odysseen. Er du sikker?
OdysseyAllHeroesText,Alle helter
OdysseyAllTowersText,Alle apetårn
OdysseyAllPowersText,Alle krefter
CoopEmoteTextOKWord,OK
CoopEmoteTextLetsGoWord,Kjør på!
OdysseyExtremeModeTitle,Ekstremmodus!
OdysseyExtremeModeDescription,"• I Ekstremmodus ofres Apemannskapet ditt etter tur\n• Etter at et Apetårn brukes opp, kan det ikke plasseres på banen på nytt"
OdysseyCrewRemaining,Gjenværende mannskap:
SaveVersionConflict,Konflikt med lagring av versjon
SaveVersionConflictDescription,Du har en lagringsfil fra en spillversjon som er nyere enn den du spiller nå.\nOppdater denne versjonen slik at ingen framdrift går tapt.
OdysseyStatsLivesRemaining,Gjenværende liv
OdysseyStatsTimeTaken,Reisens tid
OdysseyStatsTotalMonkeysPlaced,Totalt antall plasserte apetårn
OdysseyStatsTotalPowersUsed,Totalt antall brukte krefter
BloonsZOMGSkinSteampunkName,Steampunk ZOMG
BloonsZOMGSkinSteampunkShortName,Steampunk ZOMG
BloonsZOMGSkinSteampunkDescription,Polér monokkelen din og gjør deg klar for et eventyr!
BloonsBFBSkinSciFiName,Sci-Fi BFB
BloonsBFBSkinSciFiShortName,Sci-Fi BFB
BloonsBFBSkinSciFiDescription,Advarsel! Denne BFB-en er skikkelig nerdete.
TT_DivideAndConquer,Splitt og hersk
TT_ZoneDefense,Soneforsvar
GameUIMusicTrackMusicSunsetSilentNightMixName,Jukeboks: Solnedgangssamba - Stillenattsmiks
GameUIMusicTrackMusicSunsetSilentNightMixShortName,Solnedgang - Stillenatt
GameUIMusicTrackMusicSunsetSilentNightMixDescription,Superchill låt som slakker ned intensiteten – perfekt for de tidlige eller sene spillrundene
ShowLocalNetworkGames,Vis spill på ditt lokale nettverk
OdysseyReplayOdyssey,Spill Odyssé på nytt
OdysseyWarnNoTowers,Advarsel! Du har ingen Aper å bruke på øya {0}. Er du sikker på at du vil fortsette?
CoopLobbyNotAvailable,Lobbyen er ikke tilgjengelig
NotAvailable,Ikke tilgjengelig
Achievement 93 Name,Eventyrer
Achievement 93 Description,Fullfør en Odyssé
Achievement 94 Name,Erfaren eventyrer
Achievement 94 Description,Fullfør en vanskelig Odyssé
Achievement 95 Name,Alle muligheter utforsket
Achievement 95 Description,Fullfør alle tre vanskelighetsgrader av én Odyssé
Achievement 96 Name,12 apeoppgaver
Achievement 96 Description,Fullfør 12 ulike Odysseer
Achievement 97 Name,En lang reise
Achievement 97 Description,Fullfør 50 Odysseer
Achievement 98 Name,Den lengste reisen
Achievement 98 Description,Fullfør 100 Odysseer
Achievement 99 Name,Full fart forut!
Achievement 99 Description,Fullfør en Odyssé på under 1 time
Achievement 100 Name,Bling bling
Achievement 100 Description,Kjøp en Pokalbutikk-gjenstand
Achievement 101 Name,"Jo flere helter, jo flere problemer"
Achievement 101 Description,Fullfør en Odyssé uten en helt
Heroes Available:,Tilgjengelige helter:
Encrypted,Kryptert
TT_Locked,Låst
TT_Normal,Normal
JukeboxLoopTrack,Gjenta spor
TrophyStoreLimitedTime,Begrenset tid
TowerProjectileBombshooterPumpkinName,Gresskarbomber for bombeskytere
TowerProjectileBombshooterPumpkinShortName,Gresskarbomber
TowerProjectileBombshooterPumpkinDescription,Bombeskytere kan nå fyre avgårde eksploderende gresskar. Samlergjenstand i en begrenset tidsperiode!
TowerPetSupermonkeyBatName,Superapes kjæledyrsflaggermus
TowerPetSupermonkeyBatShortName,Superapes flaggermus
TowerPetSupermonkeyBatDescription,Sjokkerende søt eller søtlig sjokkerende? Ingen Superape bør ferdes uten en kjæledyrsflaggermus
BloonsBADSkinBonesName,Skjelett-BAD
BloonsBADSkinBonesShortName,Skjelett-BAD
BloonsBADSkinBonesDescription,Stirr i vantro på nifse Skjelett-BAD. Eller fortell vennene dine at det er en ny MOAB-klasse
BloonsAllBloonsDecalAxeName,Øksebloons
BloonsAllBloonsDecalAxeShortName,Øksebloons
BloonsAllBloonsDecalAxeDescription,"Det klassiske Halloween-kostymet, nå i universal bloonsformat! Samlergjenstand i en begrenset tidsperiode!"
CoopEmoteSoundScreamName,Skrikende lydeffekt
CoopEmoteSoundScreamShortName,Skrik
CoopEmoteSoundScreamDescription,"Skrik når du ikke kan tro det, skrik når du koser deg, eller bare skrik når Spiller 3 ikke deler spenna! Grufullt!"
CoopEmoteTextRound100Name,Runde 100-tekstikon
CoopEmoteTextRound100ShortName,Runde 100
CoopEmoteTextRound100Description,"La andre høre at du vil komme deg til Runde 100, slå BAD ned i støvlene og få tak i insta!"
GameUIPowerSkinSuperVampireStormName,Tilpasset kraft - Supervampyrstorm
GameUIPowerSkinSuperVampireStormShortName,Supervampyrstorm
GameUIPowerSkinSuperVampireStormDescription,"Gjør slutt på bloons på vampyrvis, svermer av flaggersmus inkludert"
GameUIProfileAvatar23Name,Tilpasset avatar - Skinnende Etienne
GameUIProfileAvatar23ShortName,Etienne-avatar
GameUIProfileAvatar23Description,"På topp og villig til å fly, Etienne er klar for adgang!"
GameUIProfileAvatar24Name,Tilpasset avatar - Morter-QA
GameUIProfileAvatar24ShortName,Morteravatar
GameUIProfileAvatar24Description,QA-tungskyts er ikke noe å drive ap med!
GameUIProfileAvatar25Name,Tilpasset avatar - Frankenape
GameUIProfileAvatar25ShortName,Frankenape-avatar
GameUIProfileAvatar25Description,Frankenapes favorittord: «Blooooooons». Samlergjenstand for en begrenset tidsperiode!
GameUIProfileAvatar26Name,Tilpasset avatar - Ulveape
GameUIProfileAvatar26ShortName,Ulveapeavatar
GameUIProfileAvatar26Description,Den aller kuleste avataren. Ulveapen er den mest populære apen i garderoben. Samlergjenstand for en begrenset tidsperiode!
GameOverScreen,Spillet er slutt
TowerProjectileBananaFarmCandyCornName,Candy corn-naner for banangård
TowerProjectileBananaFarmCandyCornShortName,Candy corn-naner
TowerProjectileBananaFarmCandyCornDescription,"Bananer er digg, men candy corn-naner er enda bedre! Samlergjenstand for en begrenset tidsperiode!"
GameUIPowerSkinHalloweenFarmerName,Tilpasset kraft - Bonden med Ljåen
GameUIPowerSkinHalloweenFarmerShortName,Bonden med Ljåen
GameUIPowerSkinHalloweenFarmerDescription,"Tiden for avling er her, og Bonden med Ljåen står klar til å samle inn hele sulamitten. Samlergjenstand for en begrenset tidsperiode!"
GameUIPowerSkinCoffinDropName,Tilpasset kraft - Kisteslipp
GameUIPowerSkinCoffinDropShortName,Kisteslipp
GameUIPowerSkinCoffinDropDescription,Flaggermus bringer deg kister fulle av spenn! Samlergjenstand for en begrenset tidsperiode!
GameUIMusicTrackMusicFiestaSynthwaveMixName,Jukeboks: Flammefiesta - Synthwave-miks
GameUIMusicTrackMusicFiestaSynthwaveMixShortName,Fiesta - Synthwave
GameUIMusicTrackMusicFiestaSynthwaveMixDescription,Favoritt-fiestasangen din gjennomgår 80-talls renovering. Brusete hår er valgfritt!
TowerProjectileMonkeyAceBonesName,Benpiler for Apeess
TowerProjectileMonkeyAceBonesShortName,Benpiler
TowerProjectileMonkeyAceBonesDescription,Skyt avgårde gufne benpiler med alle Apeess. Samlergjenstand for en begrenset tidsperiode!
TowerPetMonkeySubRubberDuckName,Kjæledyrsand for Ape-ubåt
TowerPetMonkeySubRubberDuckShortName,Kjæledyrsand
TowerPetMonkeySubRubberDuckDescription,"Splitter mine bramseil, det er en kjæledyrsand! Søte gummiender for alle ubåtene dine."
PlayerStatsNecroBloons,Nekro-bloons gjenopplivet
Achievement 102 Name,Sumoaper
Achievement 102 Description,"Jo større, jo bedre"
Achievement 103 Name,Tilbakevendt
Achievement 103 Description,Gjenoppliv 250 000 bloons til å slåss på din side ved hjelp av Åndemaneren
HiddenAchievementQuestionMarkString,???
Achievement 104 Name,Livet på kanten
Achievement 104 Description,Vinn et ikke-CHIMPS/popptastisk spill med kun ett liv igjen
Achievement 105 Name,Freidig fredag
Achievement 105 Description,Bruk alkymistens transformerende tonikum 100 ganger
PlayerStatsTransformingTonics,Tonikum brukt
Achievement 106 Name,Ape-fanklubb
Achievement 106 Description,"Opprett en konto, eller logg inn på kontoen din, hos Ninja Kiwi for å lagre fremdriften din i nettskyen"
Total Transformation Ability,Total transformasjon
Jungles Bounty Ability,Jungelens dusør
Spirit of the Forest Ability,Skogens ånd
Ultraboost Ability,Ultraboost
Dark Knight Ability,Mørkehopp
Dark Champion Ability,Mørkehopp
Door Gunner Ability,Dørvakttårn
SearchText,Søk ...
DartlingGunnerLockedIn,Låst på plass!
TowerEffectAllMonkeysPlacementUpgradesGhostsName,Spøkeplassering og oppgraderingseffekter
TowerEffectAllMonkeysPlacementUpgradesGhostsShortName,Spøkeoppgradering FX
TowerEffectAllMonkeysPlacementUpgradesGhostsDescription,Legg til en dæsj av det overnaturlige når du plasserer et apetårn med denne spøkefulle oppgraderingseffekten
BloonsAllBloonsPopsBonesName,Benpopp FX
BloonsAllBloonsPopsBonesShortName,Benpopp FX
BloonsAllBloonsPopsBonesDescription,Har bloons ben i legemet? Bloonsforskere vil gjerne finne det ut! Samlergjenstand for en begrenset tidsperiode!
OdysseyThemeBloonRush,Bloonflod
OdysseyThemeSpecificBloonRush,{0} bloonsflod
OdysseyThemeMegaBloon,Mega {0}
OdysseyThemeRoundMashUp,Rundemiks
OdysseyThemeRoundMixUp,Rundebytte
OdysseyThemeEntryMixUp,Ankomstbytte
OdysseyStars,Stjerner
DisableNudgeMode,Deaktiver dultemodus
More Pops To Open,Flere poppinger å åpne!
Most Pops Tip,"Få flest poppinger i spill av vanskelighetsgrad Middels, Vanskelig og Frispill!"
btd6_churchillbundle,Heltepakke
btd6_churchillbundle Description,• Helt\n• Heltedrakt\n• Utplasseringsanimasjon\n• Avatar
btd6_ezilibundle,Heltepakke
btd6_ezilibundle Description,• Helt\n• Heltedrakt\n• Heltekjæledyr\n• Avatar
btd6_benjaminbundle,Heltepakke
btd6_benjaminbundle Description,• Helt\n• Heltedrakt\n• Utplasseringsanimasjon\n• Avatar
btd6_patfustybundle,Heltepakke
btd6_patfustybundle Description,• Helt\n• Heltedrakt\n• Heltekjæledyr\n• Avatar
Red,Rød
Blue,Blå
Green,Grønn
Yellow,Gul
Pink,Rosa
Purple,Lilla
Lead,Bly
Black,Svart
White,Hvit
Zebra,Zebra
Rainbow,Regnbue
Ceramic,Keramisk
MOAB,MOAB
BFB,BFB
ZOMG,ZOMG
DDT,DDT
BAD,BAD
Insta Monkey Collection,Hurtigape-kolleksjon
Most Experienced Monkey,Mest erfaren ape
Most Experienced Monkey Xp,Mest erfaren ape-XP
Collection Chests Opened,Innsamlingskister åpnet
btd6_moremoneypack_sale,Mer for pengene-pakkesalg!
btd6_moremoneypack_sale Description,"Alle krefter man trenger for å skaffe raske penger - 20 pengedropp, 5 apebønder, samt 5 blomstringer! Rabattert i en begrenset tidsperiode!"
EditorRegrowSpeed,Gjenvoksingshastighet
HeroBundle,Heltepakke
GetItAllNow,Skaff deg hele pakken nå!
PlacementAnimation,Utplasseringsanimasjon
XFactor,X-faktor
Skates,Skøyter
DartlingGunner Short Description,Militærape
btd6_starterheroskinbundle Description,• 2 Quincy-drakter\n\n• 2 Gwen-drakter\n\n• 2 Bokser Jones-drakter\n\n• 2 Obyn-drakter
btd6_starterheroskinbundle,Megapakke
ObynMountainGuardianSkinName,Fjellvokter-drakt
ObynMountainGuardianSkinDescription,Fjellets iboende ånder har våknet.
HeroesPatPetPenguinName,Snømannen Frodes kjæledyrspingvin
HeroesPatPetPenguinShortName,Snømannen Frodes kjæledyr
HeroesPatPetPenguinDescription,En pingvin er en snømanns beste venn! Selv om det virker som om denne pønsker på noe … Kun til Snømannen Frode. Tidsbegrenset samlergjenstand!
HeroesAdmiralBrickellPetParrotName,Brickels kjæledyrspapegøy
HeroesAdmiralBrickellPetParrotShortName,Brickels papegøy
HeroesAdmiralBrickellPetParrotDescription,"Gvaak! Bloons i sikte, bloons i sikte! Kun til Pirat Brickell"
TowerPetMonkeyVillageElfName,Apelandsbys kjæledyrsalv
TowerPetMonkeyVillageElfShortName,Landsbyalv
TowerPetMonkeyVillageElfDescription,Dette er en alv med litt ekstra hår og en hale. Liker å legge igjen «gaver» rundt om i landsbyen. Tidsbegrenset samlergjenstand!
TowerEffectAllMonkeysPlacementUpgradesPresentsName,Gaveplasserings- og oppgraderingseffekter
TowerEffectAllMonkeysPlacementUpgradesPresentsShortName,Gaveoppgraderingseffekt
TowerEffectAllMonkeysPlacementUpgradesPresentsDescription,Hver dag er rene julaften når alle oppgraderingene eksploderer med gaver! Tidsbegrenset samlergjenstand!
TowerProjectileBoomerangCandyCaneName,Godtestang-ranger til boomerangkaster
TowerProjectileBoomerangCandyCaneShortName,Godtestang-ranger
TowerProjectileBoomerangCandyCaneDescription,Popp bloons med disse deilige godestengene! Tidsbegrenset samlergjenstand!
BloonsAllBloonsSantaHatsName,Nisseluer
BloonsAllBloonsSantaHatsShortName,Nisseluer
BloonsAllBloonsSantaHatsDescription,"Bloons + nisseluer, marerittprospekter eller de beste gavene noensinne? Tidsbegrenset samlergjenstand!"
BloonsAllBloonsRudolphNoseName,Rød snute-dekal
BloonsAllBloonsRudolphNoseShortName,Rød snute
BloonsAllBloonsRudolphNoseDescription,For å lede synlig an i bloonsangrepene ikle MOAB-ene en skinnende rød nese! Tidsbegrenset samlergjenstand!
BloonsAllBloonsPopsSnowflakesName,Snøfnuggpoppeeffekt
BloonsAllBloonsPopsSnowflakesShortName,Snøfnuggpoppeeffekt
BloonsAllBloonsPopsSnowflakesDescription,"Gjør hver bloon om til et unikt snøfnugg, ved å poppe den!"
BloonsMOABSkinGlacierName,Frossen isbre-MOAB
BloonsMOABSkinGlacierShortName,Frossen isbre-MOAB
BloonsMOABSkinGlacierDescription,Huleboerape advarer annen ape. Stor bloon kommer. Stor bloon veldig frossen. Huleboerape sulten. Har banan?
CoopEmoteAnimationHappyHolidaysName,Gledelig høytidsikon
CoopEmoteAnimationHappyHolidaysShortName,Gledelig høytid
CoopEmoteAnimationHappyHolidaysDescription,Ønsk alle en gledelig jul med dette begrensede ikonet for den ultimate samleren!
CoopEmoteAnimationCelebrationName,Feiringsikon
CoopEmoteAnimationCelebrationShortName,Feiring
CoopEmoteAnimationCelebrationDescription,Tell ned til det nye året og lov deg selv at du skal slå en ny personlig rekord
CoopEmoteAnimationFacepalmName,Oppgitt-ikon
CoopEmoteAnimationFacepalmShortName,Oppgitt
CoopEmoteAnimationFacepalmDescription,Deler ikke Ben penger? Slipper Quincy bloons forbi buen sin? Oppgitte Ezilis er passende for mange situasjoner!
GameUIPowerSkinBaubleMineName,Tilpasset kraft - Baublemine
GameUIPowerSkinBaubleMineShortName,Baublemine
GameUIPowerSkinBaubleMineDescription,Spreng i stykker bloons av MOAB-klasse og dekorer juletreet med dem! Tidsbegrenset samlergjenstand!
GameUIPowerSkinRetroTechbotName,Tilpasset kraft - Retro tek-bot
GameUIPowerSkinRetroTechbotShortName,Retro tek-bot
GameUIPowerSkinRetroTechbotDescription,Før an med en førsteklasses oppstilling av de aktiverte evnene dine med denne super-groovy retro tek-boten. Batterier følger ikke med. Tidsbegrenset samlergjenstand!
GameUIPowerSkinIcebergPontoonName,Tilpasset kraft - Isbergspontong
GameUIPowerSkinIcebergPontoonShortName,Isbergspontong
GameUIPowerSkinIcebergPontoonDescription,Se på mens bloonsproblemene dine smelter vekk med denne supekule Isbergspontongen.
GameUIProfileAvatar27Name,Tilpasset avatar - Apeess
GameUIProfileAvatar27ShortName,Apeess-avatar
GameUIProfileAvatar27Description,Apeesset redder dagen! Ta kontroll over himmelen med denne flotte avateren
GameUIProfileAvatar28Name,Tilpasset avatar - Dartpistol-ape
GameUIProfileAvatar28ShortName,Dartpistol-ape-avatar
GameUIProfileAvatar28Description,"Du har sett apetårnet, skaff deg nå avataren! Vis respekten som denne klassiske bloonpopperen fortjener!"
GameUIProfileAvatar29Name,Tilpasset avatar - Vinterninja
GameUIProfileAvatar29ShortName,Vinterninja-avatar
GameUIProfileAvatar29Description,Gjør deg klar for høytiden med denne iskule Ninja-avataren.
GameUIProfileAvatar30Name,Tilpasset avatar - Høytidsoppdatering
GameUIProfileAvatar30ShortName,Høytidsoppdaterings-avatar
GameUIProfileAvatar30Description,En oppdatering for en gledelig jul og et godt nyttår! Tidsbegrenset samlergjenstand!
RecurringRangs,Returnerende 'ranger
RecurringRangsDescription,Bumeranger som returnerer til bumerangkasteren vil bli kastet enda en gang.
FirstLastLineOfDefense,Første siste forsvarslinje
FirstLastLineOfDefenseDescription,Prisen for første Spikerfabrikk per spill er redusert med $150.
FlankingManeuvers,Flankerende manøvrer
FlankingManeuversDescription,"Snikskytterape, Ape-ubåt og Piratape angriper 10 % raskere når de angis til å være «sist» i målrettingsprioriteten."
EmergencyUnlock,Nødopplåsning
EmergencyUnlockDescription,Aktivert evne: låser opp låste Dartpistol-aper og øker svinghastigheten deres i en kort periode.
GorgonStorm,Gorgonstorm
GorgonStormDescription,Hydra-rakettstorm lamslår skadede bloons i en kort periode.
CrossTheStreams,Strålekrysning
CrossTheStreamsDescription,"Der Plasma- eller Dommedagsstråler krysser hverandre på banen, vil de skape midlertidige plasmapøler."
MonkeysTogetherStrong,Aper er sterkere sammen
MonkeysTogetherStrongDescription,Helter mottar 5 % mer erfaringspoeng per helt som plasseres.
