//Input. Needs to be first e.g [I] replaced by click or tap,
Click,คลิก
Achievement 90 Name,ใช้เวลาถึง 1 ปีในการสร้าง
Achievement 90 Description,เปิดหีบรายวัน 365 ครั้ง
Achievement 91 Name,กาลี มาาาาาาาาา
Achievement 91 Description,ได้เลเวล 10 สำหรับ อดอร่าในรอบเดียว
Blood Sacrifice Ability,สังเวยเลือด
Blood Sacrifice Ability Description,สละทาวเวอร์เป้าหมายเพื่อให้อดอร่าได้รับ XP จำนวนมาก และเพิ่มระยะการโจมตีและอัตราการยิงของเธอในช่วงเวลาสั้นๆ
The Long Arm of Light Ability,ลำแสงยาว
The Long Arm of Light Ability Description,เพิ่มระยะการโจมตีและพลังอย่างมากในช่วงเวลาสั้น ๆ และสร้างความเสียหายให้กับลูกโป่งทุกชนิด
Ball of Light Ability,ลูกบอลแห่งแสง
Ball of Light Ability Description,นำลูกบอลอันทรงพลังออกมาเพื่อโจมตีลูกโป่ง
SunAvatarMini,อวตารอาทิตย์
TrueSunAvatarMini,อวตารอาทิตย์
ComeOnEverybody,มานี่ทุกท่าน!
ComeOnEverybodyDescription,ทาวเวอร์หลักจะโจมตีเร็วขึ้น 5% หากทั้งหมดอยู่ต่ำกว่าระดับ 3 และมีราคาลดลง 5% หากทั้งหมดเป็นระดับ 3 หรือ 4
Wingmonkey,ลิงมีปีก
WingmonkeyDescription,เส้นทางการบินขั้นสูงที่รวบรวมลิงเอซหลายตัวในการโจมตีแบบไร้ทิศทาง
TT_Wingmonkey,ลิงมีปีก
TinyTornadoes,พายุทอร์นาโดจิ๋ว
TinyTornadoesDescription,พายุทอร์นาโดดรูอิดจะสร้างพายุทอร์นาโดขนาดเล็ก 3 ลูกเมื่อหมดเวลา
HealthyBananas,กล้วยเพื่อสุขภาพ
HealthyBananasDescription,ตลาดจะสร้าง 1 ชีวิตต่อรอบ และตลาดกลางจะสร้าง 3 ชีวิต
WeakPoint,จุดอ่อน
WeakPointDescription,ฮีโร่ทั้งหมดสร้างความเสียหาย +1 ให้กับลูกโป่งเซรามิก และลูกโป่งเสริมกำลัง
WolfpackQuincySkinName,สกินควินซี่หมาป่า
WolfpackQuincySkinDescription,ในอดีตกาลแสนไกล ยามที่นักล่าทุกคนแข็งแกร่ง ทว่าฝูงสัตว์แข็งแกร่งกว่า เขาคือควินซี บรรพบุรุษของควินซี
Infernal,นรก
DownloadButton,ดาวน์โหลด
DownloadDescription,จำเป็นต้องอัปเดตไฟล์ก่อนเล่น ขอแนะนำให้ใช้ Wi-Fi ขนาดข้อมูล {0}MB
ViewCollectionButton,ดูคอลเลกชั่น
ViewInventoryButton,ดูสินค้าคงคลัง
CollectionDescription,ลิงอินสตาจะยังคงปรากฏอยู่ในคอลเล็กชันของคุณแม้หลังการใช้งาน
CollectionNoInventory,ลิงอินสตาที่เก็บจากหีบสมบัติประจำวัน ชาเลนจ์ และกิจกรรมต่างๆ จะปรากฏขึ้นที่นี่
MatchIncompatible,ไม่รองรับประเภทเกม
CollectionEventBonusRewards,รางวัลโบนัส
SteamOverlay,จำเป็นต้องมี Steam Overlay และการเข้าสู่ระบบเพื่อทำการสั่งซื้อ
CollectionEventFeaturedInstas,อินสตาเด่น
CollectionEventChangesIn,การเปลี่ยนแปลงใน:
CollectionEventChooseInsta,เลือกอินสตาเด่น
JoanOfArcAdoraSkinName,สกินโจนออฟอาร์กอดอร่า
JoanOfArcAdoraSkinDescription,ทุกสมรภูมิหากใจไม่สู้ก็แพ้ตั้งแต่แรกแล้ว
EditorRules,กฎ
EditorModifiers,ตัวดัดแปลง
PathRestricted,เส้นทางที่ถูกจำกัด
UpgradeRestricted,จำกัดการอัปเกรด
ChallengeEditorRestrict,จำกัด
ConfirmApplyAll,ใช้ข้อจำกัดเหล่านี้กับทาวเวอร์ลิงที่มีอยู่ทั้งหมดหรือไม่
ConfirmResetAll,รีเซ็ตทาวเวอร์ลิงที่มีอยู่ทั้งหมดเป็น 5-5-5 หรือไม่
Geared,ใส่แล้ว
ChallengeEditorTowerRestrictions,ข้อจำกัดของทาวเวอร์
ChallengeEditorApplyAll,ตั้งค่าทั้งหมด
ChallengeEditorResetAll,รีเซ็ตทั้งหมด
CandyFalls,แคนดีฟอลส์
HarlegwenGwendolinSkinName,สกินฮาร์ลี่เกว็น
HarlegwenGwendolinSkinDescription,ฉันขึ้นชื่อเรื่องชอบก่อกวน!
CoopLobbyHackerDetected,ไม่สามารถเข้าร่วมเกม ตรวจพบเงื่อนไขที่ไม่รองรับ โปรดไปที่ https://ninja.kiwi/btd6_coop เพื่อขอความช่วยเหลือ
TechBotSetAmbush,วางแผนซุ่มยิง
TechBotSetAmbushInstruction,เลือกพื้นที่ซุ่มยิงใกล้แทร็ก
AmbushTech,เทคโนโลยีซุ่มยิง
AmbushTechDescription,เทคบอทสามารถกำหนดเป้าหมายโจมตีเฉพาะเมื่อลูกโป่งเข้าสู่พื้นที่แทร็กที่กำหนดเท่านั้น
DoorGunner,มือปืนหน้าประตู
DoorGunnerDescription,เฮลี่ป๊อปโปเรชั่นพิเศษอนุญาตให้หอยคอยลิงระดับ 4 และต่ำกว่าสามารถโจมตีลูกโป่งได้ในระหว่างการเดินทาง
DoorGunnerDenied,ทำให้ทาวเวอร์นี้เป็นมือปืนหน้าประตูไม่ได้
AmbidextrousRangs,บูมเมอแรงสองมือ
AmbidextrousRangsDescription,ความรู้และการฝึกอบรมทำให้ลิงบูมเมอแรงสามารถสลับมือเพื่อกำหนดเป้าหมายและเพิ่มประสิทธิภาพการโจมตีบูมเมอแรง
BoomerangTargetingSwitchHands,สลับมือ
VineRupture,เถาองุ่นแตก
VineRuptureDescription,ทำให้ดรูอิดวิญญาณแห่งป่ามีความสามารถใหม่ในการทำลายเถาวัลย์ทั้งหมด สร้างความเสียหายอย่างมากกับลูกโป่งที่ไม่ใช่ตะกั่วทั้งหมด เถาวัลย์ใหม่จะงอกใหม่หลังจากการแตกร้าวแต่ละครั้ง
