//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicka
HeroesChurchillPlacementTankDropDescription,Det finns inget häftigare än en 65 ton tung Churchill som dundrar in i strid. Endast original-Churchill
HeroesBenjamminDJSkinPlacementPartyLightsName,DJ Benjammins partybelysning Placera och uppgradera
HeroesBenjamminDJSkinPlacementPartyLightsDescription,Anlita aldrig en DJ utan partybelysning med full styrka. Endast DJ Benjammin
HeroesStrikerJonesPlacementParadropName,Striker Johns fallskärmshopp Placera och uppgradera
HeroesStrikerJonesPlacementParadropDescription,Alla de coolaste apsoldaterna anländer med fallskärm. Endast original-Striker Jones
HeroesQuincyPetDadOfQuincyName,Dad of Quicy-maskot
HeroesQuincyPetDadOfQuincyDescription,Son of Quincy är inte komplett utan Dad of Quincy. Endast original-Quincy
HeroesGwendolinPetFirefoxName,Gwendolins röda panda
HeroesGwendolinPetFirefoxDescription,Denna bedårande röda panda är aldrig långt borta från Gwens sida. Endast original-Gwendolin
BloonsMOABSkinFootballName,Gridiron fotbolls-MOAB
BloonsMOABSkinFootballDescription,MOAB:er verkar var enklare att genskjuta när de ser ut som fotbollar
BloonsBFBSkinPizzaName,Pizza BFB
BloonsBFBSkinPizzaDescription,Vem behöver luftskeppsreklam när en BFB kan göras av pizza
BloonsZOMGSkinWatermelonName,Vattenmelon-ZOMG
BloonsZOMGSkinWatermelonDescription,Gör att du vill slå sönder den ännu mer
BloonsMOABSkinMaulerName,Misshandlar-MOAB
BloonsMOABSkinMaulerDescription,"Om du inte kan slå dem, anslut till dem"
BloonsMOABSkinPufferFishName,Blåsfisk-MOAB
BloonsMOABSkinPufferFishDescription,Blåsfisk-MOAB:er är uppblåsta redan innan du blåser bort dem
BloonsAllBloonsDecalGooglyEyesName,Glosögda Bloons
BloonsAllBloonsDecalGooglyEyesDescription,Glosögda ser ut precis som hemma på vanliga Bloons och Bloons i MOAB-klassen
BloonsDDTSkinSharkName,Haj-DDT
BloonsDDTSkinSharkDescription,"Eftersom du vet att den kommer att döda dig, är det väl lika bra att en DDT ser ut på det sättet"
BloonsAllBloonsPopsConfettiName,Smällkaramelleffekt
BloonsAllBloonsPopsConfettiDescription,Dina apor älskar sitt arbete ännu mer när de får en speciell smällkaramell- och ljudeffekt
BloonsBADSkinPinataName,Piñata-BAD
BloonsBADSkinPinataDescription,"Inget är läskigare än en stor, lila piñata, komplett med en godissmälleffekt"
CoopEmoteAnimationDiscoBallName,Diskokuleanimering
CoopEmoteAnimationDiscoBallDescription,"Släpp en diskokula för att smycka ut valfritt samarbetsspel. Ingen effekt på spelfunktionerna, men DJ Benjammin älskar det"
CoopEmoteAnimationConfettiName,Konfettikanonanimering
CoopEmoteAnimationConfettiDescription,Avfyra en konfettikanon under valfritt samarbetsspel. Ingen effekt på spelfunktionerna. Aporna blir gladare i hemlighet.
CoopEmoteTextAmazingName,Text-emote Fantastiskt
CoopEmoteTextAmazingDescription,"Tala om för andra samarbetsspelare att deras spelande var Fantastiskt eller att vad de just gjorde var Fantastiskt, eftersom de borde uppskatta att du bara välsignade dem med din närvaro"
CoopEmoteTextPerfectTimingName,Text-emote Perfekt tajming
CoopEmoteTextPerfectTimingDescription,Utropa Perfekt tajming för de där perfekta insatserna! Möjligheterna för ironisk användning är ändlösa
CoopEmoteAnimationSirenName,Sirenljudeffekt
CoopEmoteAnimationSirenDescription,Låt sirenerna ljuda för att påminna dina samarbetslagkamrater om förestående undergång! Eller att du måste gå och göra en smörgås
CoopEmoteAnimationLoveHeartsName,Kärlekshjärta-animering
CoopEmoteAnimationLoveHeartsDescription,Inget visar dina samarbetsspelare kärlek bättre än ett animerat gytter av svävande hjärtan. Ingen effekt på spelfunktionerna
CoopEmoteIconNoCashDropsName,Emote Inga pengasläpp-symbol
CoopEmoteIconNoCashDropsDescription,"För när du verkligen, verkligen inte vill ha de där pengasläppen i början av spelet Eller att använda varannan dag för att få dem"
CoopEmoteTextWhyName,Varför?! Text-emote
CoopEmoteTextWhyDescription,"För ibland, även om du försöker att undvika det, måste du bara fråga"
CoopEmoteSoundAirhornName,Mistlurljudeffekt
CoopEmoteSoundAirhornDescription,"Det finns verkligen ingen bra anledning till detta. Endast dåliga, men det kan ändå vara roligt..."
CoopEmoteTextAllIsFineName,Text-emote Allt är bra
CoopEmoteTextAllIsFineDescription,Så många möjligheter att använda detta och ta en skärmdump - du behöver inte ens en meme-generator längre
CoopEmoteIconStopName,Emote Stoppsymbol
CoopEmoteIconStopDescription,"Den animerade stora röda åttahörningen ger sig ett sätt att säga stopp till alla Bloons, eller till mindre lyckade spelval"
CoopEmoteIconDangerName,Emote Farosymbol
CoopEmoteIconDangerDescription,"En animerad Varningsskylt för att varna för läskiga saker, inklusive mindre sluga val från lagkamrater"
GameUIUpgradesDisplayNamedMonkeysName,Apnamn
GameUIUpgradesDisplayNamedMonkeysDescription,Namnge en enskild apa från varje aptorntyp! Den första utplacerade apan av någon typ kommer att bli den namngivna apan och registrera sin individuella livstidsstatus! Redigera apnamn i uppgraderingspanelen i spelet och kontrollera status via huvudmenyprofilen.
TrophyHeader,Trofébutik
TrophyTabHeroes,Hjältar
TrophyTabMonkeys,Apor
TrophyTabBloons,Bloons
TrophyTabCoop,Samarbete
TrophyTabGameUI,Spel och gränssnitt
TrophyTabFeatured,Vad som erbjuds
TrophyTabInventory,Inventarielista
TrophyTrophiesEarned,Vunna troféer:
Naval Tactics Ability,Sjötaktik
Naval Tactics Ability Description,Ökar attackhastigheten betydligt för vattenbaserade apor i närheten under en kort stund.
Mega Mine Ability,Megamina
Mega Mine Ability Description,Lägger ut en förödande megamina som aktiveras av MOAB:er och bedövar Bloons i närheten.
Confirm,Bekräfta
PlayerStatsTimesPlaced,Antal gånger utplacerad
Trophies,Troféer
RewardsTop50,Topp 50
OdysseyMapComplete,Ö {0} slutförd!
OdysseyComplete,Odyssé slutförd!
HeroesQuincyCyberQuincyPlacementFireworksShortName,Cyberfyrkverkerier
HeroesAdoraPlacementSunbeamShortName,Adoras solstråle
HeroesChurchillPlacementTankDropShortName,Släpp av Churchill-stridsvagn
HeroesBenjamminDJSkinPlacementPartyLightsShortName,DJ Bens partybelysning
HeroesStrikerJonesPlacementParadropShortName,Striker-fallskärmssläpp
HeroesQuincyPetDadOfQuincyShortName,Dad of Quicy-maskot
HeroesGwendolinPetFirefoxShortName,Gwens röda panda
BloonsMOABSkinFootballShortName,Fotbolls-MOAB
BloonsBFBSkinPizzaShortName,Pizza BFB
BloonsZOMGSkinWatermelonShortName,Vattenmelon-ZOMG
BloonsMOABSkinMaulerShortName,Misshandlar-MOAB
BloonsMOABSkinPufferFishShortName,Blåsfisk-MOAB
BloonsAllBloonsDecalGooglyEyesShortName,Utstående ögon
BloonsDDTSkinSharkShortName,Haj-DDT
BloonsAllBloonsPopsConfettiShortName,Smällkaramelleffekt
BloonsBADSkinPinataShortName,Piñata-BAD
CoopEmoteAnimationDiscoBallShortName,Diskokula
CoopEmoteAnimationConfettiShortName,Konfettikanon
CoopEmoteTextAmazingShortName,Fantastiskt-text
CoopEmoteTextPerfectTimingShortName,Perfekt tajming-text
CoopEmoteAnimationSirenShortName,Siren
CoopEmoteAnimationLoveHeartsShortName,Kärlekshjärtan
CoopEmoteIconNoCashDropsShortName,Inga pengasläpp
CoopEmoteTextWhyShortName,Varför? Text
CoopEmoteSoundAirhornShortName,Mistlur
CoopEmoteTextAllIsFineShortName,Allt är bra-text
CoopEmoteIconStopShortName,Stopp
CoopEmoteIconDangerShortName,Fara
GameUIUpgradesDisplayNamedMonkeysShortName,Apnamn
GameUIMusicTrackMusicTitleFiestaMixName,Jukebox: Huvudtema - Fiesta Mix
GameUIMusicTrackMusicTitleFiestaMixShortName,Huvud - Fiesta
GameUIMusicTrackMusicTitleFiestaMixDescription,Partaja medan du spelar med denna dansanta remix av huvudtemat Party Time.\nAktivera musik via Jukebox i huvudinställningsmenyn.
GameUIMusicTrackMusicSunshineGameboyMixName,Jukebox: Sunshine Serenade - Gameboy Mix
GameUIMusicTrackMusicSunshineGameboyMixShortName,Serenade - Gameboy
GameUIMusicTrackMusicSunshineGameboyMixDescription,Njut av en nostalgisk resa tillbaka till 8-bit när Sunshine Serenade bjuder på en old school-remix.\nAktivera musik via Jukebox i huvudinställningsmenyn.
GameUIMusicTrackMusicTropicalComplextroMixName,Jukebox: Tropical Carnival - Complextro Mix
GameUIMusicTrackMusicTropicalComplextroMixShortName,Carnival - Complextro
GameUIMusicTrackMusicTropicalComplextroMixDescription,Apor älskar en bra complextro-rytm då och då och Tropical Carnival-remixen gör ingen besviken.\nAktivera musik via Jukebox i huvudinställningsmenyn.
GameUIMusicTrackMusicTribesFunkedMixName,Jukebox: Tribes & Tribulations - Funked Mix
GameUIMusicTrackMusicTribesFunkedMixShortName,Tribes - Funked
GameUIMusicTrackMusicTribesFunkedMixDescription,Man kan inte ha så här många apor utan lite funk. Sätt på din bred krage och din guldkedja och släpp loss till denna coola remix.\nAktivera musik via Jukebox i huvudinställningsmenyn.
GameUIProfileAvatar13Name,Anpassad avatar - Biker Bones
GameUIProfileAvatar13ShortName,Biker Bones-avatar
GameUIProfileAvatar13Description,"""Jag är aphämd!""\nVälj din spelaravatar via huvudmenyns avatarporträtt"
GameUIProfileAvatar14Name,Anpassad avatar - Förvandlande Tonic-alkemist
GameUIProfileAvatar14ShortName,Förvandlande avatar
GameUIProfileAvatar14Description,Den bästa tonicen är en stark tonic\nVälj din spelaravatar via huvudmenyns avatarporträtt
GameUIProfileAvatar15Name,Anpassad avatar - Skogsandedruid
GameUIProfileAvatar15ShortName,Skogsdruid-avatar
GameUIProfileAvatar15Description,Uppvisa druidiskt lugn och enhet med naturen\nVälj din spelaravatar via huvudmenyns avatarporträtt
GameUIProfileAvatar16Name,Anpassad avatar - Ta dem! Pat
GameUIProfileAvatar16ShortName,Pat Fusty-avatar
GameUIProfileAvatar16Description,Inget säger jätteapa som på det här sättet.\nVälj din spelaravatar via huvudmenyns avatarporträtt
GameUIProfileAvatar17Name,Anpassad avatar - Snygg profil-Ezili
GameUIProfileAvatar17ShortName,Ezili-avatar
GameUIProfileAvatar17Description,Ezili har aldrig varit så snygg.\nVälj din spelaravatar via huvudmenyns avatarporträtt
GameUIProfileAvatar18Name,Anpassad avatar - Churchill i aktion
GameUIProfileAvatar18ShortName,Churchill-avatar
GameUIProfileAvatar18Description,Det kan mycket väl vara din patriotiska plikt att visa upp denna hyllning till aphjältar under beskjutning.\nVälj din spelaravatar via huvudmenyns avatarporträtt
MonkeyNameHeader,Redigera apnamn
MonkeyNameInstruction,Välj ett anpassat namn för den första apan av varje typ. Begränsa namnet till 20 tecken och 2 rader för optimal visning. Använd mellanslag för att separera rader
OdysseyCompleteDescription,"Gratulerar, tappre äventyrare! Du har slutfört din Odyssé och vunnit följande belöningar!"
HeroBoosterDescription,Höj hjälte till nivå 10 omedelbart?
InappropriateNamedMonkeyName,Var vänlig välj ett mera lämpligt apnamn
PatchNotesLink,"För ett fullständigt uppdateringsmeddelande, var vänlig gå till:"
TrophyPurchaseConfirmation,Köp {0} för {1} troféer?
TrophyPurchaseInsufficient,Du har inte tillräckligt med troféer för att köpa denna artikel. Få fler från tävlingar och odysséläge.
TrophyStoreBought,Köpt
LotusIsland,Lotusön
OctoJonesStrikerJonesSkinName,Oktojones-skin
OctoJonesStrikerJonesSkinDescription,Jag är havet!
OdysseyRestartVoyage,Starta om resa
CoopEmoteTextAmazingWord,Fantastiskt!
CoopEmoteTextPerfectTimingWord,Perfekt tajming
CoopEmoteTextWhyWord,Varför?!
CoopEmoteTextAllIsFineWord,Allt är bra
PlayerStatsTimesUpgraded,Gånger uppgraderad
PlayerStatsTimesSacrificed,Gånger offrad
TrophyStoreInfoHeader,Info om trofébutiken
TrophyStoreInfoBody,"Trofébutiken är hemvist för massor av häftiga kosmetiska uppgraderingar!\n• Vinn troféer genom att slutföra odysséer, få topplaceringar i tävlingslopp och besegra bossar\n• De flesta inköpta artiklar kan aktiveras och inaktiveras i inventariefliken\n• Köpta musikspår visas i din Jukebox\n• Köpta avatarer och banners visas i din huvudmenyprofil\n• Namngivna apor redigeras via uppgraderingspanelen i spelet"
RestartOdysseyBody,Är du säker på att du vill starta om din odyssé?
OdysseyBannerRewards,Vinn belöningar och troféer!
UpdateNotes,Uppdateringsmeddelande
OdysseyEventEnded,Odysséhändelsen har avslutats!
NamedMonkeysAll,Samtliga
NamedMonkeysTitle,Namngivna Apor
PlayerStatsLifetimeTrophies,Livstidstroféer
OdysseyCompletedRewards,Slutfört!
OdysseyCrewReset,Är du säker på att du vill återställa din besättning?
Etienne,Etienne
Etienne Short Description,Drönaroperatör
Etienne Description,Denna högteknologiska hjälte kan följa Bloons var de än tar vägen med sin fjärrstyrda drönare.
Etienne Level 1 Description,Flyger runt en liten dödlig drönare för att skjuta mot Bloons.
Etienne Level 2 Description,Etiennes räckvidd ökas.
Etienne Level 3 Description,Drönarsvärm: Etienne skickar upp ytterligare 4 tillfälliga drönare som smäller Bloons utan pardon.
Etienne Level 4 Description,Drönarna får ökad smällkraft.
Etienne Level 5 Description,Drönaren får ökad attackhastighet och en infraröd kamera som gör det möjligt att skjuta Kamobloons.
Etienne Level 6 Description,Nedkylningen för drönarsvärmförmågan minskas.
Etienne Level 7 Description,Etienne styr nu 2 drönare samtidigt.
Etienne Level 8 Description,UAV: alla Apor får Kamobloondetektering
Etienne Level 9 Description,Drönarna kan smälla ett extra Bloonlager.
Etienne Level 10 Description,UCAV: höghöjdsövervakningsdrönare blir en förödande attackdrönare under en kort stund.
Etienne Level 11 Description,Etienne får en tredje drönare att styra.
Etienne Level 12 Description,Drönaruppgraderingar! Ökad smällkraft och flyghastighet.
Etienne Level 13 Description,Nedkylningen för UCAV-förmågan minskas.
Etienne Level 14 Description,Drönarskadan ökar betydligt.
Etienne Level 15 Description,Effekt och varaktighet för UCAV-skada ökar betydligt.
Etienne Level 16 Description,"Etiennes räckvidd, drönarsmällkraft och nedkylning för drönarsvärm förbättras samtliga."
Etienne Level 17 Description,Effekten för UCAV-skada ökas betydligt på nytt!
Etienne Level 18 Description,Drönarskadan ökar.
Etienne Level 19 Description,Etienne styr nu fyra drönare hela tiden!
Etienne Level 20 Description,"Perma-UCAV: Övervakningsdrönaren blir permanent UCAV. När detta är aktiverat, blir de kraftfullare under en kort stund och kan smälla alla Bloontyper."
Drone Swarm Ability,Drönarsvärm
Drone Swarm Ability Description,Etienne skickar upp ytterligare 4 tillfälliga drönare som smäller Bloons utan pardon.
UCAV Ability,UCAV
UCAV Ability Description,Höghöjdsövervakningsdrönare blir en förödande attackdrönare under en kort stund.
Mesa,Mesa
DreadPirateBrickellAdmiralBrickellSkinName,Skräckpiraten Brickell
DreadPirateBrickellAdmiralBrickellSkinDescription,Drottningen över de sju haven seglar på nytt!
No Insta Reward,Ingen Runda 100-belöning
GameUIProfileAvatar19Name,Anpassad Avatar - Adoras vilande ansikte
GameUIProfileAvatar19ShortName,Adora-avatar
GameUIProfileAvatar19Description,Adora menar allvar och det gör det även att ha denna avatar
GameUIProfileAvatar20Name,"Anpassad avatar - Ja, vi kan tekniken"
GameUIProfileAvatar20ShortName,Ingenjör-avatar
GameUIProfileAvatar20Description,Att älska sitt jobb är halva nöjet och denna ingenjör sticker med glädje hål på fler Bloons
GameUIProfileAvatar21Name,Anpassad avatar - B&W Brickell
GameUIProfileAvatar21ShortName,Brickell-avatar
GameUIProfileAvatar21Description,"Amiral Brickell leder sin flotta till seger, förevigat i svartvitt."
GameUIProfileAvatar22Name,Anpassad avatar - Ikoniska DJ Ben
GameUIProfileAvatar22ShortName,DJ Ben-avatar
GameUIProfileAvatar22Description,DJ Benjammin i sin ikoniska kännetecknande stil
HeroesObynPetWolfName,Obyn Spökvarghusdjur
HeroesObynPetWolfShortName,Obyn Spökvarg
HeroesObynPetWolfDescription,Skogsandarna är alltid vakna med Obyns förtjusande spökvargvalp i närheten. Endast original-Obyn
HeroesEziliPetFrogName,Tamgrodan Ezili
HeroesEziliPetFrogShortName,Tamgrodan Ezili
HeroesEziliPetFrogDescription,Ezili svär att det inte är en voodoo-stereotyp - hon tycker bara helt enkelt att denna groda är den coolaste. Endast original-Ezili
BloonsAllBloonsPopsBarrelOfMonkeysName,Apan Mos smälljudeffekter
BloonsAllBloonsPopsBarrelOfMonkeysShortName,Apornas smälljudeffekter
BloonsAllBloonsPopsBarrelOfMonkeysDescription,Du kan inte ha för många apor! Nu kan du få en färgglad apeffekt att visas för varje smäll
BloonsAllBloonsTopHatsName,Hög hatt-bloons
BloonsAllBloonsTopHatsShortName,Höga hattar
BloonsAllBloonsTopHatsDescription,"Ge de där Bloonsen lite stil med en tidlös, flott hög hatt."
CoopEmoteSoundCricketsName,Syrsljudeffekt
CoopEmoteSoundCricketsShortName,Syrsor
CoopEmoteSoundCricketsDescription,Detta är ljudet av den 14:e begäran om pengar som ignoreras
