//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Haz clic en
CollectionRewardsDelivered,Se abrieron las recompensas del evento de colección y se enviaron al inventario de instamonos.
CoopSyncMessage,Sincronizando con los otros jugadores...
CoopPlayerLeftMessage,salió de la partida
CollectionEventEnded,Terminó el evento de colección
CoopPublicGameStart,La partida comenzará pronto...
CalloutMasterBuild,Maestro constructor
CalloutLessIsMore,Menos es más
CalloutPopMaster,Maestro reventador
CalloutPopPacifist,Pacifista del reviente
CalloutBossSkillz,Habilidades superiores
CalloutWhatMOABs,¿Qué MOAB?
CalloutMonkeyFinancier,Financista moneril
CalloutNoBananas4U,No hay bananas para ti
CalloutActivator,Activador
CalloutPoweredUp,Mucho poder
CalloutInstaWinner,Ganador instantáneo
CalloutMasterBuildDesc,{0} torres colocadas
CalloutLessIsMoreDesc,{0} torres colocadas
CalloutPopMasterDesc,{0} bloons reventados
CalloutPopPacifistDesc,{0} bloons reventados
CalloutBossSkillzDesc,{0} MOAB reventados
CalloutWhatMOABsDesc,{0} MOAB reventados
CalloutMonkeyFinancierDesc,{0} dinero generado
CalloutNoBananas4UDesc,{0} dinero generado
CalloutActivatorDesc,{0} habilidades usadas
CalloutPoweredUpDesc,{0} poderes usados
CalloutInstaWinnerDesc,{0} instamonos usados
CoopLobbyNotFound,No se encontró la partida
CoopLobbyIsFull,Partida llena
CoopLobbyNotCompatible,Las versiones del juego no son compatibles. Actualízalo.
CheckInternet,No se puede conectar. Comprueba la conexión a internet.
SacrificialTotem,Tótem sacrificial
SandboxSetRound,Establecer ronda:
SandboxSpacing,Espacios:
SandboxCount,Conteo:
CoopDisconnected,Sin conexión
CoopDisconnectedMessage,"Por desgracia, el juego perdió la conexión. Regresa al menú principal."
CoopCreatingLobby,Creando partida…
CoopHostDisconnected,Se desconectó el jugador que creó la partida.
CoopNoPublicOption,La configuración solo se puede usar en una partida privada.
CoopBuildZoneMessage,Construye las torres de monos en el área verde.
Cargo,Carga
BenJamminSkinName,Aspecto de DJ de Benjammin'
BenJamminSkinDescription,¡Esto será un reventón!
EditorAllCamo,Todos los camuflados
EditorAllRegrow,Todos los regeneradores
AllCamoDescription,Todos los bloons que no son MOAB son camuflados
AllRegrowDescription,Todos los bloons que no son MOAB son regeneradores
CoopGiveCashText,Dar
CoopWaitingMessage,Esperando a otros jugadores…
CoopReconnectMessage,Reconectándose con la partida…
Achievement 65 Name,Alquemiman y Chico Bloon
Achievement 65 Description,Pusiste la M de mini y debería ser la W de wumbo.
SmudgeCattSkinName,Aspecto Felina manchada
SmudgeCattSkinDescription,La mirada hipnótica de Felina manchada te incita a perforar a los bloons. Tiene hambre de venganza y de comida para gatos.
Workshop,Taller
SmallBloonsMode,Bloons pequeños
Achievement 66 Name,2TC
Achievement 66 Description,Completa una partida en dificultad CHIMPS con solo 2 torres moneriles.
Achievement 67 Name,Chasquea los dedos
Achievement 67 Description,Completa una partida con la mitad de las vidas iniciales y la mitad del dinero inicial.
Achievement 68 Name,Filantropía
Achievement 68 Description,Envía 500 000 a un aliado en modo cooperativo de una vez.
Achievement 69 Name,Bloontona 500
Achievement 69 Description,Gana acceso a 500 carreras.
Achievement 70 Name,Principiante del año
Achievement 70 Description,Completa una carrera en menos de 10 minutos.
Achievement 71 Name,Estrella en ascenso
Achievement 71 Description,Completa una carrera en menos de 5 minutos.
Achievement 72 Name,Habilidad superior
Achievement 72 Description,Completa cualquier carrera en menos de 3 minutos.
Achievement 73 Name,El mayor desafío
Achievement 73 Description,Crea o juega 200 desafíos.
Achievement 74 Name,Aspecto fabuloso
Achievement 74 Description,Gana 100 juegos con el aspecto de cualquier héroe.
Achievement 75 Name,Batalla espartana
Achievement 75 Description,Revienta {0} bloons en la península.
Achievement 76 Name,Amo de los bloons al máximo
Achievement 76 Description,Causa mil millones de puntos de daño con el alquimista amo de los bloons.
Achievement 77 Name,Nos vemos
Achievement 77 Description,Revela {0} bloons con Centelleo.
Achievement 78 Name,Tetrimino
Achievement 78 Description,Coloca 50 torres moneriles en un mapa a la vez.
Achievement 79 Name,Dinero desde el cielo
Achievement 79 Description,Usa Desvío de fondos para ganar {0}.
Achievement 80 Name,Todos para uno y uno para todos
Achievement 80 Description,Gana una partida con solo 1 torre moneril en pantalla en cualquier momento en una partida en Difícil.
Achievement 81 Name,Amo de la vida
Achievement 81 Description,Acumula 1000 vidas a la vez en una sola partida.
Achievement 82 Name,El arcoíris es magia
Achievement 82 Description,Revienta {0} bloons arcoíris con monos mágicos.
Emote.Hi,¡Hola!
Emote.Welldone,Bien hecho
Emote.Ready,¡Listo!
Emote.Slow,¡Lento!
Emote.Thanks,Gracias
Emote.AFK,Inactivo
Emote.Sorry,¡Perdón!
Emote.Goodjob,Buen trabajo
Emote.Gg,Buena partida
Emote.Freeplay,Juego libre
Emote.Eco,Economía
CoopGameUnavailable,La partida no está disponible.
CalloutHeadDetective,Detective líder
CalloutHeadDetectiveDesc,{0} camufloons reventados
CalloutMetalMuncher,Rompemetales
CalloutMetalMuncherDesc,{0} bloons emplomados reventados
CalloutFumigator,Fumigador
CalloutFumigatorDesc,{0} bloons regeneradores reventados
CalloutFiredUp,Fuego imparable
CalloutFiredUpDesc,{0} bloons cerámicos reventados
CalloutBfbBrawler,Luchador contra BFB
CalloutBfbBrawlerDesc,{0} BFB reventados
CalloutZomgZapper,Aniquilador de ZOMG
CalloutZomgZapperDesc,{0} ZOMG reventados
CalloutDdtDestroyer,Destructor de DDT
CalloutDdtDestroyerDesc,{0} DDT reventados
CalloutMostGenerous,Generosidad
CalloutMostGenerousDesc,{0} dinero regalado
CoopDailyChallenge,Desafío diario cooperativo
Spillway,Derrame
Sentry,Centinela
SentryBoom,Centinela explosivo
SentryCrushing,Centinela destructor
SentryCold,Centinela frío
SentryEnergy,Centinela energético
SentryParagon,Centinela campeón
EditorNumberOfPlayers,Cantidad de jugadores
EditorCoopAreaDivision,División del área cooperativa
InvalidTarget,Objetivo no válido
Adora,Adora
Adora Short Description,Sacerdotisa suprema
Adora Description,La devoción de Adora la lleva a castigar a los Bloons con furia vengativa.
Adora Level 1 Description,El proyectil divino persigue y destruye.
Adora Level 2 Description,Alcance de ataque aumentado.
Adora Level 3 Description,Brazo largo de la luz: aumenta mucho el alcance del ataque y la potencia durante un tiempo corto y daña a todos los tipos de bloon.
Adora Level 4 Description,Dispara proyectiles divinos dobles.
Adora Level 5 Description,Los proyectiles divinos perforan más bloons.
Adora Level 6 Description,Dispara 3 proyectiles divinos a la vez.
Adora Level 7 Description,Sacrificio de sangre: sacrifica a una torre objetivo y otorga gran cantidad de PE a Adora y potencia el alcance de ataque y la velocidad de disparo durante un tiempo corto.
Adora Level 8 Description,Dispara 4 proyectiles divinos a la vez.
Adora Level 9 Description,Alcance de ataque aumentado.
Adora Level 10 Description,Esfera lumínica: crea una bola de energía potente que golpea a los bloons.
Adora Level 11 Description,Aumenta la velocidad de ataque de Adora.
Adora Level 12 Description,Dispara 5 proyectiles divinos a la vez.
Adora Level 13 Description,Los proyectiles divinos perforan aún más bloons.
Adora Level 14 Description,Dispara 6 proyectiles divinos a la vez.
Adora Level 15 Description,Los proyectiles divinos queman una capa adicional de bloons y Esfera lumínica hace más daño.
Adora Level 16 Description,Brazo largo de la luz se vuelve aún más letal.
Adora Level 17 Description,Aumenta aún más la velocidad de ataque de Adora.
Adora Level 18 Description,Dispara 8 proyectiles divinos a la vez.
Adora Level 19 Description,Alcance de ataque aumentado.
Adora Level 20 Description,"Esfera lumínica mejora mucho y también aumenta la velocidad de disparo, el alcance y los beneficios de duración de los sacrificios."
Carved,Tallado
BloodyPuddles,Charcos difíciles
TechBotRequiresAbility,Requiere una torre de monos con habilidades activadas
AdorasTemple,Templo de Adora
WinterPark,Parque invernal
FustyTheSnowmanSkinName,Musti el hombre de nieve
FustyTheSnowmanSkinDescription,Era un alma feliz
WorkshopReverseMotor,Activa el motor inverso
WorkshopTrackExtensions,Activa las extensiones de camino
Achievement 83 Name,Muy adorable
Achievement 83 Description,Se alinearon los planetas.
Achievement 84 Name,Constante de Josh
Achievement 84 Description,Supera un mapa experto en CHIMPS con 40 870 o más gastados en 1 fábrica de clavos.
Achievement 85 Name,¿Cuánto costó? Todo…
Achievement 85 Description,Sacrifica torres de todos los tipos en el templo.
Achievement 86 Name,2 megarrevientes
Achievement 86 Description,Completa una partida de CHIMPS con más de 2 millones de puntos de daño causados por una sola torre.
Achievement 87 Name,"¡La caja,  la caja!"
Achievement 87 Description,Abre una caja de diamante en cualquier evento de colección.
Achievement 88 Name,Eje del caos
Achievement 88 Description,Consigue todos los francotiradores de grado 5 en una partida de CHIMPS.
Achievement 89 Name,Coleccionista de torres
Achievement 89 Description,Acumula 200 instamonos en el inventario a la vez.
Achievement 90 Name,Un año de trabajo
Achievement 90 Description,Abre el cofre diario 365 veces.
Achievement 91 Name,Kali Maaa
Achievement 91 Description,Gana 10 niveles para Adora en una ronda.
Blood Sacrifice Ability,Sacrificio de sangre
Blood Sacrifice Ability Description,Sacrifica a una torre objetivo y otorga gran cantidad de PE a Adora y potencia el alcance de ataque y la velocidad de disparo durante un tiempo corto.
The Long Arm of Light Ability,El largo brazo de la luz
The Long Arm of Light Ability Description,Aumenta mucho el alcance del ataque y la potencia durante un tiempo corto y daña a todos los tipos de bloon.
Ball of Light Ability,Bola de luz
Ball of Light Ability Description,Emite una bola de energía potente que aniquila a los Bloons.
SunAvatarMini,Avatar solar
TrueSunAvatarMini,Avatar solar
ComeOnEverybody,¡Vamos todos!
ComeOnEverybodyDescription,Las torres primarias atacan un 5 % más rápido si todas son inferiores al grado 3 y cuestan un 5 % menos si todas son de grado 3 o 4.
Wingmonkey,Monoalado
WingmonkeyDescription,Plan de vuelo avanzado que coordina a varios monos ases en tandas de ataque escalonadas.
TT_Wingmonkey,Monoalado
TinyTornadoes,Minitornados
TinyTornadoesDescription,Los tornados druidas engendran 3 tornados más pequeños cuando perecen.
HealthyBananas,Bananas saludables
HealthyBananasDescription,Los Mercados ahora producen 1 vida por ronda y los Mercados Centrales producen 3.
WeakPoint,Punto débil
WeakPointDescription,Todos los Héroes infligen +1 de daño a los Bloons Cerámicos y Fortificados.
WolfpackQuincySkinName,Quincy de la Jauría
WolfpackQuincySkinDescription,"Proveniente de un pasado más salvaje, en el que todos los cazadores eran fuertes y la jauría más fuerte aún, él es Quincy, ancestro de Quincy."
Infernal,Infernal
DownloadButton,Descargar
DownloadDescription,Descargando archivos adicionales. Se recomienda usar wifi. Tamaño de los datos {0} MB
ViewCollectionButton,Ver colección
ViewInventoryButton,Ver inventario
CollectionDescription,Los Instamonos seguirán visibles en tu colección aún tras usarlos.
CollectionNoInventory,"Aquí aparecen los instamonos que consigues en cofres diarios, desafíos y eventos."
MatchIncompatible,Tipos de partidas no compatibles
CollectionEventBonusRewards,Recompensas adicionales
SteamOverlay,Se requiere superposición de Steam e inicio de sesión para las compras.
CollectionEventFeaturedInstas,Instas destacados
CollectionEventChangesIn,Cambia en:
CollectionEventChooseInsta,Elegir insta destacado
JoanOfArcAdoraSkinName,Adora Juana de Arco
JoanOfArcAdoraSkinDescription,Todas las batallas se ganan o se pierden antes en la mente.
EditorRules,Reglas
EditorModifiers,Modificadores
PathRestricted,Camino restringido
UpgradeRestricted,Mejora restringida
ChallengeEditorRestrict,Restringir
ConfirmApplyAll,¿Aplicar las restricciones a todas las torres moneriles disponibles?
ConfirmResetAll,¿Restablecer todas las torres moneriles disponibles a 5-5-5?
Geared,Mecanizado
ChallengeEditorTowerRestrictions,Restricciones de torre
ChallengeEditorApplyAll,Aplicar todo
ChallengeEditorResetAll,Restablecer todo
CandyFalls,Cascadas dulces
HarlegwenGwendolinSkinName,Aspecto de Harley Gwen
HarlegwenGwendolinSkinDescription,¡Se sabe que soy insoportable!
CoopLobbyHackerDetected,"No se puede unirse a la partida, se detectó una incompatibilidad. Para obtener ayuda, visita https://ninja.kiwi/btd6_coop"
TechBotSetAmbush,Establecer emboscada
TechBotSetAmbushInstruction,Seleccionar área de emboscada cerca del camino
AmbushTech,Tecnología de emboscada
AmbushTechDescription,El tecnobot gana una opción de puntería que se activa solo cuando los bloons entran a un área específica del camino.
DoorGunner,Artillero de ingreso
DoorGunnerDescription,El helicóptero de revientes especiales permite que las torres moneriles de nivel 4 e inferior ataquen a los bloons en tránsito.
DoorGunnerDenied,No se puede convertir esta torre en artillero de ingreso
AmbidextrousRangs,Búmeran ambidiestros
AmbidextrousRangsDescription,El conocimiento y entrenamiento permiten que el mono bumeranero cambie de mano para optimizar los ataques de búmeran.
BoomerangTargetingSwitchHands,Cambio de manos
VineRupture,Ruptura de zarzas
VineRuptureDescription,El druida Espíritu del bosque adquiere una habilidad nueva que permite destruir las zarzas del camino y causar mucho daño a los bloons que no estén emplomados. Las zarzas crecen de nuevo después de cada ruptura.
BankDeposits,Depósitos bancarios
BankDepositsDescription,Los bancos moneriles de grado 4 y superior reciben depósitos del dinero disponible en el juego
MonkeyBankDeposit,Depósito
Achievement 92 Name,Boleto dorado
Achievement 92 Description,¡Bloompa-loompa-doompa-dee-doo!
SmallMonkeysMode,Monos pequeños
CaveMonkey,Mono cavernario
DarkKnightDarkshift,[I] para usar Desvío oscuro dentro del alcance
DarkChampionDarkshift,[I] para usar Desvío oscuro a cualquier ubicación válida
SmallTowersMode,Torres moneriles pequeñas
BigTowersMode,Torres moneriles grandes
UpdatePopupTitle,¡Actualización 29!
UpdatePopupDescription,"¡Actualización de felices fiestas!\n• Gobierna los mares con el mono modelo más reciente: navarca de los mares.\n• Frena por completo a los bloons revoltosos con este mapa intermedio nuevo: calle silenciosa.\n• Obtén el aspecto nuevo increíble de Ezili, Galaxili.\n• Creación de antesala cooperativa renovada para que entres al juego más rápido.\n• 17 objetos nuevos en la tienda de trofeos, entre ellos 6 por tiempo limitado. ¡Consíguelos rápido!\n• Logros nuevos, cambios vitales, equilibrio y errores reparados. Hay muchas modificaciones, consulta las notas de la actualización para saber los detalles.\nEl equipo de Ninja Kiwi te desea lo mejor para las fiestas y feliz año nuevo."
ResetDailyChest,Restablecer cofre diario
JukeboxName,Rocola
EnableFunction,Habilitar
