//Input. Needs to be first e.g [I] replaced by click or tap,
Click,انقر
Sauda Level 11 Description,يُلحق ساودا ضررًا إضافيًا بأي بالون تم إبطائه أو تجميده أو إتلافه بمرور الوقت من القرود الأخرى.
Sauda Level 12 Description,يزيد هجوم السيف الوثاب بشكل كبير في القوة.
Sauda Level 13 Description,الشفرات المسحورة تتسبب في إحداث المزيد من الضرر وتسمح لساودا بإتلاف جميع البالونات.
Sauda Level 14 Description,ساودا تهاجم بشكل أسرع.
Sauda Level 15 Description,زيادة نطاق الهجوم وقوة الفرقعة، ويؤدي هجوم السيف الوثاب إلى مزيد من الضرر.
Sauda Level 16 Description,زيادة شحذ السيف إلى حد بعيد من الضرر.
Sauda Level 17 Description,تقطع هجمات سيف ساودا العديد من طبقات البالونات مرة واحدة.
Sauda Level 18 Description,سيوف ساودا تهاجم بسرعة ضبابية.
Sauda Level 19 Description,الشفرات المسحورة تتسبب في إحداث أضرار إضافية على بالونات إعادة النمو والبالونات المحصنة والبالونات المموهة.
Sauda Level 20 Description,تؤدي عملية الشحذ الشديدة للسيف إلى اكتساح جميع المسارات ثلاث مرات! زادت قوة السيف الوثاب إلى حدٍ بعيد.
SushiBentoBenjaminSkinName,سوشي بينتو
SushiBentoBenjaminSkinDescription,اطلب السوشي على القائمة!
Leaping Sword Attack Ability,هجوم السيف الوثَّاب
Leaping Sword Attack Ability Description,الهجوم الوثاب بالقيادة الدرامية لساودا يعصف بالبالونات المستهدفة.
Sword Charge Ability,شحذ السيف
Sword Charge Ability Description,انزلاق ساودا على طول المسار بأكمله، ومن ثم تدمير البالونات وهي تمضي في طريقها.
Playing,لعب {0}
Solo,منفرد
Custom Challenge,التحدي المخصص
Browsing,تصفح {0}
Menues,القوائم
Challenges,التحديات
GoldenBloonsPopped,فرقعة البالونات الذهبية
ChallengeStats,إحصائيات التحدي
Attempts,محاولات
Wins,فوز
Fails,فشل
Unique Players,اللاعبون المتميزون
Victorious Players,اللاعبون المنتصرون
FirstWinner,الفائز الأول
MostRecentWinner,آخر الفائزين
DiskFullMessage,القرص ممتلئ، يُرجى إخلاء بعض المساحة والمحاولة مرة أخرى.
RacePassRemaining,السباقات المتبقية:
RacePassHeader,ممر السباق
RacePassDescription,الحصول على محاولات سباق غير محدودة لكل سباق أسبوعي!\n بدون مؤقت، لا توجد أموال القرود، مجرد سباق!
4RacesPass,4 تمريرات للسباق
12RacesPass,12 تمريرة للسباق
ft_goldentitle,البالونات الذهبية
ft_goldendescription,يمكنك فرقعة البالون الذهبي لكسب أموال القرود الإضافية! من الصعب انفجار البالون الذهبي، لكنك لن تفقد أي أرواح إذا هربت.\n يظهر البالون الذهبي عدة مرات في كل لعبة، ويتطور مع كل ظهور!\n حظ سعيد!
TapToUnlock,[I] للفتح
btd6_4racespass Description,سباق على قدر ما تريد في 4 سباقات!
btd6_4racespass,4 Races Pass
btd6_12racespass Description,سباق على قدر ما تريد في 12 سباقات!
btd6_12racespass,12 Races Pass
GetHeroBooster,الحصول على معزز البطل
IntermediateUnlockText,تغلب على خريطة المبتدئين لأول مرة لفتح خريطة وسيطة
AdvancedUnlockText,تغلب على خريطة وسيطة لأول مرة لفتح خريطة متقدمة
ExpertUnlockText,تغلب على الخريطة المتقدمة لأول مرة لفتح خريطة الخبراء
HeroesSaudaPetCraneName,طائر الكركي الأليف لساودا
HeroesSaudaPetCraneShortName,طائر الكركي الأليف لساودا
HeroesSaudaPetCraneDescription,وضع الشمع، إزالة الشمع. دراسة تقنية الكركي مع الركلة الجانبية الرشيقة الجديدة لساودا! ساودا الأصلية فقط
HeroesPatFustyPlacementSuperjumpName,وضع وترقية قفزة الوطواط الخارقة
HeroesPatFustyPlacementSuperjumpShortName,قفزة الوطواط الخارقة
HeroesPatFustyPlacementSuperjumpDescription,"الوطواط متحمس جدًا لمعانقة مناطيد ""موآب"" تلك لدرجة أنه يقفز إلى العمل مع كل ترقية! فوستي الوطواط الأصلي فقط"
TowerPetBananaFarmChickenName,دجاج مزرعة الموز
TowerPetBananaFarmChickenShortName,دجاج المزرعة
TowerPetBananaFarmChickenDescription,لا توجد مزرعة كاملة بدون دجاجة. لماذا الدجاجة؟ لأنها دجاجة!!! بواااك!!!
TowerPropMonkeyVillageBrazilFlagName,علم البرازيل على قرية القرود
TowerPropMonkeyVillageBrazilFlagShortName,علم البرازيل على القرية
TowerPropMonkeyVillageBrazilFlagDescription,هدااااااااااااااااف! أظهر دعمك لكل شيء في البرازيل مع علم قرية القرود. يظهر لجميع الترقيات
TowerPropMonkeyVillageUSAFlagName,علم أمريكا على قرية القرود
TowerPropMonkeyVillageUSAFlagShortName,علم أمريكا على القرية
TowerPropMonkeyVillageUSAFlagDescription,الولايات المتحدة الأمريكية! الولايات المتحدة الأمريكية! قم بتطيير النجوم وأشرطة الزينة بفخر فوق قرية القرود خاصتك. يظهر لجميع الترقيات
BloonsAllBloonsPopsPewpewName,المؤثرات الخاصة لفرقعة بيو بيو
BloonsAllBloonsPopsPewpewShortName,المؤثرات الخاصة لفرقعة بيو بيو
BloonsAllBloonsPopsPewpewDescription,فتش في مشاعرك - لابد من شراء هذا الآن، وفي 4 مايو سيصبح لديك! بند جامع الوقت المحدود للغاية
BloonsMOABSkinBtd4RetroName,"منطاد ""موآب"" الرجعي في بلونز تي دي 4"
BloonsMOABSkinBtd4RetroShortName,"منطاد ""موآب"" الرجعي"
BloonsMOABSkinBtd4RetroDescription,آه من الحنين. ارتدِ تلك النظارات ذات اللون الوردي وتحقق من طراز موآب السابق
BloonsBFBSkinBtd4RetroName,"منطاد ""بي إف بي"" الرجعي من بلونز تي دي 4"
BloonsBFBSkinBtd4RetroShortName,"منطاد ""بي إف بي"" الرجعي"
BloonsBFBSkinBtd4RetroDescription,لا يوجد مثل المدرسة القديمة، عندما كان هذا أكبر شيء في السماء!
CoopEmoteAnimationTrophyName,رمز معبر عن الفائز بالجائزة
CoopEmoteAnimationTrophyShortName,الفائز بالجائزة
CoopEmoteAnimationTrophyDescription,افتح الشمبانيا، صوت فرقعة! احتفل بفوزك مع هذه الجائزة الذهبية اللامعة!
CoopEmoteAnimationPlayerNumbersName,رمز معبر عن أرقام اللاعبين
CoopEmoteAnimationPlayerNumbersShortName,أرقام اللاعبين
CoopEmoteAnimationPlayerNumbersDescription,تواصل مع لاعبين آخرين بسهولة أكبر باستخدام هذه العواطف سهلة الاستخدام. من فضلك خذ الأمور بسهولة على اللاعب 3.
GameUIProfileAvatar37Name,أفاتار مخصص - ساودا الحادة
GameUIProfileAvatar37ShortName,أفاتار ساودا الحادة
GameUIProfileAvatar37Description,الصمت والمهارة والدقة. أفاتار ساودا الرائع هذا يعطيك تعريفًا كلاعب!
GameUIProfileAvatar38Name,أفاتار مخصص - صديق البطريق
GameUIProfileAvatar38ShortName,أفاتار صديق البطريق
GameUIProfileAvatar38Description,أفاتار الفائز هو ريكون سكاوت تيمو
GameUIProfileAvatar39Name,أفاتار مخصص - مدفعجي جلو
GameUIProfileAvatar39ShortName,أفاتار مدفعجي جلو
GameUIProfileAvatar39Description,أفاتار الفائز هو سيليا
GameUIPowerSkinLavaLakeName,قوة مخصصة - بحيرة الحمم البركانية المحمولة
GameUIPowerSkinLavaLakeShortName,بحيرة الحمم البركانية المحمولة
GameUIPowerSkinLavaLakeDescription,الجو حار هنا! اغلي همومك بعيدًا في بركة الهونكا هذه في الحمم البركانية المحترقة!
Resort,منتجع
ETnEtienneSkinName,إتيان
ETnEtienneSkinDescription,خدني إلى قائدك.
VeteranXP,نقاط خبرة المخضرم
GameUIMusicTrackMusicSailsAgain,الإبحار مرة أخرى
Leaderboards,لوحة المتصدرين
Global,عالميًا
League,دوري الأبطال
Race,سباق
Mini-race,سباق صغير
NoRaceDataYet,أكمل السباق للانضمام إلى سباق صغير!
Kick,ركلة
MakePublic,للعامة
VeteranLevelsHeader,مستويات المخضرمين
VeteranLevelsDescription,تهانينا، لقد وصلت إلى سقف المستوى! من الآن فصاعدًا، ستبدأ في كسب نقاط خبرة المخضرمين ومن ثم الوصول إلى مستويات المخضرم. تستغرق هذه المستويات وقتًا أطول من المعتاد وتظهر تفانيك الهائل في ظهور البالون!
LevelCapIncreasedHeader,زيادة سقف المستوى!
LevelCapIncreasedDescription,تم رفع سقف المستوى! ستستمر الآن في كسب المستويات العادية حتى تصل مرة أخرى إلى سقف المستوى. لا تقلق مع ذلك، فإن نقاط خبرة ومستويات المخضرم موجودان تمامًا حيث تركتهما وستبدأ في الحصول على نقاط خبرة المخضرم مرة أخرى بمجرد وصولك إلى الحد الأقصى للمستوى الجديد
Rejoin,إعادة الانضمام
GameHasEnded,انتهت اللعبة
SlowInternet,لا يوجد اتصال بالإنترنت أو الاتصال بطيء
ErrorRejoining,حدث خطأ أثناء إعادة الانضمام
RewardsTopPlacing,أعلى {0}
LostConnectionRejoin,انقطع الاتصال. إعادة الانضمام إلى لعبتك التعاونية؟
Rejoining,إعادة الانضمام...
PlayerPositionClosed,تم إغلاق مركز اللاعب
YouFinished,انتهيت:
BestTime,أفضل وقت:
Claim,مطالبة
PlayerRejoinedGame,عاود الانضمام إلى اللعبة
PlayerKickedFromGame,تمت إزالته من اللعبة
ConfirmKickPlayer,هل أنت متأكد أنك تريد إزالة {0}?
Remove,إزالة
MiniRacesFirstTimeTitle,سباق صغير!
MiniRacesFirstTimeDescription,بعد الانتهاء من السباق، سيتم وضعك في لوحة المتصدرين للسباق المصغر بالإضافة إلى لوحة المتصدرين الرئيسية للسباق. تنافس ضد لاعبين آخرين في سباقك المصغر للحصول على المزيد من الجوائز عندما ينتهي السباق!
SharingCoop,انضم إلى لعبتي التعاونية على بلونز تي دي 6!
SharingChallenge,هل يمكنك التغلب على تحدي بلونز تي دي 6 هذا؟
btd6_racespass,{0} من تمريرات السباق
btd6_racepass,تمريرة سباق 1
OdysseyCrewConfirmed,تأكيد الطاقم
OdysseyCrewModified,تعديل الطاقم
Odysseys,أوديسيات
InviteReceivedTitle,تم استلام الدعوة
ChallengeInviteReceivedDescription,لقد تمت دعوتك لتجربة رمز التحدي: {0}
