//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Tıkla
Psi Level 7 Description,Psişik Patlama iki dalga halinde yayılır. Psi artık Seramik Bloon’ları yok edebilir.
Psi Level 8 Description,"Yıkıcı Rezonans, Psi’nin ana saldırısı tarafından yok edilen Bloon’ların, yakındaki diğer Bloon’lara hasar vermesine neden olur."
Psi Level 9 Description,Zihni Parçalamak. Psi artık tek seferde iki farklı Bloon’u hedef alabilir.
Psi Level 10 Description,"Psionik Çığlık: Psi, Bloon’ları mutlak kaosa sürükleyen sessiz bir çığlığı serbest bırakır."
Psi Level 11 Description,Psionik titreşimler Bloon’ları çok daha hızlı yok eder.
Psi Level 12 Description,Psişik Patlama üç dalga halinde yayılır.
Psi Level 13 Description,Mor Bloon’lar bile Psi’nin zihin saldırılarının gücü karşısında dayanamaz.
Psi Level 14 Description,"Psi’nin muazzam psişik gücü, MOAB’ların hedeflenmesine ve yok edilmesine olanak sağlar."
Psi Level 15 Description,Yıkıcı Rezonans daha da yok edicidir.
Psi Level 16 Description,Psionik titreşimler Bloon’ları çok hızlı yok eder. Psi artık BFB’leri hedefleyebilir.
Psi Level 17 Description,Zihni Parçalamak. Psi artık tek seferde üç farklı Bloon’u hedef alabilir.
Psi Level 18 Description,"Psi’nin saldırıları, hedef Bloon’un daha geniş yarıçapındaki Bloon’ları etkiler."
Psi Level 19 Description,Yıkıcı Rezonans çok ama çok daha yok edicidir.
Psi Level 20 Description,Psionik Çığlık ekrandaki tüm Bloon’ları tutar ve onlara hasar verir. Psi artık DDT’leri ve ZOMG’leri hedefleyebilir.
Sanctuary,Mabet
ft_monkeyteamstitle,Maymun Takımları
ft_monkeyteamsdescription,Bonus Maymun Parası kazan! Herhangi bir Kahramanı seç ve bu haritayı bitirip bonus Maymun Parası kazanmak için yalnızca seçilen Maymunları kullan! Daha yüksek zorluklar daha fazla Maymun Parası kazandırır.
ModderWarningPopup,Değiştirilmiş oyun istemcisi tespit edildi. Bazı oyun modları kullanılamaz.
ModdedClient,Değiştirilmiş İstemci
Achievement 117 Name,Başarıların Başarısı
Achievement 117 Description,35 başarı topla
Achievement 118 Name,En İnce Ayrıntısına Kadar
Achievement 118 Description,MOAB Parçalama yeteneğini kullanarak 3000 MOAB Sınıfı Bloon’u kuşat
Achievement 119 Name,Ev Taşıma
Achievement 119 Description,Çinok Desteğini kullanarak 1000 maymun atıcıyı yeniden görevlendir
Achievement 120 Name,Sosyal Kelebek
Achievement 120 Description,İşbirliği oyunlarında 100 kez emoji kullan
Achievement 121 Name,Ne De Parlak!
Achievement 121 Description,20 Altın Bloon patlat
Achievement 122 Name,Pırıldayan Altın
Achievement 122 Description,100 Altın Bloon patlat
Achievement 123 Name,Parlak Altın
Achievement 123 Description,500 Altın Bloon patlat
Achievement 124 Name,Sihirli Altın
Achievement 124 Description,Yalnızca Sihirli Maymun modunda 50 Altın Bloon patlat
Achievement 125 Name,Takım Oyuncusu
Achievement 125 Description,Maymun Takımları ile 25 kez kazan
Achievement 126 Name,Takım Kaptanı
Achievement 126 Description,Maymun Takımları ile 50 kez kazan
Achievement 127 Name,Muhteşem Takım Oluşturma
Achievement 127 Description,Maymun Takımları ile 100 kez kazan
HeroesEtiennePetRoombaName,Etienne Roomba Evcil Hayvan
HeroesEtiennePetRoombaShortName,Etienne Roomba Evcil Hayvan
HeroesEtiennePetRoombaDescription,"Roomba’yı mı, yoksa kedi Etienne’i mi tercih edersin emin değiliz. Bu bir paket tekliftir. Yalnızca orijinal Etienne"
HeroesEziliPlacementGlyphName,Ezili Glyph Materyalizasyon Yerleştirmesi ve Yükseltmesi
HeroesEziliPlacementGlyphShortName,Ezili Glyph
HeroesEziliPlacementGlyphDescription,"Işınla beni, Ezili! Yalnızca Orjinal Ezili"
TowerPropMonkeyVillageNZFlagName,Maymun Köyü Yeni Zelanda Bayrağı
TowerPropMonkeyVillageNZFlagShortName,NZ Köyü Bayrağı
TowerPropMonkeyVillageNZFlagDescription,Güneş Tanrımız bağımsız topraklarımızı VE Maymun Köylerimizi Bloon’lardan korusun! Tüm yükseltmeler için gösterir
TowerPropMonkeyVillageScotlandFlagName,Maymun Köyü İskoçya Bayrağı
TowerPropMonkeyVillageScotlandFlagShortName,İskoçya Köyü Bayrağı
TowerPropMonkeyVillageScotlandFlagDescription,Ayaklan ve bu Maymun Köyü Bayrağı ile özgürlüğünü ilan et. Tüm yükseltmeler için gösterir
TowerPropMonkeyVillageBananaFlagName,Maymun Köyü Muz Bayrağı
TowerPropMonkeyVillageBananaFlagShortName,Muz Köyü Bayrağı
TowerPropMonkeyVillageBananaFlagDescription,"Muzlar, her Maymunun Maymun Köyünde gururla sergilediği en sevdiği meyvedir. Tüm yükseltmeler için gösterir"
TowerEffectAllMonkeysPlacementUpgradesFireworksName,Havai Fişek Yerleştirmesi ve Yükseltme Efektleri
TowerEffectAllMonkeysPlacementUpgradesFireworksShortName,Havai Fişek Yükseltmesi FX
TowerEffectAllMonkeysPlacementUpgradesFireworksDescription,Yeni tüm Maymunları kutla ve bu muhteşem havai fişek gösterisiyle yükselt! Sınırlı Süreli Koleksiyoncu Eşyası!
TowerProjectileWizardMonkeyFireworksName,Sihirbaz Havai Fişekleri
TowerProjectileWizardMonkeyFireworksShortName,Sihirbaz Havai Fişekleri
TowerProjectileWizardMonkeyFireworksDescription,İçindeki Gandalf’a kanallık et ve Sihirbaz Maymunlarına bu harika havai fişekleri ver! Sınırlı Süreli Koleksiyoncu Eşyası!
BloonsAllBloonsBeardsName,Sakallı Bloon’lar
BloonsAllBloonsBeardsShortName,Sakallı Bloon’lar
BloonsAllBloonsBeardsDescription,Halk arasında Sanat Yönetmeni Sakalı olarak bilinen bu tarz yüz tüyünü kaçırmamalısın
BloonsAllMOABSepiaName,Eski Zaman MOAB Sınıfı Bloon’ları
BloonsAllMOABSepiaShortName,Eski Zaman MOAB’ları
BloonsAllMOABSepiaDescription,"Ayarlarınla oynama, bu MOAB’lar eski zamanlardaki gibi hareket ediyor"
CoopEmoteAnimationTumbleweedName,Çalı Topağı Animasyonu
CoopEmoteAnimationTumbleweedShortName,Çalı Topağı
CoopEmoteAnimationTumbleweedDescription,Maksimum etki için bunu Cırcır Böcekleri ses efekti ile eşleştir
CoopEmoteIconSkullAndCrossbonesName,Çapraz Kemikler ve Kafatası Emojisi
CoopEmoteIconSkullAndCrossbonesShortName,Çapraz Kemikler ve Kafatası
CoopEmoteIconSkullAndCrossbonesDescription,Yaklaşan tehlikenin veya bu dondurucu emoji ile kemikli her şeye karşı duyduğun sevginin uyarısı
CoopEmoteTextActivateName,Etkinleştir! Emoji
CoopEmoteTextActivateWord,Etkinleştir!
CoopEmoteTextActivateShortName,Etkinleştir!
CoopEmoteTextActivateDescription,Atölyedeki ters makineyi tetikle! MOAB Parçalama yeteneğini gönder! Teknoloji Dehşetini serbest bırak! Şimdi mesajını anlat
GameUIProfileAvatar40Name,Özel Avatar - Harlegwen PFP
GameUIProfileAvatar40ShortName,Harlegwen PFP Avatarı
GameUIProfileAvatar40Description,"Qqertynn, Avatar galibi"
GameUIProfileAvatar41Name,Özel Avatar - Flaş Bomba Ninjası
GameUIProfileAvatar41ShortName,Flaş Bomba Avatarı
GameUIProfileAvatar41Description,"_Concilliabule_, Avatar galibi"
GameUIProfileAvatar42Name,Özel Avatar - Şirketin Yaması
GameUIProfileAvatar42ShortName,Şirketin Yaması Avatarı
GameUIProfileAvatar42Description,"Yama, Maymun Kubbesine giden şirket merdivenlerini sessizce tırmanıyordu"
GameUIProfileAvatar43Name,Özel Avatar - Havai Fişek Bombası Fırlatıcı
GameUIProfileAvatar43ShortName,Havai Fişek Bombası Avatarı
GameUIProfileAvatar43Description,Bu roketleri daha iyi ateşlemenin bir yolu var mı? Sınırlı Süreli Koleksiyoncu Eşyası!
GameUIPowerSkinMonkeyBoostFireworksName,Özel Güç - Havai Fişek Maymun Desteği
GameUIPowerSkinMonkeyBoostFireworksShortName,Havai Fişek Maymun Desteği
GameUIPowerSkinMonkeyBoostFireworksDescription,Bu muazzam havai fişek gösterisiyle Maymunları yükselt ve onlara daha büyük başarılar bahşet. Sınırlı Süreli Koleksiyoncu Eşyası!
GameUIMusicTrackMusicTropicalOctopusMixName,Müzik Kutusu: Tropical Carnival - Octopus Miks
GameUIMusicTrackMusicTropicalOctopusMixShortName,Tropical Carnival Octopus
GameUIMusicTrackMusicTropicalOctopusMixDescription,Birkaç elektronik ritim kullan da bu karnaval parçası gerçek bir parti favorisine dönüşsün. Sesini aç!
PlaySocial,Sosyal Oyna
ContentBrowser,İçerik Tarayıcısı
CoopChallenge,İşbirliği Görevi
SocialEditChallenge,Görevi Düzenle
SocialEditOdyssey,Yolculuğu Düzenle
SocialViewBrowser,Tarayıcıyı Görüntüle
MonkeyTeamWins,Maymun Takımı Kazandı
NewerSaveFound,Daha yeni kayıtlı veriler bulundu! Başka bir cihazda oyunun daha yeni bir sürümünü oynadın. Bu cihazda oynamaya devam etmek için şimdi güncelle. Güncelleme yok mu? Daha fazla yardım için https://ninja.kiwi/btd6_outofdate adresini ziyaret et.
RacePasses,{0} Yarış Pasosu
FreeEntries,{0} Ücretsiz Giriş
FreeEntry,1 Ücretsiz Giriş
PrivateCoopLobby,Özel İş Birliği Lobisi
PublicCoopLobby,İş Birliği Lobisi [{0}]
MyOdysseys,Yolculuklarım
OdysseySearch,Arama/Yolculuk Kodu...
Psychic Blast Ability,Psişik Patlama
Psychic Blast Ability Description,"Psi, yakındaki Bloon’ları uzun süre için sersemleten bir güç dalgasını serbest bırakır."
Psionic Scream Ability,Psionik Çığlık
Psionic Scream Ability Description,"Psi, Bloon’ları mutlak kaosa sürükleyen sessiz bir çığlığı serbest bırakır."
EditorMode,Editör Modu
ConfirmMaps,Onaylanacak Haritalar: {0}
ResetOdysseyProgress,Bu Odyssey ilerlemenizi geçersiz kılacaktır. Emin misiniz?
OdysseyName,Yolculuk Adı
OdysseyEditor,Yolculuk Editörü
MaxPowers,Maks Güçler:
MaxMonkeySlots,Maks Maymun Yuvası:
MaxPowerSlots,Maks Güç Yuvası:
MapNumber,Harita {0}
ExtremeMode,Ekstrem Mod:
Edit,Düzenle
OdysseyInviteReceivedDescription,Şu Yolculuk kodunu denemeye davet edildin: {0}
SharingOdyssey,Bu Bloons TD 6 Yolculuğunu başarabilir misin?
EditorPowersIncluded,Dahil Edilen Güçler
EditorPowersExcluded,Hariç Tutulan Güçler
OdysseyDescription,Açıklama:
SelectDefaultCrew,Varsayılan Mürettebatı Seç
Completed,Tamamlandı
BossStart,Patron Etkinliğini Başlat
BloonariusPrime,Bloonaryus Asalı
OdysseyLockedSubmitButtonDescription,Bu Yolculuğu zaten gönderdin
OdysseyLockedShareButtonDescription,Yolculuğunu paylaşmak için test modunda zafer ekranına erişerek Yolculuğun mümkün olduğunu kanıtlaman gerekir!
OdysseyShareAgainExplanation,Zamanlayıcı geriye doğru saydığında tekrar paylaş. Yolculuğu paylaşabilmen için onu başarman gerekir.
ProfileAvatars,Avatarlar
ProfileBanners,Afişler
BossNormal,Normal
BossElite,Elit
BloonariusTagLine,Bataklıklı Derinliklerden
BloonariusTagLine2,Şişirici Uyanıyor!
Bloonarius,Bloonaryus
TierX,{0}. Kademe
HeroesGwendolinPlacementFireballName,Gwendolin Ateş Topu Yerleştirmesi ve Yükseltmesi
HeroesGwendolinPlacementFireballShortName,Gwendolin Ateş Topu
HeroesGwendolinPlacementFireballDescription,Bu müthiş ateş topu efektiyle Gwen’in varışı ve yükseltmeleri şiddetli olur! Yalnızca Orijinal Gwendolin
TowerPropMonkeyVillageGermanyFlagName,Maymun Köyü Almanya Bayrağı
TowerPropMonkeyVillageGermanyFlagShortName,Almanya Köyü Bayrağı
TowerPropMonkeyVillageGermanyFlagDescription,Herkes Almanya Maymun Köyü teknolojisinin müthiş olduğunu bilir! Tüm yükseltmeler için gösterir
TowerPropMonkeyVillageUKFlagName,Maymun Köyü Birleşik Krallık Bayrağı
TowerPropMonkeyVillageUKFlagShortName,Birleşik Krallık Köyü Bayrağı
TowerPropMonkeyVillageUKFlagDescription,Bu Maymun Köyü gururla İngiliz Uluslar Topluluğu’nun bir parçasıdır. Birleşik Krallık gururu tüm yükseltmelerde kendini gösterir
BloonsDDTSkinTronName,Neon DDT
BloonsDDTSkinTronShortName,Neon DDT
BloonsDDTSkinTronDescription,"Müthiş ve ölümcül, bu DDT’nin gelecekten geldiğine yemin edebilirsin. Belki de öyledir."
BloonsAllBloonsBucketHatName,Balıkçı Şapkası Bloon’lar
BloonsAllBloonsBucketHatShortName,Balıkçı Şapkası Bloon’lar
BloonsAllBloonsBucketHatDescription,En yeni dijital balıkçı şapkası tasarımıyla Bloon’ları modaya uygun hale getir.
BloonsAllBloonsPopsWaterbloonName,Su Bloon’u Patlatma Efekti
BloonsAllBloonsPopsWaterbloonShortName,Su Bloon’u Patlatma Efekti
BloonsAllBloonsPopsWaterbloonDescription,Herhangi bir sıcaklık dalgası için mükemmeldir, her Bloon’u bu ıslatan harika patlatma efektiyle bir su Bloon’una dönüştür
CoopEmoteTextNextRoundScaryName,Sonraki Tur! Korkutucu! Metin Emojisi
CoopEmoteTextNextRoundScaryShortName,Sonraki Tur! Korkutucu!
CoopEmoteTextNextRoundScaryDescription,İş birliği takım arkadaşlarını sonraki tur için uyar! Özellikle Cadılar Bayramı yaklaşırken kullanışlıdır.
CoopEmoteTextNextRoundScaryWord,Sonraki Tur! Korkutucu!
CoopEmoteAnimationFistpumpName,Yumruklu Sevinç Gösterisi Animasyonu
CoopEmoteAnimationFistpumpShortName,Yumruklu Sevinç Gösterisi
CoopEmoteAnimationFistpumpDescription,İyi yapılmış bir işi takdir etmek için!
GameUIProfileAvatar44Name,Özel Avatar - Özel Hava Servisi Maymunu
GameUIProfileAvatar44ShortName,Özel Hava Servisi Maymunu Avatarı
GameUIProfileAvatar44Description,"LV-223_Deacon, Avatar galibi"
GameUIProfileAvatar45Name,Özel Avatar - Taslak
GameUIProfileAvatar45ShortName,Taslak Avatarı
GameUIProfileAvatar45Description,"Dungeon-raided, Avatar galibi"
GameUIProfileAvatar46Name,Özel Avatar - Maskeli Ezili
GameUIProfileAvatar46ShortName,Maskeli Ezili Avatarı
GameUIProfileAvatar46Description,Sabah Saçı Ezili olarak da bilinir
GameUIProfileAvatar47Name,Özel Avatar - Çivili Top
GameUIProfileAvatar47ShortName,Çivili Top Avatarı
GameUIProfileAvatar47Description,Çivili Toplar hiç bu kadar harika görünmemişti - mutlaka edinilmeli
GameUIProfileBanner1Name,Antenler Profil Afişi
GameUIProfileBanner1ShortName,Antenler Afişi
GameUIProfileBanner1Description,Bu Pilotlardan esinlenilen özel profil afişi diğer oyuncuların etrafında dönüşler yapar
GameUIProfileBanner2Name,Ruhani Kurt Profil Afişi
GameUIProfileBanner2ShortName,Ruhani Kurt Afişi
GameUIProfileBanner2Description,Obyn Kurt özel profil afişi ile ruhları uyandır
GameUIProfileBanner3Name,Yolda Olan Profil Afişi
GameUIProfileBanner3ShortName,Yolda Olan Profil Afişi
GameUIProfileBanner3Description,"Bu BFB Kurşun Bloon Fırtınasını, zaferlerinin özel profil afiş ganimeti olarak giy"
GameUIProfileBanner4Name,Ok Fırtınası Profil Afişi
GameUIProfileBanner4ShortName,Ok Fırtınası Afişi
GameUIProfileBanner4Description,"Bu müthiş, karanlık, özel profil afişindeki sıradan ok hiç de sıradan değildir"
GameUIProfileBanner5Name,Reaktif Profil Afişi
GameUIProfileBanner5ShortName,Reaktif Afiş
GameUIProfileBanner5Description,"Bu Denizaltıdan esinlenilen özel profil afişi, gücü ve tehlikeyi birleştiriyor"
Paragon Title,Gözcüye Yükselt
Paragon Body,Bu eylemle bir Gözcü {0} oluşur. Diğer tüm {1} olanlar işlem sırasında yok edilerek Gözcünün Gücünü besler!
ft_paragontitle,Gözcü Yükseltmesi Etkinleştirildi!
ft_paragondescription,"5. Kademe Maymunlarından birini Gözcüye yükselt! Gözcüler, diğer iki yoldaki 5. Kademe Maymunlar dahil, kendi türlerindeki tüm Maymunları emer.\n\nYükseltme sırasında ne kadar gücün emildiği Gözcünün derecesini etkiler. Özgür modda mevcut değil."
ParagonDegreeText,Gözcü Derecesi
DartMonkeys,Okçu Maymunlar
BoomerangMonkeys,Bumerang Maymunlar
BombShooters,Bomba Fırlatıcılar
TackShooters,Çivi Fırlatıcılar
IceMonkeys,Buz Maymunları
GlueGunners,Yapışkan Nişancılar
SniperMonkeys,Nişancı Maymunlar
MonkeySubs,Maymun Denizaltılar
MonkeyBuccaneers,Korsan Maymunlar
MonkeyAces,Pilot Maymunlar
HeliPilots,Helikopter Pilotları
MortarMonkeys,Havancı Maymunlar
WizardMonkeys,Sihirbaz Maymunlar
DartlingGunners,Ok Nişancıları
SuperMonkeys,Süper Maymunlar
NinjaMonkeys,Ninja Maymunlar
Alchemists,Simyacılar
Druids,Medyumlar
BananaFarms,Muz Yetiştiricileri
EngineerMonkeys,Mühendis Maymunlar
SpikeFactorys,Çivi Fabrikaları
MonkeyVillages,Maymun Köyleri
BossInfoPanelTitle,Patron Bloon Etkinliği
BossInfoPanelDescription,"Merhaba cesur maceracı, Patronlar alemine girdin! İyi şanslar; önemli kuralları unutma:\n• Patron Etkinliği sen Oyna düğmesine bastığında başlar, turlar arasında duraklatma yoktur ve Patronlar yavaşlatılamaz.\n• Her bir Patron modunu kazanmak için 5 kademenin tümündeki Patronları patlat, Elit modun kilidini açmak için Normal modu kazan.\n• Ekonomini kur, yeteneklerini hazırla ve kademeler arasındaki süreden yararlan!\n• Her bir kademenin üstesinden geldiğinde Ganimetler ve diğer ödülleri kazan; ancak 20. turlarda bir kademeyi kazanamazsan kaybedersin.\n• Patronu kimin daha hızlı yenip harika ödüller kazanacağını görmek için Sıralamalı Modunda diğer oyunculara karşı yarış!\n• Tek oyunculu VEYA iş birliği modundaki en iyi sıralaman kazanacağın ödülleri belirler.\n• Normal ve Elit modların birbirinden ayrı lider tabloları ve ödülleri vardır; her ikisinde de kazanabilirsin!"
BloonariusInfoPanelDescription,"Bataklıklı Bloonaryus, hasar aldıkça Bloon püskürtür ve ardından sağlık çubuğundaki her bir kurukafaya ulaşıldığında devasa Bloon yığınları döker.\n\nBloonaryusun çöp dolu içi işleri yavaşlatır ve oldukça zorlaştırır."
NextBossIn,Patron ortaya çıkacak: {0}
ARound,1 Tur
SomeRounds,{0} Tur
DartMonkey Paragon,Tepe Plazma Ustası
DartMonkey Paragon Description,Alanı Bloon parçalayıcı plazma ezici güç toplarıyla doldur geriye hiçbir şey kalmasın…
BoomerangMonkey Paragon,Yıldız Bıçak Dominus
BoomerangMonkey Paragon Description,Bloon’lar Yıldız Bıçaklarıma bakacak ve korkunun ne demek olduğunu öğrenecekler.
TowerEffectAllMonkeysPlacementUpgradesButterfliesName,Kelebek Yerleştirmesi ve Yükseltme Efektleri
TowerEffectAllMonkeysPlacementUpgradesButterfliesShortName,Kelebek Yükseltmesi FX
TowerEffectAllMonkeysPlacementUpgradesButterfliesDescription,Her bir Maymun yerleştirmesi ve yükseltmesi heyecanla etrafa kelebekler saldığında doğayı ve güzelliği takdir et.
BossEvent,Patron Etkinliği
NewCoopGame,Yeni İş Birliği Oyunu
Hold,Bekle
Paragon,Gözcü
Unlock All (For This Tower),Tümünü Aç (Bu Atıcı İçin)
Purchase Tower XP,Atıcı XP’si Satın Al
Connect Controller,Kumandayı Bağla
BossDefeatedYou,"{0}, seni yendi"
TierBossDefeated,{0}. Kademe patlatıldı
BossDefeated,Şunu yendin: {0}!
Set Center,Merkezi Belirle
Bombardment Ability,Bombardıman
PlayerStatsHighestRoundCHIMPS,En Yüksek Tur CHIMPS
PlayerStatsHighestRoundDeflation,En Yüksek Tur Deflasyonu
Rejoin Coop,İş Birliğine Tekrar Katıl
WaitingEndRound,Mevcut turun sonu bekleniyor
SoftwareCursor,Büyük İmleç
LargeCursor,Çok Büyük İmleç
Cursor,İmleç
