//Input. Needs to be first e.g [I] replaced by click or tap,
Click,點擊
AdmiralBrickell Level 19 Description,海軍策略影響所有水面防禦塔。
AdmiralBrickell Level 20 Description,巨型水雷造成巨大的傷害與更長時間的擊暈。
btd6_moremoneypack,更多現金包
btd6_moremoneypack Description,幫助你更快地產生現金 – 20個現金儲備，5個猴子農民和5個茁壯成長！限時出售，欲購從速！
HeroesQuincyCyberQuincyPlacementFireworksName,網絡昆西煙火放置
HeroesQuincyCyberQuincyPlacementFireworksDescription,眾所周知，昆西至，煙花放。僅限網絡昆西
HeroesAdoraPlacementSunbeamName,安多拉日光放置
HeroesAdoraPlacementSunbeamDescription,安多拉理應得到星運的垂青。僅限原始安多拉
HeroesChurchillPlacementTankDropName,Churchill坦克掉落放置
HeroesChurchillPlacementTankDropDescription,沒什麼讓將65噸重的Churchill坦克投入戰鬥更棒的了。僅限原始Churchill
HeroesBenjamminDJSkinPlacementPartyLightsName,DJ Benjammin派對燈放置
HeroesBenjamminDJSkinPlacementPartyLightsDescription,DJ怎麼少得了活力四射的派對燈。僅限DJ Benjammin
HeroesStrikerJonesPlacementParadropName,攻擊者Jones空投放置
HeroesStrikerJonesPlacementParadropDescription,全遊戲最酷的猴子士兵跳傘而至。僅限原始攻擊者Jones
HeroesQuincyPetDadOfQuincyName,Quincy寵物之父
HeroesQuincyPetDadOfQuincyDescription,少了Quincy之父，Quincy之子無法完成。僅限原始昆西
HeroesGwendolinPetFirefoxName,Gwendolin火狐寵物
HeroesGwendolinPetFirefoxDescription,這隻可愛的火狐常伴Gwen身邊。僅限原始Gwendolin
BloonsMOABSkinFootballName,美式足球MOAB
BloonsMOABSkinFootballDescription,如果MOAB長得像足球的話，或許更容易被攔截
BloonsBFBSkinPizzaName,批薩BFB
BloonsBFBSkinPizzaDescription,如果是BFB可以是披薩做的話，誰需要小型飛艇公告
BloonsZOMGSkinWatermelonName,西瓜ZOMG
BloonsZOMGSkinWatermelonDescription,使你想用一記重擊把它打爛
BloonsMOABSkinMaulerName,MOAB重錘
BloonsMOABSkinMaulerDescription,如果打不過它們，那就加入它們
BloonsMOABSkinPufferFishName,河豚MOAB
BloonsMOABSkinPufferFishDescription,河豚MOAB在爆炸前會不斷膨脹
BloonsAllBloonsDecalGooglyEyesName,金魚眼氣球
BloonsAllBloonsDecalGooglyEyesDescription,金魚眼注視著常規類型氣球和MOAB級氣球。
BloonsDDTSkinSharkName,鯊魚DDT
BloonsDDTSkinSharkDescription,既然你知道它會來幹掉你，DDT可能也會長得像它
BloonsAllBloonsPopsConfettiName,紙屑飛舞FX
BloonsAllBloonsPopsConfettiDescription,如果得到特製的紙屑飛舞和聲效，猴子們會更愛它們的工作
BloonsBADSkinPinataName,彩罐BAD
BloonsBADSkinPinataDescription,伴有糖果爆破聲效的巨型紫色彩罐可怕極了
CoopEmoteAnimationDiscoBallName,迪斯可球燈動畫
CoopEmoteAnimationDiscoBallDescription,投下一個迪斯可球燈為組隊遊戲增光添彩。雖然不會對遊戲本身造成影響，但這是DJ Benjamin的最愛
CoopEmoteAnimationConfettiName,彩紙炮動畫
CoopEmoteAnimationConfettiDescription,在組隊遊戲期間射出五彩紙屑。雖然不會對遊戲本身造成影響，但猴子們肯定會更高興。
CoopEmoteTextAmazingName,驚人文本表情
CoopEmoteTextAmazingDescription,告訴其他組隊遊戲玩家他們玩得很棒，或者你玩得很棒，從而讓他們慶幸與你一起遊戲
CoopEmoteTextPerfectTimingName,完美時機文本表情
CoopEmoteTextPerfectTimingDescription,為緊張表現喊出完美時機！使用時機飽含諷刺意味
CoopEmoteAnimationSirenName,警報聲效
CoopEmoteAnimationSirenDescription,打開警報，提醒隊友厄運將至！或者你要暫時離開
CoopEmoteAnimationLoveHeartsName,愛心動畫
CoopEmoteAnimationLoveHeartsDescription,用飄動的心表達你對組隊玩家的喜愛。不會對遊戲本身造成影響
CoopEmoteIconNoCashDropsName,無現金儲備圖標表情
CoopEmoteIconNoCashDropsDescription,用來表示在遊戲開始不想獲得現金儲備，或者表示想獲得
CoopEmoteTextWhyName,為什麼？！文本表情
CoopEmoteTextWhyDescription,因為有時你禁不住要問
CoopEmoteSoundAirhornName,汽笛聲效
CoopEmoteSoundAirhornDescription,使用雖然不是出於什麼好的理由，不過會有趣…
CoopEmoteTextAllIsFineName,一切正常文本表情
CoopEmoteTextAllIsFineDescription,使用的機會和場合很多 - 你甚至不再需要惡搞圖片製作工具
CoopEmoteIconStopName,停止圖標表情
CoopEmoteIconStopDescription,用動畫形式呈現一個紅色八邊形，幫助你讓氣球停下來，或者提供沒那麼酷的遊戲選擇
CoopEmoteIconDangerName,危險圖標表情
CoopEmoteIconDangerDescription,用動畫形式呈現一個危險標誌，警告會發生可怕的事情，包括隊友做出的不成功的選擇
GameUIUpgradesDisplayNamedMonkeysName,猴子名稱
GameUIUpgradesDisplayNamedMonkeysDescription,為每一種猴子塔的一隻猴子取名字！放置的任何類型的第一隻猴子將獲得名稱，並記錄它單獨的存在時間統計數據！在遊戲的「升級」面板中編輯猴子名稱，然後通過「主選單設定檔」檢查統計信息。
TrophyHeader,獎盃商店
TrophyTabHeroes,英雄
TrophyTabMonkeys,猴子
TrophyTabBloons,氣球
TrophyTabCoop,組隊
TrophyTabGameUI,遊戲和用戶界面
TrophyTabFeatured,精選
TrophyTabInventory,目錄
TrophyTrophiesEarned,贏得的獎盃：
Naval Tactics Ability,海軍策略
Naval Tactics Ability Description,短時間內大幅加快附近水面猴子的攻擊速度。
Mega Mine Ability,巨型水雷
Mega Mine Ability Description,部署一枚破壞力巨大的水雷，引爆MOAB級氣球並且擊暈附近的氣球。
Confirm,確認
PlayerStatsTimesPlaced,放置時間
Trophies,獎盃
RewardsTop50,前 50 名
OdysseyMapComplete,完成{0}島嶼！
OdysseyComplete,完成征程！
HeroesQuincyCyberQuincyPlacementFireworksShortName,網絡煙花
HeroesAdoraPlacementSunbeamShortName,安多拉陽光
HeroesChurchillPlacementTankDropShortName,Churchill坦克掉落
HeroesBenjamminDJSkinPlacementPartyLightsShortName,DJ本的派對燈
HeroesStrikerJonesPlacementParadropShortName,攻擊者空投
HeroesQuincyPetDadOfQuincyShortName,昆西寵物之父
HeroesGwendolinPetFirefoxShortName,Gwen火狐寵物
BloonsMOABSkinFootballShortName,美式足球MOAB
BloonsBFBSkinPizzaShortName,批薩BFB
BloonsZOMGSkinWatermelonShortName,西瓜ZOMG
BloonsMOABSkinMaulerShortName,MOAB重錘
BloonsMOABSkinPufferFishShortName,河豚MOAB
BloonsAllBloonsDecalGooglyEyesShortName,金魚眼
BloonsDDTSkinSharkShortName,鯊魚DDT
BloonsAllBloonsPopsConfettiShortName,紙屑飛舞FX
BloonsBADSkinPinataShortName,彩罐BAD
CoopEmoteAnimationDiscoBallShortName,迪斯科球燈
CoopEmoteAnimationConfettiShortName,彩紙砲
CoopEmoteTextAmazingShortName,驚訝文本
CoopEmoteTextPerfectTimingShortName,完美時機文本
CoopEmoteAnimationSirenShortName,警報
CoopEmoteAnimationLoveHeartsShortName,愛心
CoopEmoteIconNoCashDropsShortName,無現金掉落
CoopEmoteTextWhyShortName,為什麼？！文本表情
CoopEmoteSoundAirhornShortName,汽笛
CoopEmoteTextAllIsFineShortName,一切正常
CoopEmoteIconStopShortName,停止
CoopEmoteIconDangerShortName,危險
GameUIUpgradesDisplayNamedMonkeysShortName,猴子名稱
GameUIMusicTrackMusicTitleFiestaMixName,點唱機：主題 - 嘉年華混音
GameUIMusicTrackMusicTitleFiestaMixShortName,主要 - 嘉年華
GameUIMusicTrackMusicTitleFiestaMixDescription,播放派對時間主題音樂宛若置身派對。\n透過主選單設置的點唱機啟用音樂
GameUIMusicTrackMusicSunshineGameboyMixName,點唱機：陽光小夜曲-Gameboy混音
GameUIMusicTrackMusicSunshineGameboyMixShortName,小夜曲-Gameboy
GameUIMusicTrackMusicSunshineGameboyMixDescription,伴著陽光小夜曲的懷舊風混音享受一段狂飚之旅。\n透過主選單設置的點唱機啟用音樂
GameUIMusicTrackMusicTropicalComplextroMixName,點唱機：熱帶狂歡節 - Complextro混音
GameUIMusicTrackMusicTropicalComplextroMixShortName,狂歡節 - Complextro
GameUIMusicTrackMusicTropicalComplextroMixDescription,猴子們喜愛complextro電子風音樂的節奏，熱帶狂歡節混音永遠不會讓人失望。\n透過主選單設置的點唱機啟用音樂
GameUIMusicTrackMusicTribesFunkedMixName,點唱機：部落與磨難 - Funk混音
GameUIMusicTrackMusicTribesFunkedMixShortName,部落 - Funk
GameUIMusicTrackMusicTribesFunkedMixDescription,這麼多猴子聚在一起，臭味是免不了的。拉起你寬大的衣領，穿戴上金鍊子，伴著這美妙音樂跳起來。\n透過主選單設置的點唱機啟用音樂
GameUIProfileAvatar13Name,自訂化身-車手骨頭
GameUIProfileAvatar13ShortName,車手骨頭化身
GameUIProfileAvatar13Description,「我是猴子復仇者！」\n透過主選單化身肖像設置您的玩家化身
GameUIProfileAvatar14Name,自訂化身-變型補劑煉金術士
GameUIProfileAvatar14ShortName,變型化身
GameUIProfileAvatar14Description,最強的補劑就是最好的補劑。\n透過主選單化身肖像設置您的玩家化身
GameUIProfileAvatar15Name,自訂化身-森林精靈督伊德
GameUIProfileAvatar15ShortName,森林督伊德化身
GameUIProfileAvatar15Description,彰顯督伊德的平和，與自然融為一體\n透過主選單化身肖像設置您的玩家化身
GameUIProfileAvatar16Name,自訂化身-抓住他們！Pat
GameUIProfileAvatar16ShortName,Pat Fusty化身
GameUIProfileAvatar16Description,沒什麼比這更能說明巨猴的強大。\n透過主選單化身肖像設置您的玩家化身
GameUIProfileAvatar17Name,自定化身-滑頭Ezili
GameUIProfileAvatar17ShortName,Ezili化身
GameUIProfileAvatar17Description,Ezili從沒這麼好看過。\n透過主選單化身肖像設置您的玩家化身
GameUIProfileAvatar18Name,自訂化身-行動中的Churchill
GameUIProfileAvatar18ShortName,Churchill化身
GameUIProfileAvatar18Description,向砲火中的猴子英雄表示敬意也是每個愛國者的職責。\n透過主選單化身肖像設置您的玩家化身
MonkeyNameHeader,編輯猴子名稱
MonkeyNameInstruction,為每個種類的第一隻猴子選擇自訂名稱。為獲得最佳顯示效果，名稱不應多於20個字符，不應長於2行。使用空格分隔兩行
OdysseyCompleteDescription,恭喜你，勇敢的冒險家！你已經完成了征程，並且獲得以下獎勵！
HeroBoosterDescription,立即升級英雄到10級？
InappropriateNamedMonkeyName,請選擇一個更適當的猴子名稱。
PatchNotesLink,有關完整更新説明，請前往：
TrophyPurchaseConfirmation,用{1}將盃購買{0}？
TrophyPurchaseInsufficient,你的獎杯不足，無法購買該物品。透過比賽和奧德賽模式獲取更多獎杯。
TrophyStoreBought,已購買
LotusIsland,蓮花島
OctoJonesStrikerJonesSkinName,Octojones皮膚
OctoJonesStrikerJonesSkinDescription,我就是大海！
OdysseyRestartVoyage,重啟旅途
CoopEmoteTextAmazingWord,驚訝
CoopEmoteTextPerfectTimingWord,完美時機
CoopEmoteTextWhyWord,為什麼？！
CoopEmoteTextAllIsFineWord,一切正常
PlayerStatsTimesUpgraded,升級次數
PlayerStatsTimesSacrificed,犧牲次數
TrophyStoreInfoHeader,獎杯商店信息
TrophyStoreInfoBody,獎杯商店匯集了很多超棒的妝扮升級！\n•完成征程並在比賽中獲勝即可贏取獎杯\n• 你可以在物品欄選項卡中啟用和禁用大多數購買的物品\n• 購買的音樂曲目會在自動點唱機中顯示\n• 購買的化身會在主選單設定檔中顯示\n• 你可以通過遊戲中的升級面板編輯已命名的猴子
RestartOdysseyBody,你確定要重新啟動「奧德賽」嗎？
OdysseyBannerRewards,獲得獎勵和獎杯！
UpdateNotes,更新說明
OdysseyEventEnded,征程活動已經就誒書！
NamedMonkeysAll,所有
NamedMonkeysTitle,有名字的猴子
PlayerStatsLifetimeTrophies,存在時間獎盃
OdysseyCompletedRewards,完成！
OdysseyCrewReset,你確定要重置組員嗎？
Etienne,埃蒂安
Etienne Short Description,無人機操作員
Etienne Description,這位技術高超的英雄可以使用遠程控制的無人機追踪氣球的位置。
Etienne Level 1 Description,放出一架殺傷力十足的小無人機，向氣球射擊。
Etienne Level 2 Description,埃蒂安的範圍增加了。
Etienne Level 3 Description,無人機群：埃蒂安可以啟動另外4架臨時無人機，實施氣球爆破浩劫。
Etienne Level 4 Description,無人機的攻擊力增加。
Etienne Level 5 Description,無人機的攻擊速度增加，紅外攝像頭可以射擊偽裝氣球。
Etienne Level 6 Description,無人機群能力冷卻時間縮短。
Etienne Level 7 Description,埃蒂安現在一次可以控制2架無人機。
Etienne Level 8 Description,UAV：所有猴子獲得偽裝氣球偵測能力。
Etienne Level 9 Description,無人機能夠炸掉額外一層氣球。
Etienne Level 10 Description,UCAV：高緯度偵察無人機在短時間內變為毀滅性的戰鬥無人機。
Etienne Level 11 Description,埃蒂安獲得可控制的第三架無人機。
Etienne Level 12 Description,無人機升級！增加擊破力和攻擊速度。
Etienne Level 13 Description,UCAV能力冷卻時間縮短。
Etienne Level 14 Description,無人機傷害顯著增加。
Etienne Level 15 Description,UCAV傷害輸出和持續期間顯著增加。
Etienne Level 16 Description,埃蒂安的範圍、無人機擊破力和無人機群冷卻時間都有所增強。
Etienne Level 17 Description,UCAV傷害輸出顯著增加！
Etienne Level 18 Description,無人機傷害增加。
Etienne Level 19 Description,埃蒂安現在可以隨時控制四架無人機！
Etienne Level 20 Description,Perma-UCAV：監視無人機成為永久UCAV。啟動後，可在短時間內變得更加強大，並可擊破所有類型的氣球。
Drone Swarm Ability,無人機群
Drone Swarm Ability Description,埃蒂安可以啟動另外4架臨時無人機，實施氣球爆破浩劫。
UCAV Ability,UCAV
UCAV Ability Description,高緯度偵察無人機在短時間內變為毀滅性的戰鬥無人機。
Mesa,方山
DreadPirateBrickellAdmiralBrickellSkinName,恐怖海盜Brickell皮膚
DreadPirateBrickellAdmiralBrickellSkinDescription,七海女王再次啟航！
No Insta Reward,無100回合獎勵
GameUIProfileAvatar19Name,自訂化身-沉默的Adora
GameUIProfileAvatar19ShortName,Adora化身
GameUIProfileAvatar19Description,安多拉表示事情很嚴重，使用這個化身運動也是如此。
GameUIProfileAvatar20Name,定制化身-是的我們能做到工程師
GameUIProfileAvatar20ShortName,工程師化身
GameUIProfileAvatar20Description,戰鬥的一半就是熱愛你的工作，工程師很樂於刺破更多氣球
GameUIProfileAvatar21Name,自訂化身-B&W Brickell
GameUIProfileAvatar21ShortName,Brickell化身
GameUIProfileAvatar21Description,上尉Brickell要求命令她的艦群奪取勝利，賞罰分明。
GameUIProfileAvatar22Name,自訂化身-標誌性的DJ Ben
GameUIProfileAvatar22ShortName,DJ Ben化身
GameUIProfileAvatar22Description,DJ Benjammin的標誌性獨有風格
HeroesObynPetWolfName,Obyn幽靈狼幼崽
HeroesObynPetWolfShortName,Obyn幽靈狼
HeroesObynPetWolfDescription,當Obyn令人著迷的幽靈狼幼崽在附近，森林之靈時刻是清醒的。僅限原始Obyn
HeroesEziliPetFrogName,Ezili青蛙寵物
HeroesEziliPetFrogShortName,Ezili青蛙寵物
HeroesEziliPetFrogDescription,Ezili發誓它不是巫毒風格的，她只是覺得這只青蛙最酷。僅限原始Ezili
BloonsAllBloonsPopsBarrelOfMonkeysName,猴子擊發聲效
BloonsAllBloonsPopsBarrelOfMonkeysShortName,猴子擊發聲效
BloonsAllBloonsPopsBarrelOfMonkeysDescription,你不能用過多的猴子！現在每次擊發時都會顯示彩色的猴子效果
