//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Napsauta
CoopEmoteAnimationPlayerNumbersShortName,Pelaajanumerot
CoopEmoteAnimationPlayerNumbersDescription,Kommunikoi helpommin muiden pelaajien kanssa näillä kätevillä pelaajanumero-emoteilla. Olkaa kilttejä 3. pelaajalle.
GameUIProfileAvatar37Name,Oma avatar – Tarkka Sauda
GameUIProfileAvatar37ShortName,Tarkka Sauda -avatar
GameUIProfileAvatar37Description,"Hiljaisuutta, taitoa, tarkkuutta. Tämä upea Sauda-avatar määrittää sinua pelaajana."
GameUIProfileAvatar38Name,Oma avatar – Pingviiniystävä
GameUIProfileAvatar38ShortName,Pingviiiniystävä-avatar
GameUIProfileAvatar38Description,"Voittaja-avatar, ReconScoutTeemo"
GameUIProfileAvatar39Name,Oma avatar – Liimatykki
GameUIProfileAvatar39ShortName,Liimatykki-avatar
GameUIProfileAvatar39Description,"Voittaja-avatar, Cyliia"
GameUIPowerSkinLavaLakeName,Oma voima – Kannettava laavajärvi
GameUIPowerSkinLavaLakeShortName,Kannettava laavajärvi
GameUIPowerSkinLavaLakeDescription,Täällä alkaa olla kuuma! Kiehuta huolesi pois tässä palavassa laava-altaassa!
Resort,Lomakohde
ETnEtienneSkinName,Etn-ulkoasu
ETnEtienneSkinDescription,Viekää minut johtajanne luo
VeteranXP,Veteraanikokemus
GameUIMusicTrackMusicSailsAgain,Sails Again
Leaderboards,Pistetaulukko
Global,Globaali
League,Liiga
Race,Kisa
Mini-race,Minikisa
NoRaceDataYet,"Suorita kisa, jotta voit liittyä minikisaan!"
Kick,Potkaise
MakePublic,Julkaise
VeteranLevelsHeader,Veteraanitasot
VeteranLevelsDescription,"Onnea, saavutit tasokaton! Tästä eteenpäin ansaitset veteraanikokemusta ja saavutat veteraanitasoja. Näiden tasojen saavuttamisessa kestää tavallista pidempään ja ne osoittavat omistautumisesi bloonien poksauttelulle!"
LevelCapIncreasedHeader,Tasokatto noussut!
LevelCapIncreasedDescription,"Tasokattoa on nostettu! Nyt jatkat tavallisten tasojen ansaitsemista, kunnes saavutat taas tasokaton. Älä huoli, veteraanikokemuksesi ja -tasosi pysyvät samoissa missä ne olivat ja pääset ansaitsemaan veteraanikokemusta, kun saavutat uuden tasokaton."
Rejoin,Liity uudelleen
GameHasEnded,Peli on päättynyt
SlowInternet,Ei internetyhteyttä tai hidas yhteys
ErrorRejoining,Virhe uudelleen liityttäessä
RewardsTopPlacing,Top {0}
LostConnectionRejoin,Yhteys katkesi. Liitytäänkö uudelleen yhteistoimintapeliin?
Rejoining,Liitytään uudelleen...
PlayerPositionClosed,Pelaajapaikka kiinni
YouFinished,Sijoituksesi:
BestTime,Paras aika:
Claim,Lunasta
PlayerRejoinedGame, liittyi uudelleen peliin
PlayerKickedFromGame, on poistettu pelistä
ConfirmKickPlayer,Haluatko varmasti poistaa pelaajan {0}?
Remove,Poista
MiniRacesFirstTimeTitle,Minikisat!
MiniRacesFirstTimeDescription,"Kisan suorittamisen jälkeen sinut asetetaan minikisan pistetaulukkoon pääkisan pistetaulukon lisäksi. Kilpaile muita pelaajia vastaan minikisassa, jotta saat vielä enemmän palkintoja kisan päättyessä!"
SharingCoop,Liity yhteistoimintapeliini Bloons TD 6:ssa!
SharingChallenge,Selviydytkö tästä Bloons TD 6 -haasteesta?
btd6_racespass,{0} kisapassia
btd6_racepass,1 kisapassi
OdysseyCrewConfirmed,Miehistö vahvistettu
OdysseyCrewModified,Miehistöä muokattu
Odysseys,Odysseiat
InviteReceivedTitle,Kutsu vastaanotettu
ChallengeInviteReceivedDescription,Sinut on kutsuttu kokeilemaan haastekoodia: {0}
CoopInviteReceivedDescription,Sinut on kutsuttu yhteistoimintapeliin: {0}
Join,Liity
AccountPermissionRestriction,Tällä Xbox-tilillä ei ole lupaa pelata moninpelejä
AccountCommunityPermissionRestriction,Tällä Xbox-tilillä ei ole lupaa näyttää tai luoda yhteisösisältöä
dont have bloons,Eikös sinulla ole Bloons TD 6 -peliä? Lataa heti!
launch game,käynnistä peli
copy code,Kopioi koodi napsauttamalla tästä
game already opened,Onko peli jo auki?
Psi,Psi
Psi Short Description,Psioninen apina
Psi Description,"Psi on lahjakas apinalapsi, joka käyttää pelkkää mielenvoimaa tuhoamaan blooneja sisältäpäin."
Psi Level 1 Description,"Psi pystyy miltä tahansa etäisyydeltä ja esteistä välittämättä luomaan tappavia värinöitä, jotka tuhoavat yhden bloonin kerrallaan. Voi tähdätä maastokuvioituja blooneja."
Psi Level 2 Description,Hyökkää hieman nopeammin.
Psi Level 3 Description,"Psyykkinen isku: Psi iskee voima-aallolla, joka tyrmää läheiset bloonit pitkäksi aikaa."
Psi Level 4 Description,"Psin hyökkäys voi osua toiseen blooniin, jos se on erittäin lähellä kohteena ollutta bloonia."
Psi Level 5 Description,Psioniset väreilyt tuhoavat blooneja tavallista nopeammin.
Psi Level 6 Description,Psin voimakas mieli voi läpäistä lyijybloonit.
Psi Level 7 Description,Psyykkinen isku tekee kaksi pulssia. Psi voi nyt tuhota keraamisia blooneja.
Psi Level 8 Description,"Tuhovoimainen resonanssi aiheuttaa sen, että Psin päähyökkäyksen tuhoamat bloonit vahingoittavat läheisiä blooneja."
Psi Level 9 Description,Jaettu mieli. Psi voi nyt hyökätä kahden eri bloonin kimppuun kerralla.
Psi Level 10 Description,"Psioninen huuto: Psi hyökkää äänettömällä huudolla, joka saa bloonit kaaokseen."
Psi Level 11 Description,Psioniset väreilyt tuhoavat blooneja entistä nopeammin.
Psi Level 12 Description,Psyykkinen isku tekee kolme pulssia.
Psi Level 13 Description,Edes purppurabloonit eivät voi vastustaa Psin mielen hyökkäyksiä.
Psi Level 14 Description,Psin valtavat psyykkiset voimat sallivat MOAB-blooneihin tähtäämisen ja niiden tuhoamisen.
Psi Level 15 Description,Tuhovoimainen resonanssi on entistä tuhovoimaisempi.
Psi Level 16 Description,Psioniset väreilyt tuhoavat blooneja todella nopeasti. Psioninen huuto voi nyt osua BFB-blooneihin
Psi Level 17 Description,Jaettu mieli. Psi voi nyt hyökätä kolmen eri bloonin kimppuun kerralla.
Psi Level 18 Description,Psin hyökkäykset vaikuttavat blooneihin suuremmalla alueella kohdebloonin ympärillä.
Psi Level 19 Description,Tuhovoimainen resonanssi on paljon entistä tuhovoimaisempi.
Psi Level 20 Description,Psioninen huuto vahingoittaa kaikkia ruudun blooneja. Psin hyökkäykset voivat nyt osua DDT- ja ZOMG-blooneihin.
Sanctuary,Turvapaikka
ft_monkeyteamstitle,Apinatiimit
ft_monkeyteamsdescription,"Ansaitse bonusapinarahaa! Valitse mikä tahansa sankari ja käytä vain valittuja apinoita tämän kartan voittamiseen, niin saat bonusapinarahaa! Korkeammat vaikeustasot antavat enemmän apinarahaa."
ModderWarningPopup,Muokattu pelin asiakasohjelma havaittu. Osa pelimuodoista ei ole saatavilla.
ModdedClient,Muokattu asiakasohjelma
Achievement 117 Name,Saavutusten saavutus
Achievement 117 Description,Kerää 35 saavutusta
Achievement 118 Name,Vetovoimaa
Achievement 118 Description,Vedä 3 000 MOAB-luokan bloonia MOABin alasveto -kyvyllä
Achievement 119 Name,Muuttoapua
Achievement 119 Description,Siirrä 1 000 apinatornia käyttämällä tuki-Chinookia
Achievement 120 Name,Sosiaalinen perhonen
Achievement 120 Description,Käytä emoteja 100 kertaa yhteistoimintapeleissä
Achievement 121 Name,Niin kiiltävä!
Achievement 121 Description,Poksauta 20 kultaista bloonia
Achievement 122 Name,Kimaltelevaa kultaa
Achievement 122 Description,Poksauta 100 kultaista bloonia
Achievement 123 Name,Kaunista kultaa
Achievement 123 Description,Poksauta 500 kultaista bloonia
Achievement 124 Name,Taianomaista kultaa
Achievement 124 Description,Poksauta 50 kultaista bloonia Vain maagisia apinoita -tilassa
Achievement 125 Name,Tiimipelaaja
Achievement 125 Description,Voita 25 kertaa apinatiimeillä
Achievement 126 Name,Tiimikapteeni
Achievement 126 Description,Voita 50 kertaa apinatiimeillä
Achievement 127 Name,Täydellinen tiimi
Achievement 127 Description,Voita 100 kertaa apinatiimeillä
HeroesEtiennePetRoombaName,Etiennen roomba-kaveri
HeroesEtiennePetRoombaShortName,Etiennen roomba-kaveri
HeroesEtiennePetRoombaDescription,"Emme ole varmoja, pitääkö Etienne enemmän roombasta vai kissasta. Se on pakettitarjous. Vain alkuperäinen Etienne"
HeroesEziliPlacementGlyphName,Ezilin symbolin materialisointisijoitus ja päivitys
HeroesEziliPlacementGlyphShortName,Ezilin symboli
HeroesEziliPlacementGlyphDescription,"Siirrä minut, Ezili! Vain alkuperäinen Ezili"
TowerPropMonkeyVillageNZFlagName,Apinakylän Uuden-Seelannin lippu
TowerPropMonkeyVillageNZFlagShortName,Kylän Uuden-Seelannin lippu
TowerPropMonkeyVillageNZFlagDescription,Anna aurinkojumalan puolustaa vapaata maatamme JA apinakyliämme blooneilta! Näkyy kaikissa päivityksissä
TowerPropMonkeyVillageScotlandFlagName,Apinakylän Skotlannin lippu
TowerPropMonkeyVillageScotlandFlagShortName,Kylän Skotlannin lippu
TowerPropMonkeyVillageScotlandFlagDescription,Nouse ja julista vapauttasi tällä apinakylän lipulla. Näkyy kaikissa päivityksissä
TowerPropMonkeyVillageBananaFlagName,Apinakylän banaanilippu
TowerPropMonkeyVillageBananaFlagShortName,Kylän banaanilippu
TowerPropMonkeyVillageBananaFlagDescription,Nosta kaikkien apinoiden suosikkihedelmä ylpeästi apinakylän salkoon. Näkyy kaikissa päivityksissä
TowerEffectAllMonkeysPlacementUpgradesFireworksName,Ilotulitusten asettelu ja päivitystehosteet
TowerEffectAllMonkeysPlacementUpgradesFireworksShortName,Ilotulituspäivitystehoste
TowerEffectAllMonkeysPlacementUpgradesFireworksDescription,Juhli jokaista uutta apinaa ja päivitystä tällä upealla ilotulituksella! Rajallisen ajan keräilykappale!
TowerProjectileWizardMonkeyFireworksName,Velhon ilotulitus
TowerProjectileWizardMonkeyFireworksShortName,Velhon ilotulitus
TowerProjectileWizardMonkeyFireworksDescription,Kanavoi sisäistä Gandalfiasi ja anna velhoapinoillesi tämä upea ilotulitus! Rajallisen ajan keräilykappale!
BloonsAllBloonsBeardsName,Partabloonit
BloonsAllBloonsBeardsShortName,Partabloonit
BloonsAllBloonsBeardsDescription,"Tätä tyylikästä naamapörröä, joka tunnetaan taideohjaajan partana, ei kannata jättää väliin"
BloonsAllMOABSepiaName,Vanhan ajan MOAB-luokan bloonit
BloonsAllMOABSepiaShortName,Vanhan ajan MOABit
BloonsAllMOABSepiaDescription,"Älä säädä näyttöäsi, sillä nämä MOABit ovat vanhanaikaisia"
CoopEmoteAnimationTumbleweedName,Arokierijä-animaatio
CoopEmoteAnimationTumbleweedShortName,Arokierijä
CoopEmoteAnimationTumbleweedDescription,Yhdistä tämä Heinäsirkat-äänitehosteeseen maksimivaikutusta varten!
CoopEmoteIconSkullAndCrossbonesName,Pääkallo ja luut -emote
CoopEmoteIconSkullAndCrossbonesShortName,Pääkallo ja luut
CoopEmoteIconSkullAndCrossbonesDescription,Varoita vaarasta tai osoita rakkautesi luita kohtaan tällä hyytävällä emotella
CoopEmoteTextActivateName,Aktivoi! Emote
CoopEmoteTextActivateWord,Aktivoi!
CoopEmoteTextActivateShortName,Aktivoi!
CoopEmoteTextActivateDescription,Käytä käänteislaitetta Työpajassa! Vedä MOABit alas! Vapauta Tekniikkakauhu! Vie viestisi heti perille
GameUIProfileAvatar40Name,Oma avatar – Harlegwen PFP
GameUIProfileAvatar40ShortName,Harlegwen PFP -Avatar
GameUIProfileAvatar40Description,"Voittaja-avatar, Qqertynn"
GameUIProfileAvatar41Name,Oma avatar – Välähdyspommininja
GameUIProfileAvatar41ShortName,Välähdyspommi-avatar
GameUIProfileAvatar41Description,"Voittaja-avatar, _Concilliabule_"
GameUIProfileAvatar42Name,Oma avatar – Yritys-Patch
GameUIProfileAvatar42ShortName,Yritys-Patch-avatar
GameUIProfileAvatar42Description,Patch on hiljalleen kiivennyt apinamaailman yritystikkaita
GameUIProfileAvatar43Name,Oma avatar – Ilotulituspommittaja
GameUIProfileAvatar43ShortName,Ilotulituspommi-avatar
GameUIProfileAvatar43Description,Mikäpä olisi parempi tapa rakettien ampumiseen? Rajallisen ajan keräilykappale!
GameUIPowerSkinMonkeyBoostFireworksName,Oma voima – Ilotulitusapinatehoste
GameUIPowerSkinMonkeyBoostFireworksShortName,Ilotulitusapinatehoste
GameUIPowerSkinMonkeyBoostFireworksDescription,Tehosta apinoitasi ja innosta niitä entistä suurempiin tekoihin valtavalla ilotulitusesityksellä. Rajallisen ajan keräilykappale!
GameUIMusicTrackMusicTropicalOctopusMixName,Jukeboksi: Trooppinen karnevaali – Octopus Mix
GameUIMusicTrackMusicTropicalOctopusMixShortName,Trooppinen karnevaali – Octopus
GameUIMusicTrackMusicTropicalOctopusMixDescription,"Hieman elektronista biittiä, niin tästä karnevaaliraidasta tulee todellinen bilehitti. Nupit kaakkoon!"
PlaySocial,Pelaa sosiaalisesti
ContentBrowser,Sisältöselain
CoopChallenge,Yhteistoimintahaaste
SocialEditChallenge,Muokkaa haastetta
SocialEditOdyssey,Muokkaa odysseiaa
SocialViewBrowser,Näytä selain
MonkeyTeamWins,Apinatiimi voittaa
NewerSaveFound,"Uudemmat tallennustiedot löydetty! Olet pelannut pelin uudempaa versiota toisella laitteella. Päivitä nyt, jotta voit jatkaa pelaamista tällä laitteella. Ei päivitystä saatavilla? Katso ohjeita osoitteesta https://ninja.kiwi/btd6_outofdate."
RacePasses,{0} kisapassia
FreeEntries,{0} ilmaista osallistumista
FreeEntry,1 ilmainen osallistuminen
PrivateCoopLobby,Yksityinen yhteistoiminta-aula
PublicCoopLobby,Yhteistoiminta-aula [{0}]
MyOdysseys,Omat Odysseyt
OdysseySearch,Haku- / Odysseiakoodi …
Psychic Blast Ability,Psyykkinen isku
Psychic Blast Ability Description,"Psi iskee voima-aallolla, joka tyrmää läheiset bloonit pitkäksi aikaa."
Psionic Scream Ability,Psioninen huuto
Psionic Scream Ability Description,"Psi hyökkää äänettömällä huudolla, joka saa bloonit kaaokseen."
EditorMode,Muokkaustila
ConfirmMaps,Vahvistettavat kartat: {0}
ResetOdysseyProgress,Tämä mitätöi Odysseian edistymisen. Oletko varma?
OdysseyName,Odysseian nimi
OdysseyEditor,Odyssey Editor
MaxPowers,Voimia enintään:
MaxMonkeySlots,Paikkoja apinoille enintään:
MaxPowerSlots,Paikkoja kyvyille enintään:
MapNumber,Kartta {0}
ExtremeMode,Äärimmäinen tila:
Edit,Muokkaa
OdysseyInviteReceivedDescription,Sinut on kutsuttu kokeilemaan odysseiakoodia: {0}
SharingOdyssey,Voitko voittaa tämän Bloons TD 6-Odysseian?
EditorPowersIncluded,Sisällytetyt voimat
EditorPowersExcluded,Pois suljetut voimat
OdysseyDescription,Kuvaus:
SelectDefaultCrew,Valitse oletusmiehistö
Completed,Valmis
BossStart,Aloita pomotapahtuma
BloonariusPrime,Bloonarius Prime
OdysseyLockedSubmitButtonDescription,Olet jo lähettänyt tämän odysseian
OdysseyLockedShareButtonDescription,"Odysseian jakamista varten sinun saavutettava voittonäyttö testitilassa, jotta todistat läpäisyn mahdolliseksi!"
OdysseyShareAgainExplanation,"Jaa uudelleen sen jälkeen, kun aika on kulunut umpeen. Jotta voit jakaa seikkailun, sinun on päihitettävä se."
ProfileAvatars,Avatarit
ProfileBanners,Bannerit
BossNormal,Normaali
BossElite,Eliitti
BloonariusTagLine,Suon silmästä
BloonariusTagLine2,Nousee ilmakupla!
Bloonarius,Bloonarius
TierX,Taso {0}
HeroesGwendolinPlacementFireballName,Gwendolinin tulipallon asettelu ja päivitys
HeroesGwendolinPlacementFireballShortName,Gwenin tulipallo
HeroesGwendolinPlacementFireballDescription,"Varmista, että Gwenin ilmaantuminen ja päivitykset ovat tarpeeksi tulisia tällä mahtavalla tulipalloefektillä! Vain alkuperäinen Gwendolin"
TowerPropMonkeyVillageGermanyFlagName,Apinakylän Saksan lippu
TowerPropMonkeyVillageGermanyFlagShortName,Kylän Saksan lippu
TowerPropMonkeyVillageGermanyFlagDescription,"Kaikkihan tietävät, että saksalaisen apinakylän teknologia on suorastaan ausgezeichnet! Näkyy kaikissa päivityksissä"
TowerPropMonkeyVillageUKFlagName,Apinakylän Ison-Britannian lippu
TowerPropMonkeyVillageUKFlagShortName,Kylän Ison-Britannian lippu
TowerPropMonkeyVillageUKFlagDescription,Tämä apinakylä on ylpeä Kansainyhteisön jäsen. Brittiylpeys näkyy kaikissa päivityksissä
BloonsDDTSkinTronName,Neonvärinen DDT
BloonsDDTSkinTronShortName,Neonvärinen DDT
BloonsDDTSkinTronDescription,"Niin virtaviivainen ja kuolettava, että luulet tämän DDT:n tulleen tulevaisuudesta. Ehkä se onkin."
BloonsAllBloonsBucketHatName,Kalastushattubloonit
BloonsAllBloonsBucketHatShortName,Kalastushattubloonit
BloonsAllBloonsBucketHatDescription,Laita bloonit ratsastamaan muodin aallonharjalla uusimpien digitaalisten kalastushattujen kera.
BloonsAllBloonsPopsWaterbloonName,Vesi-bloon-tehoste
BloonsAllBloonsPopsWaterbloonShortName,Vesi-bloon-tehoste
BloonsAllBloonsPopsWaterbloonDescription,"Helleaallon paras kaveri. Kaikki bloonit muuttuvat vesi-blooneiksi, jotka poksahtavat virkistävän vesiroiskeen kera."
CoopEmoteTextNextRoundScaryName,Seuraava kierros! Pelottavaa! -tekstiemote
CoopEmoteTextNextRoundScaryShortName,Seuraava kierros! Pelottavaa!
CoopEmoteTextNextRoundScaryDescription,Varoita muita yhteistoiminnan jäseniä seuraavasta kierroksesta! Hyödyllinen varsinkin halloweenina.
CoopEmoteTextNextRoundScaryWord,Seuraava kierros! Pelottavaa!
CoopEmoteAnimationFistpumpName,Fist pump -animaatio
CoopEmoteAnimationFistpumpShortName,Fist pump
CoopEmoteAnimationFistpumpDescription,Juhlista hyvin tehtyä työtä!
GameUIProfileAvatar44Name,Oma avatar – SAS-apina
GameUIProfileAvatar44ShortName,SAS-apina-avatar
GameUIProfileAvatar44Description,"Voittaja-avatar, LV-223_Deacon"
GameUIProfileAvatar45Name,Oma avatar – Piirustukset
GameUIProfileAvatar45ShortName,Piirustukset-avatar
GameUIProfileAvatar45Description,"Voittaja-avatar, dungeon-raided"
GameUIProfileAvatar46Name,Oma avatar – Naamioitu Ezili
GameUIProfileAvatar46ShortName,Naamioitu Ezili -avatar
GameUIProfileAvatar46Description,Tunnetaan myös nimellä Aamutukka-Ezili
GameUIProfileAvatar47Name,Oma avatar - piikkipallo
GameUIProfileAvatar47ShortName,Piikkipallo-avatar
GameUIProfileAvatar47Description,Piikkipallot eivät ole koskaan näyttäneet yhtä siisteiltä – pakko-ostos
GameUIProfileBanner1Name,Lentäjä-profiilibanneri
GameUIProfileBanner1ShortName,Lentäjä-banneri
GameUIProfileBanner1Description,Tämä lentäjä-ässän inspiroima banneri kaartelee muiden pelaajien ympärillä
GameUIProfileBanner2Name,Henkisusi-profiilibanneri
GameUIProfileBanner2ShortName,Henkisusi-banneri
GameUIProfileBanner2Description,Kutsu henkisudet luoksesi tällä Obynin susiprofiilibannerilla.
GameUIProfileBanner3Name,Ampu tulee -profiilibanneri
GameUIProfileBanner3ShortName,Ampu tulee -banneri
GameUIProfileBanner3Description,Ota profiilibanneriisi BFB:n luotsaama bloonimyrsky merkiksi voitoistasi
GameUIProfileBanner4Name,Tikkamyrsky-profiilibanneri
GameUIProfileBanner4ShortName,Tikkamyrsky-banneri
GameUIProfileBanner4Description,"Tavanomainen tikka näyttää kaikelta muulta kuin tavanomaiselta tässä siistissä, tummanpuhuvassa profiilibannerissa"
GameUIProfileBanner5Name,Reaktiivinen profiilibanneri
GameUIProfileBanner5ShortName,Reaktiivinen banneri
GameUIProfileBanner5Description,Voima ja vaara yhdistyvät tässä sukellusveneen inspiroivassa profiilibannerissa.
Paragon Title,Päivitä esikuvaksi
Paragon Body,"Tämä toiminto luo esikuvan apinasta {0}. Kaikki muut {1} -tornit tuhotaan, ja niiden voimat siirtyvät esikuvalle!"
ft_paragontitle,Esikuvapäivitys aktivoitu!
ft_paragondescription,"Päivitä yksi viidennen tason apinoistasi esikuvaksi! Esikuvat imevät itseensä kaikki samantyyppiset apinat, mukaan lukien viidennen tason apinat muilta polulta.\n\nEsikuvajulistuksen voima riippuu siitä, kuinka paljon voimaa imettiin päivityshetkellä. Ei saatavilla hiekkalaatikkotilassa."
