//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clicca
Adora Level 20 Description,La sfera di luce è enormemente potenziata inoltre cadenza di fuoco portata e durata dei potenziamenti migliorate dai sacrifici.
Carved,Intagliata
BloodyPuddles,Pozze esagerate
TechBotRequiresAbility,Richiede una torre scimmia con abilità attivate.
AdorasTemple,Tempio di Adora
WinterPark,Parco invernale
FustyTheSnowmanSkinName,Fusty il pupazzo di neve
FustyTheSnowmanSkinDescription,Era un tipo che scoppiettava allegramente
WorkshopReverseMotor,Attiva motore in retromarcia
WorkshopTrackExtensions,Attiva estensioni tracciato
Achievement 83 Name,Stranamente adorabile
Achievement 83 Description,Quando i pianeti si allineano sempre così facilmente
Achievement 84 Name,Costante di Josh
Achievement 84 Description,S-s-supera una mappa esperto su SCIMPANZÉ con 40.870 $ o più spesi su 1 Fabbrica di aculei
Achievement 85 Name,Quanto ti è costato? Tutto
Achievement 85 Description,Sacrifica ogni tipo di torre del gioco al tempio
Achievement 86 Name,2 mega esplosioni
Achievement 86 Description,Completa una partita di SCIMPANZÉ con più di 2 milioni di danni inflitti da una sola torre
Achievement 87 Name,Occuparsi della cassa
Achievement 87 Description,Apri una cassa diamante in qualsiasi evento di raccolta
Achievement 88 Name,Asse della distruzione
Achievement 88 Description,Cerca di avere un esemplare di ogni cecchino T5 in una partita di SCIMPANZÉ
Achievement 89 Name,Guardiano delle torri
Achievement 89 Description,Cerca di avere 200 Insta-scimmie nell'inventario contemporaneamente
Achievement 90 Name,Per un anno
Achievement 90 Description,Apri la cassa delle ricompense giornaliere 365 volte
Achievement 91 Name,Kali Maaaaaaaa
Achievement 91 Description,Ottieni 10 livelli per Adora in un round
Blood Sacrifice Ability,Sacrificio di sangue
Blood Sacrifice Ability Description,Sacrifica una torre presa di mira per conferire a Adora una grande quantità di PE e per potenziarne la portata di attacco e la cadenza di fuoco per un breve lasso di tempo.
The Long Arm of Light Ability,Autorità della luce
The Long Arm of Light Ability Description,Aumenta in modo considerevole la portata e la potenza di attacco per un breve lasso di tempo e danneggia tutti i tipi di bloon.
Ball of Light Ability,Sfera di luce
Ball of Light Ability Description,Crea una potente sfera di energia che abbatte i bloon.
SunAvatarMini,Avatar solare
TrueSunAvatarMini,Avatar solare
ComeOnEverybody,Forza!
ComeOnEverybodyDescription,Tutte le torri primarie al di sotto del livello 3 attaccano il 5% più in fretta e costano il 5% in meno se sono tutte di livello 3 o 4
Wingmonkey,Scimmia gregaria
WingmonkeyDescription,Traiettoria di volo avanzata che coordina molteplici scimmie asso in attacchi scaglionati
TT_Wingmonkey,Scimmia gregaria
TinyTornadoes,Piccoli tornado
TinyTornadoesDescription,I tornado dei druidi generano 3 tornado più piccoli quando finiscono
HealthyBananas,Banane salutari
HealthyBananasDescription,I mercati ora producono 1 vita per round mentre i mercati centrali ne producono 3
WeakPoint,Punto debole
WeakPointDescription,Tutti gli eroi infliggono +1 di danno ai bloon di ceramica e a quelli fortificati
WolfpackQuincySkinName,Quincy branco di lupi
WolfpackQuincySkinDescription,"Quando in tempi remoti e selvaggi i cacciatori erano forti ma il branco lo era ancora di più, c'era Quincy, antenato di Quincy."
Infernal,Infernale
DownloadButton,Download
DownloadDescription,Scaricamento file aggiuntivi in corso. Si raccomanda l'utilizzo del Wi-fi. Dimensione dei dati {0} MB
ViewCollectionButton,Vedi raccolta
ViewInventoryButton,Vedi inventario
CollectionDescription,Le Insta-scimmie restano visibili nella raccolta anche dopo che sono stati utilizzate.
CollectionNoInventory,"È qui che appariranno le Insta-scimmie raccolte nelle sfide, negli eventi e nelle casse delle ricompense giornaliere."
MatchIncompatible,Tipi di gioco non compatibili
CollectionEventBonusRewards,Ricompense bonus
SteamOverlay,Accesso e Overlay di Steam necessari per gli acquisti.
CollectionEventFeaturedInstas,Insta presenti
CollectionEventChangesIn,Cambia tra:
CollectionEventChooseInsta,Scegli Insta presenti
JoanOfArcAdoraSkinName,Adora-Giovanna d'Arco
JoanOfArcAdoraSkinDescription,Tutte le battaglie vengono prima vinte o perse nella mente.
EditorRules,Regole
EditorModifiers,Modificatori
PathRestricted,Percorso soggetto a restrizioni
UpgradeRestricted,Potenziamento soggetto a restrizioni
ChallengeEditorRestrict,Restrizione
ConfirmApplyAll,Applicare le restrizioni a tutte le torri scimmia disponibili?
ConfirmResetAll,Reimpostare tutte le torri scimmia disponibili su 5-5-5?
Geared,Ingranaggi
ChallengeEditorTowerRestrictions,Restrizioni torre
ChallengeEditorApplyAll,Applica tutto
ChallengeEditorResetAll,Azzera tutto
CandyFalls,Cascate di Dolceburgo
HarlegwenGwendolinSkinName,Skin Harlegwen
HarlegwenGwendolinSkinDescription,Sono irritante per natura!
CoopLobbyHackerDetected,"Non è possibile unirsi alla partita, è stata rilevata un'incompatibilità. Per assistenza visita https://ninja.kiwi/btd6_coop"
TechBotSetAmbush,Imposta agguato
TechBotSetAmbushInstruction,Seleziona area agguato nei pressi del tracciato
AmbushTech,Assistente agguato
AmbushTechDescription,Il robot assistente conferisce un'opzione di puntamento che si attiva solo quando i bloon percorrono un'area specifica del tracciato.
DoorGunner,Mitragliere
DoorGunnerDescription,I preparativi speciali Elicottero consentono alle torri scimmia di livello 4 o inferiore di attaccare i bloon in transito.
DoorGunnerDenied,Non è possibile fare di questa torre un mitragliere
AmbidextrousRangs,Boomerang ambidestri
AmbidextrousRangsDescription,Sapienza e addestramento consentono alla scimmia boomerang di cambiare mano come opzione di puntamento per ottimizzare gli attacchi boomerang.
BoomerangTargetingSwitchHands,Cambia mano
VineRupture,Distruzione rampicanti
VineRuptureDescription,Conferisce al druido spirito della foresta una nuova abilità che consente di eliminare tutte le rampicanti sul tracciato infliggendo danni enormi a tutti i bloon che non siano di piombo. Dopo ogni Distruzione ricrescono nuove rampicanti.
BankDeposits,Depositi in banca
BankDepositsDescription,Le Banche scimmiesche dal livello 4 in su possono prendere in deposito il denaro disponibile nel gioco.
MonkeyBankDeposit,Deposito
Achievement 92 Name,Biglietto d'oro
Achievement 92 Description,Bloompa-loompa-doompa-dee-doo!
SmallMonkeysMode,Scimmie piccole
CaveMonkey,Scimmia delle caverne
DarkKnightDarkshift,[I] per effettuare Passaggio oscuro nel raggio d'azione
DarkChampionDarkshift,[I] per effettuare Passaggio oscuro in qualsiasi posizione valida
SmallTowersMode,Torri scimmia piccola
BigTowersMode,Torri scimmia grandi
UpdatePopupTitle,Aggiornamento 28!
UpdatePopupDescription,"Enorme aggiornamento dei contenuti!\n• Battaglie contro i boss in cooperativa! Partecipa agli Eventi dei boss con i tuoi amici per il massimo dei livelli Campione!\n• Nuovo boss dei bloon: Lych, il Signore delle tombe!\n• Classifiche dei boss! Scegli la modalità classificata per segnare il tempo migliore in classifica, che tu stia giocando in solitaria o in cooperativa\n• Nuova torre Campione: la nuova scimmia ninja Ombra ascesa è arrivata!\n• Sauda vichinga si è unita al divertimento! Ottieni la nuova skin di Sauda e comincia ad affettare!\n• Non dividetevi e non perdetevi nel bosco sulla nuova mappa livello principiante: La baita\n• 12 nuovi oggetti al Negozio trofei, più 6 oggetti a tema Halloween per un periodo limitato: ottienili tutti finché puoi!\n• Bilanciamento e sistemazioni: abbiamo apportato moltissimi cambiamenti. Leggi le note dell'aggiornamento per tutti i dettagli"
ResetDailyChest,Azzera cassa delle ricompense giornaliere
JukeboxName,Jukebox
EnableFunction,Attiva
JukeboxSongs,Brani
JukeboxPlaylist,Playlist
JukeboxAddAll,Aggiungi tutto
JukeboxRemoveAll,Rimuovi tutto
MonkeysLeft,Scimmie rimaste
ChallengeRules,Regole sfida
JukeboxMusicFiestaMain,Fiesta Flamenco
JukeboxMusicSunshineMain,Serenata del luce del sole
JukeboxMusicSunsetMain,Samba di tramonto
JukeboxMusicTropicalMain,Carnevale tropicale
JukeboxMusicTribesMain,Tribù e tribolazioni
JukeboxMusicWinterMain,Notti d'inverno
JukeboxMusicJazzMain,Tema Jazz  
DoorGunnerSelect,Seleziona una torre come Cannoniere della porta
PlayerStatsSettings,Statistiche giocatore
PlayerStatsPublicStats,Statistiche pubbliche
HiddenAchievements,Obiettivi nascosti
PlayerStatsTopHeroes,Eroi migliori
PlayerStatsTopMonkeys,Scimmie migliori
PlayerStatsGamesPlayed,Partite giocate
PlayerStatsGamesWon,Partite vinte
PlayerStatsHighestRound,Round maggiore
PlayerStatsMonkeysPlaced,Scimmie posizionate
PlayerStatsPopCount,Conteggio scoppi totale
PlayerStatsCoopPopCount,Conteggio scoppi cooperativi totale
PlayerStatsCamoPopped,Bloon mimetizzati scoppiati
PlayerStatsLeadPopped,Bloon di piombo scoppiati
PlayerStatsPurplePopped,Bloon viola scoppiati
PlayerStatsRegrowPopped,Bloon rigeneranti scoppiati
PlayerStatsCeramicPopped,Bloon di ceramica scoppiati
PlayerStatsMoabsPopped,MOAB scoppiati
PlayerStatsBfbsPopped,BFB scoppiati
PlayerStatsZomgsPopped,ZOMG scoppiati
PlayerStatsDdtsPopped,DDT scoppiati
PlayerStatsBadsPopped,BAD scoppiati
PlayerStatsBloonsLeaked,Bloon passati
PlayerStatsCashGenerated,Denaro generato
PlayerStatsCashGifted,Denaro donato
PlayerStatsAbilitiesUsed,Abilità usate
PlayerStatsPowersUsed,Poteri usati
PlayerStatsInstaMonkeysUsed,Insta-scimmie usate
PlayerStatsDailysOpened,Forzieri ricompense giornaliere aperti
PlayerStatsChallengesCompleted,Sfide completate
PlayerStatsMaxPublicSelected,Statistiche pubbliche massime selezionate. Devi deselezionare uno o più elementi prima di aggiungere nuove statistiche pubbliche.
PlayerStatsOdysseysCompleted,Odissee completate
PlayerStatsMedals,Medaglie
PlayerStatsAvatar,Avatar
PlayerStatsOverallStats,Statistiche complessive
PlayerStatsSharing,Condivisione {0}/7
JukeboxMusicThemeMain,Tema principale
et_odysseytitle,Evento Odissea!
et_odysseydescription,"Eccoti! Ogni Odissea è una serie di mappe e sfide collegate con trofei e altre ricompense! Regole principali:\n• Le vite sono condivise tra tutte le mappe\n• Una volta iniziata un'Odissea, non potrai modificare equipaggio o difficoltà a meno di riavviare\n• Ottieni trofei e altre ricompense dopo aver vinto l'ultima mappa\n• Le ricompense trofei non sono cumulative; l'Odissea difficile ha i trofei migliori"
OdysseyEventName,Evento Odissea 
OdysseyThemeCustomRules,Regole personalizzate
OdysseyThemeRapidBloons,Bloon rapidi
OdysseyThemeNoReturn,Nessun rimborso
OdysseyThemeInstructions,Istruzioni non incluse
OdysseyThemeFasterHigher,Più veloce. Più alto. Più forte.
OdysseyThemeGottaGoFast,Devo correre
OdysseyThemeAllCamo,Mimetico sempre e comunque
OdysseyThemeAllRegrow,Rigenerazione sempre e comunque
OdysseyThemeFastTrack,Tracciato veloce
OdysseyThemeHighlander,Odissea dell'immortale
OdysseyThemeMonkeyTeams,Squadre di scimmie
OdysseyThemeExtremeOdyssey,Odissea estrema
OdysseyLives,Vite:
OdysseyLife,{0} vita!
OdysseyLivesLeft,Vite rimaste:
OdysseyStart,Avvia Odissea
CollectAll,Raccogli tutto
OdysseyThemeSlowButDeadly,Lento ma letale
OdysseyIslandRules,Regole dell'isola
OdysseyCrew,Equipaggio
OdysseyCrewDetails,Dettagli equipaggio
OdysseyCrewDetailsSubtext,Costruisci un equipaggio epico con le scimmie e con i poteri scelti dal fato
OdysseySeats,Posti: {0}
OdysseyMax,Max: {0}
OdysseyPowersAvailable,Poteri disponibili:
OdysseySpaces,Spazi: {0}
OdysseySelectCrew,Seleziona il tuo equipaggio
OdysseyTotal,Totale: {0}
OdysseyPlay,Gioca
OdysseyContinue,Continua Odissea
OdysseyAddCrew,Aggiungi altre scimmie al tuo equipaggio prima di avviare la tua Odissea
LeaderboardHacker,Nessun dato trovato.
Bazaar,Bazaar
FloodedValley,Valle allagata
AdmiralBrickell,Ammiraglio Brickell
AdmiralBrickell Short Description,Comandante navale
AdmiralBrickell Description,Comanda tutte le tue scimmie acquatiche per ottenere la vittoria decisiva. Richiede acqua per il posizionamento.
AdmiralBrickell Level 1 Description,Lascia potenti mine navali che ricercano e distruggono i Bloon.
AdmiralBrickell Level 2 Description,Velocità d'attacco aumentata.
AdmiralBrickell Level 3 Description,Tattiche navali: aumenta sensibilmente la velocità d'attacco di Brickell e delle scimmie acquatiche vicine per un breve tempo.
AdmiralBrickell Level 4 Description,Maggior potenza di scoppio per le Mine navali.
AdmiralBrickell Level 5 Description,"Tattiche navali aumenta la potenza di scoppio e permette alle scimmie sotto il suo effetto di colpire tutti i tipi di Bloon, tranne quelli mimetizzati."
AdmiralBrickell Level 6 Description,Aumenta i danni degli attacchi Mine navali e Pistola.
AdmiralBrickell Level 7 Description,Aumentata la portata di attacco e la rilevazione dei Bloon mimetizzati.
AdmiralBrickell Level 8 Description,Tattiche navali permette alle scimmie di colpire i Bloon mimetizzati.
AdmiralBrickell Level 9 Description,Le Mine navali infliggono danni extra.
AdmiralBrickell Level 10 Description,Mega mina: schiera in qualsiasi area d'acqua una mina devastante che si attiva con i MOAB e stordisce i bloon circostanti. Le Mega mine durano 3 round.
AdmiralBrickell Level 11 Description,Velocità di schieramento e tasso di schieramento maggiore per le Mine navali.
AdmiralBrickell Level 12 Description,"Velocità di attacco e danni aumentati per l'attacco Pistola, danni aumentati per l'attacco Mine navali."
AdmiralBrickell Level 13 Description,Tempo di recupero di Mega mina ridotto.
AdmiralBrickell Level 14 Description,Durata di Tattiche navali aumentata.
AdmiralBrickell Level 15 Description,"Le Mine navali potenziate causano esplosioni più grandi, possono danneggiare il Bloon neri e rimuovere la proprietà mimetica."
AdmiralBrickell Level 16 Description,Portata di attacco e di schieramento di Mina navale aumentata leggermente.
AdmiralBrickell Level 17 Description,Le Mine navali infliggono danni aumentati.
AdmiralBrickell Level 18 Description,Tempo di recupero di Mega mina ridotto ancora di più.
AdmiralBrickell Level 19 Description,Tattiche navali ha effetto su tutte le torri acquatiche ovunque.
AdmiralBrickell Level 20 Description,Mega mina provoca danni estremamente aumentati e stordimento più duraturo.
btd6_moremoneypack,Pacchetto Più denaro
btd6_moremoneypack Description,"Tutti i poteri giusti per ottenere denaro in fretta - 20 Rilascio di contante, 5 Scimmie coltivatrici e 5 Rigogliosità! Disponibile solo per un periodo di tempo limitato!"
HeroesQuincyCyberQuincyPlacementFireworksName,Posizionamento e potenziamento Fuochi d'artificio di Cyber Quincy
HeroesQuincyCyberQuincyPlacementFireworksDescription,"Tutti sanno che ci saranno i fuochi d'artificio, quando arriva Quincy. Solo Cyber Quincy"
HeroesAdoraPlacementSunbeamName,Posizionamento e potenziamento Raggio di sole di Adora
HeroesAdoraPlacementSunbeamDescription,Di certo Adora si merita un arrivo radioso. Soltanto Adora originale
HeroesChurchillPlacementTankDropName,Posizionamento e potenziamento Carico carro armato Churchill
HeroesChurchillPlacementTankDropDescription,Non c'è niente di meglio di 65 tonnellate di furore dirette in battaglia. Solo Churchill originale
HeroesBenjamminDJSkinPlacementPartyLightsName,Posizionamento e potenziamento Luci da festa DJ Benjammin
HeroesBenjamminDJSkinPlacementPartyLightsDescription,Mai mettere in azione un DJ senza delle luci da festa come si deve. Solo DJ Benjammin
HeroesStrikerJonesPlacementParadropName,Posizionamento e potenziamento Striker Jones paracadutato
HeroesStrikerJonesPlacementParadropDescription,Tutte le scimmie più ganze arrivano col paracadute. Solo Striker Jones originale
